s,m,m/s
Time,"x","U10"
 0.000E+00, 6.905E+02, 1.374E-02
 1.118E+00, 7.825E+02, 6.121E-01
 2.012E+00, 6.905E+02, 1.652E+00
 3.130E+00, 6.905E+02, 2.752E+00
 4.025E+00, 6.905E+02, 3.485E+00
 5.043E+00, 6.905E+02, 4.310E+00
 6.076E+00, 6.905E+02, 4.992E+00
 7.030E+00, 6.905E+02, 5.665E+00
 8.002E+00, 6.925E+02, 6.183E+00
 9.007E+00, 6.939E+02, 6.566E+00
 1.001E+01, 6.910E+02, 6.172E+00
 1.102E+01, 6.905E+02, 6.359E+00
 1.203E+01, 6.913E+02, 6.208E+00
 1.300E+01, 6.905E+02, 6.296E+00
 1.402E+01, 6.905E+02, 6.312E+00
 1.502E+01, 6.905E+02, 5.550E+00
 1.603E+01, 6.905E+02, 7.005E+00
 1.703E+01, 6.906E+02, 5.829E+00
 1.802E+01, 6.913E+02, 6.089E+00
 1.903E+01, 6.905E+02, 6.784E+00
 2.002E+01, 6.905E+02, 6.997E+00
 2.101E+01, 6.905E+02, 6.075E+00
 2.202E+01, 6.905E+02, 6.186E+00
 2.302E+01, 6.905E+02, 6.624E+00
 2.401E+01, 6.907E+02, 6.198E+00
 2.502E+01, 6.910E+02, 6.580E+00
 2.602E+01, 6.905E+02, 5.797E+00
 2.700E+01, 6.905E+02, 6.564E+00
 2.801E+01, 6.905E+02, 5.813E+00
 2.901E+01, 6.905E+02, 6.199E+00
 3.000E+01, 6.905E+02, 6.610E+00
 3.103E+01, 6.905E+02, 6.338E+00
 3.200E+01, 6.905E+02, 6.077E+00
 3.300E+01, 6.905E+02, 6.334E+00
 3.402E+01, 6.911E+02, 6.307E+00
 3.502E+01, 6.908E+02, 6.133E+00
 3.601E+01, 6.905E+02, 6.183E+00
 3.702E+01, 6.905E+02, 5.739E+00
 3.802E+01, 6.905E+02, 5.849E+00
 3.901E+01, 6.905E+02, 6.444E+00
 4.000E+01, 6.905E+02, 7.337E+00
 4.101E+01, 6.905E+02, 5.931E+00
 4.203E+01, 6.905E+02, 6.495E+00
 4.301E+01, 6.905E+02, 6.441E+00
 4.402E+01, 6.905E+02, 6.500E+00
 4.501E+01, 6.905E+02, 6.315E+00
