s,m,m/s
Time,"x","U10"
 0.000E+00, 6.905E+02, 1.374E-02
 1.118E+00, 8.745E+02, 3.039E-01
 2.012E+00, 6.905E+02, 6.411E-01
 3.130E+00, 6.905E+02, 9.798E-01
 4.059E+00, 6.905E+02, 1.315E+00
 5.012E+00, 6.905E+02, 1.619E+00
 6.034E+00, 6.905E+02, 1.970E+00
 7.042E+00, 6.905E+02, 2.360E+00
 8.059E+00, 6.905E+02, 2.739E+00
 9.007E+00, 6.905E+02, 3.085E+00
 1.002E+01, 6.916E+02, 3.447E+00
 1.103E+01, 6.907E+02, 3.613E+00
 1.205E+01, 6.905E+02, 3.576E+00
 1.301E+01, 6.905E+02, 3.609E+00
 1.403E+01, 6.905E+02, 3.710E+00
 1.504E+01, 6.905E+02, 3.867E+00
 1.602E+01, 6.905E+02, 3.972E+00
 1.703E+01, 6.905E+02, 4.058E+00
 1.800E+01, 6.905E+02, 3.927E+00
 1.902E+01, 6.905E+02, 3.775E+00
 2.001E+01, 6.905E+02, 3.690E+00
 2.100E+01, 6.905E+02, 3.575E+00
 2.203E+01, 6.907E+02, 3.440E+00
 2.303E+01, 6.905E+02, 3.393E+00
 2.402E+01, 6.907E+02, 3.394E+00
 2.500E+01, 6.906E+02, 3.417E+00
 2.600E+01, 6.906E+02, 3.403E+00
 2.701E+01, 6.905E+02, 3.380E+00
 2.801E+01, 6.906E+02, 3.371E+00
 2.902E+01, 6.906E+02, 3.350E+00
 3.003E+01, 6.910E+02, 3.326E+00
 3.102E+01, 6.932E+02, 3.373E+00
 3.202E+01, 6.923E+02, 3.458E+00
 3.302E+01, 6.928E+02, 3.453E+00
 3.401E+01, 6.925E+02, 3.400E+00
 3.501E+01, 6.923E+02, 3.382E+00
 3.601E+01, 6.926E+02, 3.373E+00
 3.702E+01, 6.928E+02, 3.403E+00
 3.801E+01, 6.952E+02, 3.414E+00
 3.903E+01, 6.987E+02, 3.415E+00
 4.001E+01, 6.966E+02, 3.429E+00
 4.100E+01, 6.977E+02, 3.422E+00
 4.202E+01, 7.003E+02, 3.447E+00
 4.301E+01, 7.036E+02, 3.487E+00
 4.403E+01, 7.033E+02, 3.506E+00
 4.502E+01, 7.015E+02, 3.461E+00
