s,m,m/s
Time,"x","U10"
 0.000E+00, 6.905E+02, 1.374E-02
 1.129E+00, 7.601E+02, 5.975E-01
 2.032E+00, 6.905E+02, 1.464E+00
 3.138E+00, 6.905E+02, 2.326E+00
 4.023E+00, 6.905E+02, 3.114E+00
 5.071E+00, 6.905E+02, 3.893E+00
 6.018E+00, 6.905E+02, 4.591E+00
 7.027E+00, 6.905E+02, 5.247E+00
 8.015E+00, 6.912E+02, 6.557E+00
 9.012E+00, 6.906E+02, 7.672E+00
 1.002E+01, 6.905E+02, 9.031E+00
 1.102E+01, 6.905E+02, 9.582E+00
 1.200E+01, 6.905E+02, 8.466E+00
 1.303E+01, 6.905E+02, 8.018E+00
 1.402E+01, 6.909E+02, 8.355E+00
 1.500E+01, 6.905E+02, 6.722E+00
 1.600E+01, 6.919E+02, 8.548E+00
 1.702E+01, 6.936E+02, 7.436E+00
 1.802E+01, 6.944E+02, 8.083E+00
 1.900E+01, 6.974E+02, 8.357E+00
 2.002E+01, 7.057E+02, 8.447E+00
 2.100E+01, 7.020E+02, 7.269E+00
 2.202E+01, 7.039E+02, 8.396E+00
 2.301E+01, 7.094E+02, 7.921E+00
 2.402E+01, 7.137E+02, 7.478E+00
 2.500E+01, 7.146E+02, 7.256E+00
 2.601E+01, 7.176E+02, 7.467E+00
 2.701E+01, 7.171E+02, 6.764E+00
 2.801E+01, 7.188E+02, 8.309E+00
 2.901E+01, 7.203E+02, 8.874E+00
 3.001E+01, 7.208E+02, 6.632E+00
 3.100E+01, 7.295E+02, 8.061E+00
 3.200E+01, 7.320E+02, 8.479E+00
 3.301E+01, 7.347E+02, 9.170E+00
 3.400E+01, 7.365E+02, 8.896E+00
 3.501E+01, 7.394E+02, 8.395E+00
 3.601E+01, 7.416E+02, 7.765E+00
 3.700E+01, 7.439E+02, 8.450E+00
 3.801E+01, 7.443E+02, 8.153E+00
 3.901E+01, 7.466E+02, 8.315E+00
 4.001E+01, 7.479E+02, 8.721E+00
 4.100E+01, 7.530E+02, 8.783E+00
 4.201E+01, 7.538E+02, 8.784E+00
 4.301E+01, 7.562E+02, 8.963E+00
 4.401E+01, 7.611E+02, 7.780E+00
 4.501E+01, 7.672E+02, 7.305E+00
 4.600E+01, 7.665E+02, 7.674E+00
 4.700E+01, 7.776E+02, 8.051E+00
 4.801E+01, 7.757E+02, 7.623E+00
 4.901E+01, 7.613E+02, 7.547E+00
 5.000E+01, 7.699E+02, 8.550E+00
 5.101E+01, 7.750E+02, 7.542E+00
 5.201E+01, 8.019E+02, 8.535E+00
 5.300E+01, 8.039E+02, 8.964E+00
 5.400E+01, 8.076E+02, 8.702E+00
 5.501E+01, 8.111E+02, 7.504E+00
 5.600E+01, 8.093E+02, 7.669E+00
 5.700E+01, 8.185E+02, 7.836E+00
 5.801E+01, 8.233E+02, 8.171E+00
 5.901E+01, 8.240E+02, 8.228E+00
 6.001E+01, 8.276E+02, 7.838E+00
 6.101E+01, 8.285E+02, 8.178E+00
 6.200E+01, 8.365E+02, 8.270E+00
 6.300E+01, 8.391E+02, 7.348E+00
 6.401E+01, 8.429E+02, 8.443E+00
 6.501E+01, 8.490E+02, 7.336E+00
 6.601E+01, 8.487E+02, 7.393E+00
 6.701E+01, 8.565E+02, 6.300E+00
 6.801E+01, 8.643E+02, 9.291E+00
 6.900E+01, 8.617E+02, 8.567E+00
 7.001E+01, 8.679E+02, 8.032E+00
 7.101E+01, 8.682E+02, 8.130E+00
 7.201E+01, 8.685E+02, 8.344E+00
 7.301E+01, 8.823E+02, 7.581E+00
 7.401E+01, 8.843E+02, 7.544E+00
 7.500E+01, 8.874E+02, 7.467E+00
 7.601E+01, 8.907E+02, 8.617E+00
 7.700E+01, 8.955E+02, 6.303E+00
 7.801E+01, 8.995E+02, 7.256E+00
 7.900E+01, 9.005E+02, 7.933E+00
 8.000E+01, 9.174E+02, 7.693E+00
 8.101E+01, 9.215E+02, 7.205E+00
 8.201E+01, 9.285E+02, 7.309E+00
 8.301E+01, 9.359E+02, 7.437E+00
 8.401E+01, 9.375E+02, 8.338E+00
 8.501E+01, 9.397E+02, 6.603E+00
