s,m,m/s
Time,"x","U10"
 0.000E+00, 6.905E+02, 1.374E-02
 1.118E+00, 7.825E+02, 6.171E-01
 2.012E+00, 6.905E+02, 1.700E+00
 3.130E+00, 6.905E+02, 2.779E+00
 4.037E+00, 6.905E+02, 3.607E+00
 5.046E+00, 6.905E+02, 4.499E+00
 6.008E+00, 6.905E+02, 5.294E+00
 7.044E+00, 6.905E+02, 6.109E+00
 8.003E+00, 6.927E+02, 6.903E+00
 9.011E+00, 6.937E+02, 7.659E+00
 1.003E+01, 6.911E+02, 8.542E+00
 1.101E+01, 6.909E+02, 8.724E+00
 1.202E+01, 6.911E+02, 8.822E+00
 1.301E+01, 6.905E+02, 9.117E+00
 1.402E+01, 6.905E+02, 8.579E+00
 1.501E+01, 6.905E+02, 8.364E+00
 1.603E+01, 6.905E+02, 8.979E+00
 1.701E+01, 6.905E+02, 8.751E+00
 1.801E+01, 6.917E+02, 9.009E+00
 1.901E+01, 6.909E+02, 8.774E+00
 2.002E+01, 6.905E+02, 8.800E+00
 2.101E+01, 6.905E+02, 8.595E+00
 2.202E+01, 6.905E+02, 8.953E+00
 2.303E+01, 6.905E+02, 8.806E+00
 2.400E+01, 6.905E+02, 7.930E+00
 2.502E+01, 6.905E+02, 9.169E+00
 2.600E+01, 6.908E+02, 8.804E+00
 2.701E+01, 6.905E+02, 8.346E+00
 2.801E+01, 6.905E+02, 8.926E+00
 2.903E+01, 6.905E+02, 8.918E+00
 3.002E+01, 6.905E+02, 8.619E+00
 3.102E+01, 6.905E+02, 9.142E+00
 3.200E+01, 6.906E+02, 8.836E+00
 3.300E+01, 6.930E+02, 8.973E+00
 3.402E+01, 6.905E+02, 9.335E+00
 3.500E+01, 6.905E+02, 8.238E+00
 3.601E+01, 6.905E+02, 8.600E+00
 3.701E+01, 6.905E+02, 8.850E+00
 3.802E+01, 6.905E+02, 8.983E+00
 3.900E+01, 6.905E+02, 8.505E+00
 4.001E+01, 6.905E+02, 8.794E+00
 4.102E+01, 6.905E+02, 8.788E+00
 4.201E+01, 6.905E+02, 8.912E+00
 4.301E+01, 6.905E+02, 8.863E+00
 4.402E+01, 6.905E+02, 8.723E+00
 4.502E+01, 6.905E+02, 8.765E+00
