s,m,m/s
Time,x,U10
 0.000E+00, 6.905E+02, 1.374E-02
 1.129E+00, 8.833E+02, 2.920E-01
 2.032E+00, 6.905E+02, 6.482E-01
 3.102E+00, 6.905E+02, 9.931E-01
 4.052E+00, 6.905E+02, 1.326E+00
 5.015E+00, 6.905E+02, 1.646E+00
 6.022E+00, 6.905E+02, 1.992E+00
 7.033E+00, 6.905E+02, 2.374E+00
 8.039E+00, 6.905E+02, 2.753E+00
 9.024E+00, 6.905E+02, 3.105E+00
 1.003E+01, 6.905E+02, 3.472E+00
 1.103E+01, 6.908E+02, 3.640E+00
 1.201E+01, 6.905E+02, 3.600E+00
 1.300E+01, 6.905E+02, 3.578E+00
 1.401E+01, 6.910E+02, 3.437E+00
 1.501E+01, 6.909E+02, 3.509E+00
 1.600E+01, 6.932E+02, 3.742E+00
 1.700E+01, 6.962E+02, 3.801E+00
 1.801E+01, 6.981E+02, 3.794E+00
 1.901E+01, 7.022E+02, 3.611E+00
 2.000E+01, 7.067E+02, 3.572E+00
 2.101E+01, 7.095E+02, 3.532E+00
 2.201E+01, 7.115E+02, 3.564E+00
 2.301E+01, 7.153E+02, 3.662E+00
 2.402E+01, 7.171E+02, 3.479E+00
 2.502E+01, 7.198E+02, 3.758E+00
 2.602E+01, 7.232E+02, 3.530E+00
 2.700E+01, 7.247E+02, 3.383E+00
 2.802E+01, 7.281E+02, 3.412E+00
 2.900E+01, 7.314E+02, 3.769E+00
 3.001E+01, 7.341E+02, 3.797E+00
 3.100E+01, 7.365E+02, 4.121E+00
 3.201E+01, 7.398E+02, 4.134E+00
 3.301E+01, 7.425E+02, 4.100E+00
 3.400E+01, 7.451E+02, 4.020E+00
 3.502E+01, 7.469E+02, 3.569E+00
 3.601E+01, 7.499E+02, 3.567E+00
 3.702E+01, 7.524E+02, 3.880E+00
 3.800E+01, 7.558E+02, 3.853E+00
 3.900E+01, 7.577E+02, 3.682E+00
 4.000E+01, 7.598E+02, 3.905E+00
 4.100E+01, 7.614E+02, 3.634E+00
 4.201E+01, 7.630E+02, 3.669E+00
 4.301E+01, 7.648E+02, 3.695E+00
 4.402E+01, 7.671E+02, 3.432E+00
 4.500E+01, 7.696E+02, 3.467E+00
 4.602E+01, 7.723E+02, 3.494E+00
 4.700E+01, 7.765E+02, 3.382E+00
 4.802E+01, 7.787E+02, 3.433E+00
 4.900E+01, 7.788E+02, 3.270E+00
 5.000E+01, 7.787E+02, 3.452E+00
 5.102E+01, 7.786E+02, 3.586E+00
 5.202E+01, 7.806E+02, 3.775E+00
 5.302E+01, 7.781E+02, 3.675E+00
 5.400E+01, 7.790E+02, 3.437E+00
 5.500E+01, 7.736E+02, 3.528E+00
 5.601E+01, 7.733E+02, 3.551E+00
 5.701E+01, 7.761E+02, 3.490E+00
 5.801E+01, 7.910E+02, 3.507E+00
 5.901E+01, 7.812E+02, 3.461E+00
 6.000E+01, 7.774E+02, 3.509E+00
 6.101E+01, 7.773E+02, 3.643E+00
 6.201E+01, 7.754E+02, 3.709E+00
 6.300E+01, 7.828E+02, 3.628E+00
 6.401E+01, 7.798E+02, 3.689E+00
 6.500E+01, 7.798E+02, 3.463E+00
 6.602E+01, 7.739E+02, 3.593E+00
 6.702E+01, 7.715E+02, 3.861E+00
 6.801E+01, 7.715E+02, 3.635E+00
 6.901E+01, 7.727E+02, 3.852E+00
 7.002E+01, 7.854E+02, 3.840E+00
 7.101E+01, 7.855E+02, 3.910E+00
 7.201E+01, 7.859E+02, 3.845E+00
 7.301E+01, 7.861E+02, 3.982E+00
 7.402E+01, 7.863E+02, 3.830E+00
 7.501E+01, 7.865E+02, 3.733E+00
 7.601E+01, 7.865E+02, 3.682E+00
 7.701E+01, 7.864E+02, 3.821E+00
 7.802E+01, 7.858E+02, 3.880E+00
 7.901E+01, 7.860E+02, 3.649E+00
 8.001E+01, 8.259E+02, 3.731E+00
 8.101E+01, 8.607E+02, 3.704E+00
 8.201E+01, 8.627E+02, 3.405E+00
 8.300E+01, 8.647E+02, 4.068E+00
 8.400E+01, 8.671E+02, 4.235E+00
 8.501E+01, 8.691E+02, 4.290E+00
 8.601E+01, 8.706E+02, 3.966E+00
 8.700E+01, 8.726E+02, 3.816E+00
 8.802E+01, 8.742E+02, 3.944E+00
 8.900E+01, 8.762E+02, 3.504E+00
 9.001E+01, 8.784E+02, 3.928E+00
 9.101E+01, 8.812E+02, 3.991E+00
 9.201E+01, 8.842E+02, 3.533E+00
 9.302E+01, 8.866E+02, 3.420E+00
 9.401E+01, 8.891E+02, 3.745E+00
 9.500E+01, 8.915E+02, 3.822E+00
 9.600E+01, 8.946E+02, 3.661E+00
 9.701E+01, 8.980E+02, 3.860E+00
 9.801E+01, 8.999E+02, 3.836E+00
 9.901E+01, 9.028E+02, 3.925E+00
 1.000E+02, 9.058E+02, 3.730E+00
 1.010E+02, 9.086E+02, 3.760E+00
 1.020E+02, 9.118E+02, 3.547E+00
 1.030E+02, 9.150E+02, 3.765E+00
 1.040E+02, 9.176E+02, 3.815E+00
 1.050E+02, 9.211E+02, 3.474E+00
 1.060E+02, 9.241E+02, 3.382E+00
 1.070E+02, 9.259E+02, 3.981E+00
 1.080E+02, 9.291E+02, 3.721E+00
 1.090E+02, 9.311E+02, 3.645E+00
 1.100E+02, 9.338E+02, 3.869E+00
 1.110E+02, 9.364E+02, 3.828E+00
 1.120E+02, 9.391E+02, 3.834E+00
 1.130E+02, 9.417E+02, 3.908E+00
 1.140E+02, 9.448E+02, 3.764E+00
 1.150E+02, 9.475E+02, 3.678E+00
