s,m,m/s
Time,"x","U10"
 0.000E+00, 6.905E+02, 1.374E-02
 1.118E+00, 8.263E+02, 1.059E+00
 2.012E+00, 6.905E+02, 2.603E+00
 3.041E+00, 6.905E+02, 4.009E+00
 4.088E+00, 6.905E+02, 5.663E+00
 5.041E+00, 6.905E+02, 7.153E+00
 6.026E+00, 6.905E+02, 8.612E+00
 7.001E+00, 6.912E+02, 1.014E+01
 8.006E+00, 6.970E+02, 1.167E+01
 9.030E+00, 6.926E+02, 1.325E+01
 1.002E+01, 6.906E+02, 1.462E+01
 1.100E+01, 6.905E+02, 1.505E+01
 1.202E+01, 6.905E+02, 1.457E+01
 1.301E+01, 6.905E+02, 1.464E+01
 1.402E+01, 6.905E+02, 1.477E+01
 1.500E+01, 6.905E+02, 1.445E+01
 1.603E+01, 6.905E+02, 1.485E+01
 1.703E+01, 6.905E+02, 1.460E+01
 1.801E+01, 6.905E+02, 1.503E+01
 1.901E+01, 6.912E+02, 1.454E+01
 2.000E+01, 6.910E+02, 1.418E+01
 2.102E+01, 6.908E+02, 1.465E+01
 2.202E+01, 6.932E+02, 1.452E+01
 2.301E+01, 6.916E+02, 1.453E+01
 2.403E+01, 6.913E+02, 1.439E+01
 2.501E+01, 6.928E+02, 1.459E+01
 2.600E+01, 6.935E+02, 1.484E+01
 2.701E+01, 6.919E+02, 1.515E+01
 2.801E+01, 6.946E+02, 1.516E+01
 2.902E+01, 6.971E+02, 1.549E+01
 3.000E+01, 6.961E+02, 1.473E+01
 3.101E+01, 6.942E+02, 1.550E+01
 3.202E+01, 6.965E+02, 1.483E+01
 3.301E+01, 7.009E+02, 1.481E+01
 3.401E+01, 7.037E+02, 1.478E+01
 3.502E+01, 7.026E+02, 1.491E+01
 3.601E+01, 7.031E+02, 1.454E+01
 3.700E+01, 7.031E+02, 1.473E+01
 3.801E+01, 7.001E+02, 1.467E+01
 3.900E+01, 6.977E+02, 1.458E+01
 4.000E+01, 7.046E+02, 1.458E+01
 4.101E+01, 7.238E+02, 1.489E+01
 4.202E+01, 7.240E+02, 1.460E+01
 4.300E+01, 7.033E+02, 1.454E+01
 4.400E+01, 7.121E+02, 1.461E+01
 4.500E+01, 7.151E+02, 1.477E+01
