s,m,m/s
Time,x,U10
 0.000E+00, 6.905E+02, 1.374E-02
 1.129E+00, 8.833E+02, 2.983E-01
 2.032E+00, 6.905E+02, 7.147E-01
 3.105E+00, 6.905E+02, 1.176E+00
 4.062E+00, 6.905E+02, 1.582E+00
 5.025E+00, 6.905E+02, 1.864E+00
 6.004E+00, 6.905E+02, 2.081E+00
 7.041E+00, 6.905E+02, 2.299E+00
 8.020E+00, 6.905E+02, 2.463E+00
 9.056E+00, 6.905E+02, 2.682E+00
 1.003E+01, 6.905E+02, 2.883E+00
 1.102E+01, 6.905E+02, 2.796E+00
 1.203E+01, 6.907E+02, 2.586E+00
 1.300E+01, 6.909E+02, 2.503E+00
 1.401E+01, 6.924E+02, 2.462E+00
 1.502E+01, 6.941E+02, 2.419E+00
 1.601E+01, 6.985E+02, 2.354E+00
 1.701E+01, 7.009E+02, 2.343E+00
 1.801E+01, 7.030E+02, 2.468E+00
 1.900E+01, 7.064E+02, 2.684E+00
 2.001E+01, 7.100E+02, 2.635E+00
 2.101E+01, 7.133E+02, 2.590E+00
 2.201E+01, 7.166E+02, 2.442E+00
 2.301E+01, 7.207E+02, 2.414E+00
 2.401E+01, 7.217E+02, 2.425E+00
 2.501E+01, 7.256E+02, 2.233E+00
 2.601E+01, 7.294E+02, 2.329E+00
 2.700E+01, 7.324E+02, 3.013E+00
 2.800E+01, 7.351E+02, 3.050E+00
 2.901E+01, 7.385E+02, 2.721E+00
 3.000E+01, 7.415E+02, 2.493E+00
 3.101E+01, 7.451E+02, 2.466E+00
 3.201E+01, 7.482E+02, 3.030E+00
 3.301E+01, 7.508E+02, 3.148E+00
 3.402E+01, 7.531E+02, 2.622E+00
 3.500E+01, 7.504E+02, 2.408E+00
 3.600E+01, 7.493E+02, 2.565E+00
 3.701E+01, 7.588E+02, 2.446E+00
 3.802E+01, 7.602E+02, 2.790E+00
 3.902E+01, 7.662E+02, 2.748E+00
 4.001E+01, 7.687E+02, 2.571E+00
 4.100E+01, 7.704E+02, 2.770E+00
 4.202E+01, 7.726E+02, 2.805E+00
 4.300E+01, 7.762E+02, 2.569E+00
 4.401E+01, 7.791E+02, 2.411E+00
 4.501E+01, 7.822E+02, 2.396E+00
