s,m,m/s
Time,"x","U10"
 0.000E+00, 6.905E+02, 1.374E-02
 1.118E+00, 8.745E+02, 1.014E+00
 2.104E+00, 6.905E+02, 2.178E+00
 3.027E+00, 6.905E+02, 3.094E+00
 4.003E+00, 6.905E+02, 4.199E+00
 5.012E+00, 6.905E+02, 5.505E+00
 6.002E+00, 6.912E+02, 6.629E+00
 7.000E+00, 6.976E+02, 8.203E+00
 8.014E+00, 6.911E+02, 9.225E+00
 9.009E+00, 6.905E+02, 1.027E+01
 1.000E+01, 6.905E+02, 1.148E+01
 1.100E+01, 6.905E+02, 1.186E+01
 1.200E+01, 6.905E+02, 1.161E+01
 1.300E+01, 6.905E+02, 1.147E+01
 1.400E+01, 6.909E+02, 1.147E+01
 1.500E+01, 6.907E+02, 1.155E+01
 1.601E+01, 6.909E+02, 1.157E+01
 1.701E+01, 6.911E+02, 1.154E+01
 1.801E+01, 6.921E+02, 1.153E+01
 1.900E+01, 6.933E+02, 1.149E+01
 2.001E+01, 6.927E+02, 1.151E+01
 2.100E+01, 6.947E+02, 1.153E+01
 2.201E+01, 6.926E+02, 1.156E+01
 2.301E+01, 6.936E+02, 1.156E+01
 2.401E+01, 6.965E+02, 1.156E+01
 2.500E+01, 6.974E+02, 1.157E+01
 2.601E+01, 7.021E+02, 1.153E+01
 2.700E+01, 7.000E+02, 1.154E+01
 2.800E+01, 6.989E+02, 1.155E+01
 2.900E+01, 7.004E+02, 1.156E+01
 3.001E+01, 7.080E+02, 1.155E+01
 3.101E+01, 7.058E+02, 1.154E+01
 3.201E+01, 7.111E+02, 1.155E+01
 3.300E+01, 7.169E+02, 1.161E+01
 3.401E+01, 7.164E+02, 1.158E+01
 3.500E+01, 7.171E+02, 1.156E+01
 3.601E+01, 7.140E+02, 1.153E+01
 3.700E+01, 7.186E+02, 1.156E+01
 3.800E+01, 7.207E+02, 1.157E+01
 3.901E+01, 7.118E+02, 1.157E+01
 4.000E+01, 7.173E+02, 1.157E+01
 4.101E+01, 7.237E+02, 1.157E+01
 4.200E+01, 7.303E+02, 1.157E+01
 4.300E+01, 7.237E+02, 1.155E+01
 4.400E+01, 7.253E+02, 1.155E+01
 4.501E+01, 7.248E+02, 1.156E+01
