s,m,m/s
Time,x,U10
 0.000E+00, 6.905E+02, 1.374E-02
 1.129E+00, 8.833E+02, 8.814E-01
 2.049E+00, 6.905E+02, 2.188E+00
 3.010E+00, 6.905E+02, 3.353E+00
 4.044E+00, 6.905E+02, 4.676E+00
 5.023E+00, 6.905E+02, 5.964E+00
 6.016E+00, 6.906E+02, 7.019E+00
 7.025E+00, 6.911E+02, 7.839E+00
 8.022E+00, 6.907E+02, 7.974E+00
 9.027E+00, 6.905E+02, 9.848E+00
 1.000E+01, 6.905E+02, 1.056E+01
 1.101E+01, 6.905E+02, 1.089E+01
 1.202E+01, 6.905E+02, 1.181E+01
 1.302E+01, 6.905E+02, 1.110E+01
 1.401E+01, 6.905E+02, 1.165E+01
 1.502E+01, 6.905E+02, 1.315E+01
 1.600E+01, 6.905E+02, 1.477E+01
 1.700E+01, 6.915E+02, 1.267E+01
 1.801E+01, 6.934E+02, 1.514E+01
 1.901E+01, 6.970E+02, 1.221E+01
 2.001E+01, 6.977E+02, 1.110E+01
 2.101E+01, 7.000E+02, 1.276E+01
 2.201E+01, 7.046E+02, 1.293E+01
 2.301E+01, 7.104E+02, 1.177E+01
 2.400E+01, 7.158E+02, 1.247E+01
 2.501E+01, 7.147E+02, 1.401E+01
 2.600E+01, 7.257E+02, 1.387E+01
 2.700E+01, 7.323E+02, 1.396E+01
 2.801E+01, 7.438E+02, 1.229E+01
 2.901E+01, 7.592E+02, 1.412E+01
 3.001E+01, 7.563E+02, 1.480E+01
 3.101E+01, 7.702E+02, 1.250E+01
 3.200E+01, 7.779E+02, 1.264E+01
 3.301E+01, 7.900E+02, 1.227E+01
 3.401E+01, 8.024E+02, 1.393E+01
 3.501E+01, 8.121E+02, 1.257E+01
 3.601E+01, 8.254E+02, 1.379E+01
 3.701E+01, 8.299E+02, 1.385E+01
 3.800E+01, 8.366E+02, 1.457E+01
 3.900E+01, 8.393E+02, 1.268E+01
 4.001E+01, 8.511E+02, 1.397E+01
 4.100E+01, 8.611E+02, 1.096E+01
 4.200E+01, 8.656E+02, 1.281E+01
 4.301E+01, 8.724E+02, 1.187E+01
 4.400E+01, 8.750E+02, 1.316E+01
 4.501E+01, 8.928E+02, 1.287E+01
 4.601E+01, 9.172E+02, 1.081E+01
