s,C,C,C,C,C,C,C,C,Pa,mol/mol,mol/mol,kW
Time,"West_All_TCs","East_All_TCs","West_Bottom_TCs","West_Middle_TCs","West_Upper_TCs","East_Bottom_TCs","East_Middle_TCs","East_Upper_TCs","Pressure","O2","CO2","HRR"
-6.000E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 0.000E+00, 2.095E-01, 3.901E-04, 0.000E+00
-3.996E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 1.417E-02, 2.095E-01, 3.901E-04, 0.000E+00
-1.992E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 9.432E-03, 2.095E-01, 3.901E-04, 0.000E+00
 1.301E-02, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 2.640E-03, 2.095E-01, 3.901E-04, 1.728E-04
 2.001E+01, 4.297E+01, 4.491E+01, 3.648E+01, 3.970E+01, 5.274E+01, 3.897E+01, 3.897E+01, 5.681E+01, 1.656E+02, 2.082E-01, 1.121E-03, 1.321E+02
 4.000E+01, 8.797E+01, 9.256E+01, 5.120E+01, 9.391E+01, 1.188E+02, 5.817E+01, 9.338E+01, 1.261E+02, 7.480E+02, 2.020E-01, 4.598E-03, 3.643E+02
 6.001E+01, 1.379E+02, 1.378E+02, 9.594E+01, 1.491E+02, 1.687E+02, 9.864E+01, 1.424E+02, 1.723E+02, 4.928E+02, 1.950E-01, 8.500E-03, 3.996E+02
 8.001E+01, 1.690E+02, 1.700E+02, 1.321E+02, 1.792E+02, 1.957E+02, 1.328E+02, 1.750E+02, 2.022E+02, 1.847E+02, 1.885E-01, 1.215E-02, 3.998E+02
 1.000E+02, 1.865E+02, 1.892E+02, 1.537E+02, 1.933E+02, 2.125E+02, 1.542E+02, 1.924E+02, 2.209E+02, 6.533E+01, 1.820E-01, 1.580E-02, 3.992E+02
