s,C,C,C,C,C,C,C,C,Pa,mol/mol,mol/mol,kW
Time,"West_All_TCs","East_All_TCs","West_Bottom_TCs","West_Middle_TCs","West_Upper_TCs","East_Bottom_TCs","East_Middle_TCs","East_Upper_TCs","Pressure","O2","CO2","HRR"
-6.000E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 0.000E+00, 2.095E-01, 3.901E-04, 0.000E+00
-4.998E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01,-1.642E-02, 2.095E-01, 3.901E-04, 0.000E+00
-3.996E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.810E-02, 2.095E-01, 3.901E-04, 0.000E+00
-2.994E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 5.135E-04, 2.095E-01, 3.901E-04, 0.000E+00
-1.992E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 1.439E-02, 2.095E-01, 3.901E-04, 0.000E+00
-9.896E+00, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 1.706E-02, 2.095E-01, 3.901E-04, 0.000E+00
 1.301E-02, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01, 3.100E+01,-1.564E-02, 2.095E-01, 3.901E-04, 1.748E-04
 1.002E+01, 3.187E+01, 3.223E+01, 3.150E+01, 3.116E+01, 3.296E+01, 3.182E+01, 3.121E+01, 3.366E+01, 1.520E+01, 2.093E-01, 5.396E-04, 3.381E+01
 2.002E+01, 3.550E+01, 3.634E+01, 3.269E+01, 3.364E+01, 4.015E+01, 3.389E+01, 3.300E+01, 4.214E+01, 8.335E+01, 2.085E-01, 9.938E-04, 9.921E+01
 3.001E+01, 4.374E+01, 4.536E+01, 3.432E+01, 4.042E+01, 5.649E+01, 3.649E+01, 4.131E+01, 5.827E+01, 1.969E+02, 2.066E-01, 2.042E-03, 1.657E+02
 4.001E+01, 5.627E+01, 5.730E+01, 3.796E+01, 5.664E+01, 7.421E+01, 4.011E+01, 5.515E+01, 7.665E+01, 2.574E+02, 2.048E-01, 3.014E-03, 1.999E+02
 5.000E+01, 6.794E+01, 6.916E+01, 4.294E+01, 7.177E+01, 8.910E+01, 4.554E+01, 7.134E+01, 9.061E+01, 2.076E+02, 2.031E-01, 4.019E-03, 1.999E+02
 6.002E+01, 7.926E+01, 8.010E+01, 5.158E+01, 8.465E+01, 1.015E+02, 5.413E+01, 8.392E+01, 1.022E+02, 1.669E+02, 2.019E-01, 4.686E-03, 2.002E+02
 7.001E+01, 8.924E+01, 9.045E+01, 6.173E+01, 9.643E+01, 1.096E+02, 6.470E+01, 9.510E+01, 1.115E+02, 1.259E+02, 2.002E-01, 5.633E-03, 1.998E+02
 8.001E+01, 9.940E+01, 9.954E+01, 7.132E+01, 1.074E+02, 1.195E+02, 7.402E+01, 1.047E+02, 1.200E+02, 9.510E+01, 1.990E-01, 6.284E-03, 1.994E+02
 9.001E+01, 1.069E+02, 1.076E+02, 8.084E+01, 1.137E+02, 1.262E+02, 8.180E+01, 1.120E+02, 1.289E+02, 7.044E+01, 1.976E-01, 7.049E-03, 1.995E+02
 1.000E+02, 1.131E+02, 1.136E+02, 8.835E+01, 1.193E+02, 1.317E+02, 9.063E+01, 1.163E+02, 1.339E+02, 5.360E+01, 1.962E-01, 7.852E-03, 2.003E+02
