s,C,C,C,C,C,C,C,C,Pa,mol/mol,mol/mol,kW
Time,"West_All_TCs","East_All_TCs","West_Bottom_TCs","West_Middle_TCs","West_Upper_TCs","East_Bottom_TCs","East_Middle_TCs","East_Upper_TCs","Pressure","O2","CO2","HRR"
-2.000E+02, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 0.000E+00, 2.095E-01, 3.901E-04, 0.000E+00
 8.049E-02, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 2.100E+01, 1.206E-06, 2.095E-01, 3.901E-04, 0.000E+00
 2.000E+02, 1.186E+02, 1.259E+02, 8.715E+01, 1.942E+02, 7.448E+01, 1.017E+02, 2.028E+02, 7.330E+01, 6.327E-01, 2.028E-01, 4.153E-03, 3.595E+02
 4.000E+02, 1.263E+02, 1.335E+02, 9.292E+01, 2.025E+02, 8.343E+01, 1.064E+02, 2.140E+02, 8.000E+01, 9.869E-01, 1.904E-01, 1.108E-02, 3.888E+02
 6.000E+02, 1.329E+02, 1.382E+02, 1.015E+02, 2.080E+02, 8.904E+01, 1.120E+02, 2.138E+02, 8.887E+01, 1.050E+00, 1.867E-01, 1.311E-02, 3.883E+02
 8.000E+02, 1.370E+02, 1.424E+02, 9.919E+01, 2.160E+02, 9.583E+01, 1.102E+02, 2.241E+02, 9.285E+01, 1.192E+00, 1.859E-01, 1.359E-02, 3.884E+02
 1.000E+03, 1.390E+02, 1.469E+02, 9.427E+01, 2.223E+02, 1.005E+02, 1.108E+02, 2.316E+02, 9.836E+01, 1.287E+00, 1.859E-01, 1.355E-02, 3.882E+02
 1.200E+03, 1.408E+02, 1.498E+02, 9.700E+01, 2.227E+02, 1.026E+02, 1.169E+02, 2.284E+02, 1.041E+02, 1.315E+00, 1.859E-01, 1.356E-02, 3.880E+02
 1.400E+03, 1.431E+02, 1.501E+02, 9.815E+01, 2.217E+02, 1.094E+02, 1.149E+02, 2.326E+02, 1.029E+02, 1.419E+00, 1.861E-01, 1.345E-02, 3.879E+02
 1.600E+03, 1.457E+02, 1.552E+02, 1.022E+02, 2.242E+02, 1.107E+02, 1.205E+02, 2.352E+02, 1.098E+02, 1.566E+00, 1.862E-01, 1.343E-02, 3.878E+02
 1.800E+03, 1.505E+02, 1.576E+02, 1.045E+02, 2.306E+02, 1.163E+02, 1.240E+02, 2.377E+02, 1.112E+02, 1.434E+00, 1.863E-01, 1.333E-02, 3.879E+02
 2.000E+03, 1.509E+02, 1.587E+02, 1.043E+02, 2.286E+02, 1.199E+02, 1.249E+02, 2.388E+02, 1.126E+02, 1.580E+00, 1.862E-01, 1.343E-02, 3.878E+02
 2.200E+03, 1.516E+02, 1.612E+02, 1.053E+02, 2.300E+02, 1.195E+02, 1.251E+02, 2.418E+02, 1.167E+02, 1.635E+00, 1.863E-01, 1.333E-02, 3.877E+02
 2.400E+03, 1.538E+02, 1.608E+02, 1.045E+02, 2.353E+02, 1.215E+02, 1.220E+02, 2.421E+02, 1.182E+02, 1.656E+00, 1.864E-01, 1.330E-02, 3.877E+02
 2.600E+03, 1.549E+02, 1.643E+02, 1.067E+02, 2.319E+02, 1.260E+02, 1.257E+02, 2.450E+02, 1.223E+02, 1.771E+00, 1.864E-01, 1.329E-02, 3.875E+02
 2.800E+03, 1.549E+02, 1.661E+02, 1.060E+02, 2.342E+02, 1.246E+02, 1.295E+02, 2.467E+02, 1.219E+02, 1.744E+00, 1.864E-01, 1.330E-02, 3.875E+02
 3.000E+03, 1.585E+02, 1.676E+02, 1.115E+02, 2.371E+02, 1.269E+02, 1.317E+02, 2.481E+02, 1.229E+02, 1.784E+00, 1.864E-01, 1.332E-02, 3.875E+02
 3.200E+03, 1.580E+02, 1.662E+02, 1.082E+02, 2.361E+02, 1.296E+02, 1.251E+02, 2.471E+02, 1.264E+02, 1.855E+00, 1.864E-01, 1.327E-02, 3.877E+02
 3.400E+03, 1.597E+02, 1.678E+02, 1.135E+02, 2.355E+02, 1.303E+02, 1.317E+02, 2.424E+02, 1.294E+02, 1.842E+00, 1.865E-01, 1.325E-02, 3.874E+02
 3.600E+03, 1.600E+02, 1.685E+02, 1.107E+02, 2.353E+02, 1.339E+02, 1.276E+02, 2.478E+02, 1.302E+02, 1.912E+00, 1.866E-01, 1.320E-02, 3.873E+02
 3.800E+03, 1.631E+02, 1.685E+02, 1.132E+02, 2.423E+02, 1.339E+02, 1.263E+02, 2.472E+02, 1.319E+02, 1.894E+00, 1.867E-01, 1.311E-02, 3.872E+02
 4.000E+03, 1.619E+02, 1.705E+02, 1.134E+02, 2.386E+02, 1.338E+02, 1.309E+02, 2.480E+02, 1.324E+02, 1.947E+00, 1.867E-01, 1.311E-02, 3.872E+02
