s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
-5.000E+02, 0.000E+00,-5.372E-04, 1.711E-06, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.355E-04, 0.000E+00, 0.000E+00,-8.316E-01
-4.700E+02, 0.000E+00, 7.288E-02,-2.749E+00, 3.283E-02, 0.000E+00,-1.060E+00, 0.000E+00,-3.704E+00,-3.703E+00, 0.000E+00, 0.000E+00,-2.959E+02
-4.400E+02, 0.000E+00, 6.040E-02,-8.819E-02, 3.735E-02, 0.000E+00,-9.653E-04, 0.000E+00,-2.135E-03, 8.597E-03, 0.000E+00, 0.000E+00,-2.961E+02
-4.100E+02, 0.000E+00, 5.020E-02,-6.908E-02, 3.254E-02, 0.000E+00,-1.469E-03, 0.000E+00,-2.081E-04, 1.219E-02, 0.000E+00, 0.000E+00,-2.961E+02
-3.800E+02, 0.000E+00, 4.178E-02,-4.445E-02, 2.524E-02, 0.000E+00, 4.348E-04, 0.000E+00, 3.883E-04, 2.301E-02, 0.000E+00, 0.000E+00,-2.960E+02
-3.499E+02, 0.000E+00, 3.561E-02,-3.358E-02, 2.162E-02, 0.000E+00,-1.213E-03, 0.000E+00,-4.516E-03, 2.244E-02, 0.000E+00, 0.000E+00,-2.964E+02
-3.199E+02, 0.000E+00, 3.051E-02,-1.314E-02, 1.854E-02, 0.000E+00, 3.089E-03, 0.000E+00, 7.751E-03, 3.900E-02, 0.000E+00, 0.000E+00,-2.958E+02
-2.899E+02, 0.000E+00, 2.656E-02,-1.685E-02, 1.602E-02, 0.000E+00,-2.357E-03, 0.000E+00,-1.749E-03, 2.337E-02, 0.000E+00, 0.000E+00,-2.959E+02
-2.599E+02, 0.000E+00, 2.340E-02,-7.936E-03, 1.424E-02, 0.000E+00,-1.200E-03, 0.000E+00,-6.279E-03, 2.850E-02, 0.000E+00, 0.000E+00,-2.964E+02
-2.300E+02, 0.000E+00, 2.083E-02, 4.942E-03, 1.221E-02, 0.000E+00, 1.652E-03, 0.000E+00, 5.337E-03, 3.963E-02, 0.000E+00, 0.000E+00,-2.960E+02
-2.000E+02, 0.000E+00, 1.870E-02, 5.275E-03, 1.144E-02, 0.000E+00, 1.817E-04, 0.000E+00, 4.269E-04, 3.559E-02, 0.000E+00, 0.000E+00,-2.960E+02
-1.700E+02, 0.000E+00, 1.706E-02, 9.816E-03, 1.039E-02, 0.000E+00, 1.418E-04, 0.000E+00, 2.208E-03, 3.741E-02, 0.000E+00, 0.000E+00,-2.958E+02
-1.400E+02, 0.000E+00, 1.592E-02, 1.281E-02, 9.491E-03, 0.000E+00,-7.360E-05, 0.000E+00,-7.559E-03, 3.815E-02, 0.000E+00, 0.000E+00,-2.964E+02
-1.099E+02, 0.000E+00, 1.500E-02, 1.202E-02, 9.030E-03, 0.000E+00,-1.023E-03, 0.000E+00, 3.241E-03, 3.503E-02, 0.000E+00, 0.000E+00,-2.961E+02
-7.993E+01, 0.000E+00, 1.428E-02, 1.393E-02, 8.400E-03, 0.000E+00,-9.479E-04, 0.000E+00,-2.317E-04, 3.566E-02, 0.000E+00, 0.000E+00,-2.962E+02
-4.992E+01, 0.000E+00, 1.366E-02, 2.172E-02, 8.165E-03, 0.000E+00, 1.808E-03, 0.000E+00, 2.005E-03, 4.535E-02, 0.000E+00, 0.000E+00,-2.960E+02
-1.999E+01, 0.000E+00, 1.306E-02, 1.707E-02, 7.976E-03, 0.000E+00,-3.151E-04, 0.000E+00,-5.555E-03, 3.779E-02, 0.000E+00, 0.000E+00,-2.964E+02
 1.002E+01, 9.875E+00,-1.575E+00,-6.624E+00,-3.109E-01, 5.298E-02, 5.302E-01, 0.000E+00, 1.852E+00, 1.947E+00, 2.242E-04, 2.242E-04,-1.488E+02
 4.001E+01, 1.480E+02,-2.706E+01,-9.454E+01,-1.679E+01, 6.916E-01, 3.924E-01, 0.000E+00, 1.379E+00, 1.068E+01, 3.113E-03, 3.113E-03,-3.904E+01
 7.001E+01, 1.921E+02,-4.769E+01,-8.420E+01,-3.586E+01, 8.622E-01,-1.897E-01, 0.000E+00,-6.629E-01, 2.507E+01, 3.999E-03, 3.999E-03,-9.184E+01
