s,C,C,C,C,C,C,C,C,Pa,mol/mol,mol/mol,kW
Time,"West_All_TCs","East_All_TCs","West_Bottom_TCs","West_Middle_TCs","West_Upper_TCs","East_Bottom_TCs","East_Middle_TCs","East_Upper_TCs","Pressure","O2","CO2","HRR"
-4.000E+02, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 2.500E+01, 0.000E+00, 2.095E-01, 3.901E-04, 0.000E+00
 6.680E-02, 2.498E+01, 2.498E+01, 2.502E+01, 2.496E+01, 2.494E+01, 2.502E+01, 2.497E+01, 2.496E+01,-6.983E+01, 2.095E-01, 3.901E-04, 0.000E+00
 4.000E+02, 1.248E+02, 1.292E+02, 1.315E+02, 1.836E+02, 5.941E+01, 1.438E+02, 1.854E+02, 5.840E+01,-3.347E+01, 1.989E-01, 6.344E-03, 1.892E+02
 8.000E+02, 1.367E+02, 1.421E+02, 1.446E+02, 1.994E+02, 6.603E+01, 1.589E+02, 2.023E+02, 6.497E+01,-5.051E+01, 1.681E-01, 2.351E-02, 1.976E+02
 1.200E+03, 1.469E+02, 1.524E+02, 1.563E+02, 2.107E+02, 7.388E+01, 1.689E+02, 2.141E+02, 7.433E+01,-4.810E+01, 1.493E-01, 3.402E-02, 1.975E+02
 1.600E+03, 1.561E+02, 1.605E+02, 1.638E+02, 2.218E+02, 8.284E+01, 1.771E+02, 2.223E+02, 8.228E+01,-4.705E+01, 1.425E-01, 3.778E-02, 1.976E+02
 2.000E+03, 1.635E+02, 1.663E+02, 1.739E+02, 2.293E+02, 8.712E+01, 1.845E+02, 2.287E+02, 8.573E+01,-4.632E+01, 1.406E-01, 3.886E-02, 1.976E+02
 2.400E+03, 1.692E+02, 1.719E+02, 1.777E+02, 2.363E+02, 9.341E+01, 1.875E+02, 2.371E+02, 9.122E+01,-4.523E+01, 1.401E-01, 3.915E-02, 1.976E+02
 2.800E+03, 1.744E+02, 1.764E+02, 1.843E+02, 2.421E+02, 9.686E+01, 1.923E+02, 2.415E+02, 9.535E+01,-4.421E+01, 1.396E-01, 3.943E-02, 1.976E+02
 3.200E+03, 1.802E+02, 1.807E+02, 1.915E+02, 2.482E+02, 1.009E+02, 1.975E+02, 2.462E+02, 9.832E+01,-4.348E+01, 1.393E-01, 3.958E-02, 1.976E+02
 3.600E+03, 1.829E+02, 1.856E+02, 1.950E+02, 2.507E+02, 1.032E+02, 2.045E+02, 2.519E+02, 1.005E+02,-4.290E+01, 1.388E-01, 3.985E-02, 1.976E+02
 4.000E+03, 1.859E+02, 1.897E+02, 1.955E+02, 2.553E+02, 1.070E+02, 2.093E+02, 2.568E+02, 1.031E+02,-4.215E+01, 1.385E-01, 4.005E-02, 1.976E+02
 4.400E+03, 1.921E+02, 1.917E+02, 2.007E+02, 2.634E+02, 1.122E+02, 2.100E+02, 2.591E+02, 1.060E+02,-4.196E+01, 1.382E-01, 4.019E-02, 1.977E+02
 4.800E+03, 1.949E+02, 1.950E+02, 2.077E+02, 2.652E+02, 1.120E+02, 2.143E+02, 2.630E+02, 1.077E+02,-4.204E+01, 1.381E-01, 4.030E-02, 1.976E+02
 5.200E+03, 1.956E+02, 1.991E+02, 2.061E+02, 2.661E+02, 1.145E+02, 2.189E+02, 2.671E+02, 1.114E+02,-4.175E+01, 1.381E-01, 4.028E-02, 1.977E+02
 5.600E+03, 2.001E+02, 2.022E+02, 2.122E+02, 2.718E+02, 1.164E+02, 2.238E+02, 2.689E+02, 1.140E+02,-4.174E+01, 1.381E-01, 4.027E-02, 1.977E+02
 6.000E+03, 2.015E+02, 2.057E+02, 2.127E+02, 2.726E+02, 1.194E+02, 2.257E+02, 2.741E+02, 1.173E+02,-4.171E+01, 1.382E-01, 4.022E-02, 1.976E+02
