s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 3.700E+02, 1.957E+02,-8.887E+01,-5.006E+01,-5.725E+01, 7.191E-01, 3.058E-02, 0.000E+00, 1.051E-01, 2.336E-01, 3.999E-03, 3.999E-03,-2.498E+02
 4.000E+02, 1.955E+02,-8.921E+01,-5.021E+01,-5.664E+01, 7.127E-01, 2.795E-02, 0.000E+00, 1.033E-01, 2.185E-01, 3.999E-03, 3.999E-03,-2.416E+02
 4.300E+02, 1.958E+02,-8.967E+01,-5.021E+01,-5.642E+01, 7.118E-01, 3.606E-02, 0.000E+00, 1.217E-01, 2.533E-01, 3.999E-03, 3.999E-03,-2.319E+02
 4.600E+02, 1.958E+02,-9.029E+01,-4.981E+01,-5.635E+01, 7.078E-01,-7.044E-03, 0.000E+00,-2.645E-02, 9.896E-02, 3.999E-03, 3.999E-03,-2.340E+02
 4.900E+02, 1.958E+02,-9.009E+01,-5.098E+01,-5.527E+01, 7.047E-01, 1.303E-02, 0.000E+00, 3.709E-02, 1.741E-01, 3.999E-03, 3.999E-03,-2.311E+02
 5.200E+02, 1.957E+02,-9.038E+01,-5.084E+01,-5.513E+01, 7.023E-01,-4.652E-02, 0.000E+00,-1.606E-01,-4.360E-02, 3.999E-03, 3.999E-03,-2.439E+02
 5.500E+02, 1.960E+02,-9.112E+01,-5.013E+01,-5.521E+01, 6.986E-01, 3.440E-02, 0.000E+00, 1.179E-01, 2.456E-01, 3.999E-03, 3.999E-03,-2.345E+02
 5.800E+02, 1.962E+02,-9.178E+01,-4.941E+01,-5.568E+01, 6.926E-01,-2.100E-02, 0.000E+00,-6.869E-02, 4.558E-02, 3.999E-03, 3.999E-03,-2.399E+02
 6.100E+02, 1.960E+02,-9.197E+01,-4.928E+01,-5.529E+01, 6.895E-01, 1.417E-02, 0.000E+00, 5.208E-02, 1.720E-01, 3.999E-03, 3.999E-03,-2.358E+02
 6.400E+02, 1.962E+02,-9.180E+01,-5.057E+01,-5.451E+01, 6.917E-01,-3.807E-02, 0.000E+00,-1.308E-01,-1.152E-02, 3.999E-03, 3.999E-03,-2.462E+02
 6.700E+02, 1.963E+02,-9.154E+01,-5.127E+01,-5.391E+01, 6.892E-01, 6.346E-02, 0.000E+00, 2.274E-01, 3.445E-01, 3.999E-03, 3.999E-03,-2.281E+02
 7.000E+02, 1.962E+02,-9.146E+01,-5.142E+01,-5.389E+01, 6.865E-01,-1.234E-02, 0.000E+00,-4.828E-02, 8.340E-02, 3.999E-03, 3.999E-03,-2.320E+02
 7.300E+02, 1.957E+02,-9.098E+01,-5.270E+01,-5.252E+01, 6.882E-01, 2.408E-02, 0.000E+00, 8.127E-02, 2.095E-01, 3.999E-03, 3.999E-03,-2.255E+02
 7.600E+02, 1.959E+02,-9.105E+01,-5.291E+01,-5.245E+01, 6.879E-01, 1.301E-02, 0.000E+00, 3.706E-02, 1.748E-01, 3.999E-03, 3.999E-03,-2.225E+02
 7.900E+02, 1.959E+02,-9.105E+01,-5.285E+01,-5.251E+01, 6.854E-01, 3.623E-02, 0.000E+00, 1.298E-01, 2.480E-01, 3.999E-03, 3.999E-03,-2.122E+02
 8.200E+02, 1.958E+02,-9.130E+01,-5.327E+01,-5.202E+01, 6.871E-01,-8.732E-02, 0.000E+00,-3.034E-01,-1.874E-01, 3.999E-03, 3.999E-03,-2.363E+02
 8.500E+02, 1.963E+02,-9.187E+01,-5.239E+01,-5.237E+01, 6.836E-01, 8.834E-02, 0.000E+00, 3.069E-01, 4.354E-01, 3.999E-03, 3.999E-03,-2.119E+02
 8.800E+02, 1.959E+02,-9.204E+01,-5.247E+01,-5.201E+01, 6.826E-01,-3.560E-02, 0.000E+00,-1.173E-01,-8.235E-03, 3.999E-03, 3.999E-03,-2.212E+02
 9.100E+02, 1.957E+02,-9.225E+01,-5.264E+01,-5.134E+01, 6.810E-01, 2.754E-04, 0.000E+00,-2.875E-03, 1.244E-01, 3.999E-03, 3.999E-03,-2.215E+02
 9.400E+02, 1.962E+02,-9.252E+01,-5.250E+01,-5.174E+01, 6.793E-01,-9.631E-03, 0.000E+00,-3.207E-02, 8.645E-02, 3.999E-03, 3.999E-03,-2.240E+02
 9.700E+02, 1.961E+02,-9.289E+01,-5.211E+01,-5.158E+01, 6.787E-01, 1.989E-02, 0.000E+00, 6.339E-02, 1.950E-01, 3.999E-03, 3.999E-03,-2.190E+02
 1.000E+03, 1.962E+02,-9.315E+01,-5.204E+01,-5.163E+01, 6.800E-01,-2.222E-02, 0.000E+00,-7.155E-02, 3.900E-02, 3.999E-03, 3.999E-03,-2.247E+02
 1.030E+03, 1.961E+02,-9.333E+01,-5.206E+01,-5.116E+01, 6.757E-01, 2.539E-02, 0.000E+00, 9.278E-02, 2.084E-01, 3.999E-03, 3.999E-03,-2.173E+02
 1.060E+03, 1.960E+02,-9.324E+01,-5.267E+01,-5.065E+01, 6.748E-01, 1.426E-02, 0.000E+00, 5.047E-02, 1.722E-01, 3.999E-03, 3.999E-03,-2.133E+02
 1.090E+03, 1.957E+02,-9.316E+01,-5.315E+01,-5.005E+01, 6.788E-01,-3.384E-02, 0.000E+00,-1.164E-01,-4.051E-04, 3.999E-03, 3.999E-03,-2.225E+02
 1.120E+03, 1.959E+02,-9.325E+01,-5.316E+01,-5.004E+01, 6.778E-01, 5.692E-03, 0.000E+00, 2.980E-02, 1.339E-01, 3.999E-03, 3.999E-03,-2.202E+02
 1.150E+03, 1.961E+02,-9.363E+01,-5.282E+01,-5.016E+01, 6.741E-01, 2.001E-02, 0.000E+00, 6.478E-02, 1.965E-01, 3.999E-03, 3.999E-03,-2.150E+02
 1.180E+03, 1.960E+02,-9.367E+01,-5.286E+01,-5.001E+01, 6.780E-01,-1.251E-02, 0.000E+00,-5.167E-02, 8.102E-02, 3.999E-03, 3.999E-03,-2.191E+02
 1.210E+03, 1.961E+02,-9.404E+01,-5.277E+01,-4.989E+01, 6.720E-01,-9.894E-03, 0.000E+00,-2.864E-02, 8.371E-02, 3.999E-03, 3.999E-03,-2.214E+02
 1.240E+03, 1.960E+02,-9.395E+01,-5.284E+01,-4.963E+01, 6.711E-01, 4.289E-02, 0.000E+00, 1.417E-01, 2.783E-01, 3.999E-03, 3.999E-03,-2.101E+02
 1.270E+03, 1.961E+02,-9.410E+01,-5.332E+01,-4.928E+01, 6.754E-01,-5.244E-03, 0.000E+00,-1.504E-02, 1.005E-01, 3.999E-03, 3.999E-03,-2.113E+02
 1.300E+03, 1.962E+02,-9.462E+01,-5.246E+01,-4.972E+01, 6.697E-01,-1.439E-02, 0.000E+00,-4.818E-02, 6.908E-02, 3.999E-03, 3.999E-03,-2.152E+02
 1.330E+03, 1.961E+02,-9.422E+01,-5.301E+01,-4.936E+01, 6.688E-01, 1.295E-02, 0.000E+00, 3.785E-02, 1.729E-01, 3.999E-03, 3.999E-03,-2.121E+02
