s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
-6.000E+01, 0.000E+00,-5.556E-04,-3.241E-06, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.588E-04, 0.000E+00, 0.000E+00
-4.998E+01, 0.000E+00,-3.166E-06,-3.891E-06,-3.517E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-7.409E-06, 0.000E+00, 0.000E+00
-3.996E+01, 0.000E+00,-2.545E-06,-1.984E-05,-8.291E-07,-4.829E-21, 0.000E+00, 0.000E+00, 0.000E+00,-2.322E-05, 0.000E+00, 0.000E+00
-2.994E+01, 0.000E+00,-2.689E-06,-3.093E-05,-8.851E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.450E-05, 0.000E+00, 0.000E+00
-1.992E+01, 0.000E+00,-2.902E-06,-3.877E-05,-8.349E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.251E-05, 0.000E+00, 0.000E+00
-9.896E+00, 0.000E+00,-3.174E-06,-4.392E-05,-7.676E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.786E-05, 0.000E+00, 0.000E+00
 1.301E-02, 4.362E-04,-3.500E-06,-4.930E-04,-5.466E-07, 8.540E-06, 0.000E+00, 0.000E+00, 0.000E+00,-5.231E-05, 3.745E-08, 3.745E-08
 1.002E+01, 8.339E+01,-1.457E+01,-6.466E+01,-4.510E+00, 3.608E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.314E-02, 1.677E-03, 1.677E-03
 2.000E+01, 2.445E+02,-4.274E+01,-1.802E+02,-2.251E+01, 1.001E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.354E-02, 5.005E-03, 5.005E-03
 3.001E+01, 4.124E+02,-8.039E+01,-2.813E+02,-5.216E+01, 1.481E+00, 0.000E+00, 0.000E+00, 0.000E+00, 7.410E-02, 8.336E-03, 8.336E-03
 4.001E+01, 5.028E+02,-1.229E+02,-2.959E+02,-8.576E+01, 1.725E+00, 0.000E+00, 0.000E+00, 0.000E+00,-9.888E-02, 9.998E-03, 9.998E-03
 5.001E+01, 4.991E+02,-1.508E+02,-2.452E+02,-1.051E+02, 1.752E+00, 0.000E+00, 0.000E+00, 0.000E+00,-2.857E-01, 9.998E-03, 9.998E-03
 6.000E+01, 4.965E+02,-1.673E+02,-2.181E+02,-1.133E+02, 1.724E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.851E-01, 9.998E-03, 9.998E-03
 7.001E+01, 5.034E+02,-1.740E+02,-2.168E+02,-1.149E+02, 1.785E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.103E-01, 9.998E-03, 9.998E-03
 8.001E+01, 5.008E+02,-1.781E+02,-2.096E+02,-1.154E+02, 1.796E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.918E-01, 9.998E-03, 9.998E-03
 9.000E+01, 4.988E+02,-1.798E+02,-2.063E+02,-1.151E+02, 1.794E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.073E-01, 9.998E-03, 9.998E-03
 1.000E+02, 4.989E+02,-1.774E+02,-2.132E+02,-1.108E+02, 1.797E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.734E-01, 9.998E-03, 9.998E-03
 1.100E+02, 5.009E+02,-1.825E+02,-2.036E+02,-1.174E+02, 1.794E+00, 0.000E+00, 0.000E+00, 0.000E+00,-8.203E-01, 9.998E-03, 9.998E-03
 1.200E+02, 5.004E+02,-1.859E+02,-2.012E+02,-1.158E+02, 1.809E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.447E-01, 9.998E-03, 9.998E-03
 1.300E+02, 4.996E+02,-1.863E+02,-2.012E+02,-1.146E+02, 1.811E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.873E-01, 9.998E-03, 9.998E-03
 1.400E+02, 5.006E+02,-1.848E+02,-2.047E+02,-1.137E+02, 1.793E+00, 0.000E+00, 0.000E+00, 0.000E+00,-8.747E-01, 9.998E-03, 9.998E-03
 1.500E+02, 4.996E+02,-1.857E+02,-2.047E+02,-1.119E+02, 1.812E+00, 0.000E+00, 0.000E+00, 0.000E+00,-7.637E-01, 9.998E-03, 9.998E-03
 1.600E+02, 4.999E+02,-1.868E+02,-2.037E+02,-1.120E+02, 1.793E+00, 0.000E+00, 0.000E+00, 0.000E+00,-7.463E-01, 9.998E-03, 9.998E-03
 1.700E+02, 4.978E+02,-1.871E+02,-2.023E+02,-1.110E+02, 1.791E+00, 0.000E+00, 0.000E+00, 0.000E+00,-8.543E-01, 9.998E-03, 9.998E-03
 1.800E+02, 5.014E+02,-1.869E+02,-2.070E+02,-1.103E+02, 1.796E+00, 0.000E+00, 0.000E+00, 0.000E+00,-9.428E-01, 9.998E-03, 9.998E-03
 1.900E+02, 4.993E+02,-1.890E+02,-2.020E+02,-1.109E+02, 1.797E+00, 0.000E+00, 0.000E+00, 0.000E+00,-7.273E-01, 9.998E-03, 9.998E-03
 2.000E+02, 4.994E+02,-1.919E+02,-1.991E+02,-1.110E+02, 1.802E+00, 0.000E+00, 0.000E+00, 0.000E+00,-8.317E-01, 9.998E-03, 9.998E-03
 2.100E+02, 4.992E+02,-1.913E+02,-2.014E+02,-1.092E+02, 1.812E+00, 0.000E+00, 0.000E+00, 0.000E+00,-8.925E-01, 9.998E-03, 9.998E-03
 2.200E+02, 5.012E+02,-1.903E+02,-2.065E+02,-1.069E+02, 1.790E+00, 0.000E+00, 0.000E+00, 0.000E+00,-7.728E-01, 9.998E-03, 9.998E-03
 2.300E+02, 4.996E+02,-1.919E+02,-2.026E+02,-1.076E+02, 1.796E+00, 0.000E+00, 0.000E+00, 0.000E+00,-7.648E-01, 9.998E-03, 9.998E-03
 2.400E+02, 5.001E+02,-1.907E+02,-2.066E+02,-1.053E+02, 1.799E+00, 0.000E+00, 0.000E+00, 0.000E+00,-7.056E-01, 9.998E-03, 9.998E-03
 2.500E+02, 4.999E+02,-1.918E+02,-2.051E+02,-1.056E+02, 1.804E+00, 0.000E+00, 0.000E+00, 0.000E+00,-7.747E-01, 9.998E-03, 9.998E-03
 2.600E+02, 5.001E+02,-1.884E+02,-2.132E+02,-1.011E+02, 1.810E+00, 0.000E+00, 0.000E+00, 0.000E+00,-8.413E-01, 9.998E-03, 9.998E-03
 2.700E+02, 5.008E+02,-1.873E+02,-2.147E+02,-1.016E+02, 1.835E+00, 0.000E+00, 0.000E+00, 0.000E+00,-8.813E-01, 9.998E-03, 9.998E-03
 2.800E+02, 4.986E+02,-1.904E+02,-2.066E+02,-1.041E+02, 1.810E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.912E-01, 9.998E-03, 9.998E-03
