s,C,C,C,C,C,C,C,C,Pa,mol/mol,mol/mol,kW
Time,"West_All_TCs","East_All_TCs","West_Bottom_TCs","West_Middle_TCs","West_Upper_TCs","East_Bottom_TCs","East_Middle_TCs","East_Upper_TCs","Pressure","O2","CO2","HRR"
-4.000E+02, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 2.800E+01, 0.000E+00, 2.095E-01, 3.901E-04, 0.000E+00
 3.747E-02, 2.795E+01, 2.795E+01, 2.800E+01, 2.794E+01, 2.792E+01, 2.799E+01, 2.793E+01, 2.794E+01,-2.839E+02, 2.095E-01, 3.901E-04, 0.000E+00
 4.000E+02, 1.239E+02, 1.239E+02, 1.172E+02, 1.746E+02, 7.984E+01, 1.202E+02, 1.735E+02, 7.806E+01,-1.931E+02, 1.961E-01, 7.856E-03, 1.878E+02
 8.000E+02, 1.366E+02, 1.360E+02, 1.276E+02, 1.894E+02, 9.266E+01, 1.320E+02, 1.878E+02, 8.804E+01,-2.181E+02, 1.801E-01, 1.682E-02, 1.960E+02
 1.200E+03, 1.443E+02, 1.444E+02, 1.343E+02, 1.992E+02, 9.955E+01, 1.392E+02, 1.983E+02, 9.556E+01,-2.155E+02, 1.781E-01, 1.793E-02, 1.961E+02
 1.600E+03, 1.518E+02, 1.512E+02, 1.411E+02, 2.081E+02, 1.061E+02, 1.435E+02, 2.072E+02, 1.029E+02,-2.121E+02, 1.779E-01, 1.803E-02, 1.960E+02
 2.000E+03, 1.572E+02, 1.566E+02, 1.464E+02, 2.144E+02, 1.108E+02, 1.497E+02, 2.136E+02, 1.066E+02,-2.080E+02, 1.777E-01, 1.817E-02, 1.960E+02
 2.400E+03, 1.630E+02, 1.626E+02, 1.513E+02, 2.213E+02, 1.164E+02, 1.544E+02, 2.200E+02, 1.135E+02,-2.043E+02, 1.775E-01, 1.829E-02, 1.960E+02
 2.800E+03, 1.670E+02, 1.667E+02, 1.562E+02, 2.246E+02, 1.200E+02, 1.591E+02, 2.240E+02, 1.172E+02,-2.003E+02, 1.772E-01, 1.843E-02, 1.960E+02
 3.200E+03, 1.713E+02, 1.710E+02, 1.610E+02, 2.301E+02, 1.229E+02, 1.631E+02, 2.304E+02, 1.194E+02,-1.971E+02, 1.769E-01, 1.857E-02, 1.961E+02
 3.600E+03, 1.744E+02, 1.737E+02, 1.639E+02, 2.338E+02, 1.256E+02, 1.667E+02, 2.316E+02, 1.229E+02,-1.950E+02, 1.767E-01, 1.870E-02, 1.961E+02
 4.000E+03, 1.779E+02, 1.769E+02, 1.688E+02, 2.355E+02, 1.295E+02, 1.701E+02, 2.354E+02, 1.253E+02,-1.926E+02, 1.766E-01, 1.878E-02, 1.961E+02
 4.400E+03, 1.806E+02, 1.799E+02, 1.699E+02, 2.411E+02, 1.307E+02, 1.730E+02, 2.381E+02, 1.285E+02,-1.921E+02, 1.765E-01, 1.881E-02, 1.961E+02
 4.800E+03, 1.838E+02, 1.828E+02, 1.732E+02, 2.431E+02, 1.352E+02, 1.749E+02, 2.425E+02, 1.309E+02,-1.920E+02, 1.764E-01, 1.886E-02, 1.961E+02
 5.200E+03, 1.864E+02, 1.861E+02, 1.755E+02, 2.456E+02, 1.382E+02, 1.780E+02, 2.453E+02, 1.350E+02,-1.917E+02, 1.765E-01, 1.880E-02, 1.961E+02
 5.600E+03, 1.892E+02, 1.878E+02, 1.780E+02, 2.477E+02, 1.418E+02, 1.809E+02, 2.464E+02, 1.363E+02,-1.913E+02, 1.764E-01, 1.885E-02, 1.961E+02
 6.000E+03, 1.909E+02, 1.901E+02, 1.802E+02, 2.513E+02, 1.412E+02, 1.834E+02, 2.496E+02, 1.372E+02,-1.917E+02, 1.765E-01, 1.885E-02, 1.961E+02
