s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,NE-Corner-Temp-01,NE-Corner-Temp-02,NE-Corner-Temp-03,NE-Corner-Temp-04,NE-Corner-Temp-05,NE-Corner-Temp-06,SE-Corner-Temp-01,SE-Corner-Temp-02,SE-Corner-Temp-03,SE-Corner-Temp-04,SE-Corner-Temp-05,SE-Corner-Temp-06,NW-Ceiling-Temp,NE-Ceiling-Temp,SW-Ceiling-Temp,SE-Ceiling-Temp,Burner-Temp-01,Burner-Temp-02,Wall-GHF,CEILING-GHF,FLOOR-GHF,BURNER-GHF,DOOR-VELOCITY-5,DOOR-VELOCITY-4,DOOR-VELOCITY-3,DOOR-VELOCITY-2,DOOR-VELOCITY-1,DOOR-VELOCITY2-5,DOOR-VELOCITY2-4,DOOR-VELOCITY2-3,DOOR-VELOCITY2-2,DOOR-VELOCITY2-1,DOOR-U-VELOCITY-5,DOOR-U-VELOCITY-4,DOOR-U-VELOCITY-3,DOOR-U-VELOCITY-2,DOOR-U-VELOCITY-1,DOOR-V-VELOCITY-5,DOOR-V-VELOCITY-4,DOOR-V-VELOCITY-3,DOOR-V-VELOCITY-2,DOOR-V-VELOCITY-1,DOOR-W-VELOCITY-5,DOOR-W-VELOCITY-4,DOOR-W-VELOCITY-3,DOOR-W-VELOCITY-2,DOOR-W-VELOCITY-1
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-2.500E-04,-2.961E-04,-4.397E-04,-6.167E-04, 1.782E-03,-8.853E-03,-9.166E-03,-3.273E-03, 1.833E-03, 1.211E-03, 6.078E-03, 1.095E-02, 7.942E-03, 7.156E-03, 4.510E-03,-2.129E-03,-3.299E-03,-1.321E-03, 4.808E-03,-1.147E-03,-3.401E-03, 1.116E-02,-3.148E-03,-1.318E-03,-5.483E-03,-5.898E-03,-5.984E-03,-1.340E-03,-9.034E-03
 1.000E+01, 5.653E+02, 2.736E+02, 2.556E+02, 1.831E+02, 1.229E+02, 4.728E+01, 4.335E+02, 3.515E+02, 3.372E+02, 3.021E+02, 2.281E+02, 5.338E+01, 8.612E+02, 6.731E+02, 7.051E+02, 6.422E+02, 6.922E+02, 6.985E+02, 1.839E+01, 9.741E+00, 2.990E+00, 2.121E+01, 1.612E-01, 7.840E-02,-3.549E-02,-5.290E-01,-6.866E-02, 3.319E-01, 3.116E-01, 3.098E-01, 8.781E-01, 1.970E+00, 1.122E-01, 8.002E-02,-1.659E-02,-3.815E-01,-4.487E-02, 8.202E-02, 4.243E-02, 5.885E-03,-3.882E-01,-1.754E+00,-5.512E-03,-1.908E-02,-3.413E-02, 2.642E-01,-4.213E-01
 2.000E+01, 7.476E+02, 4.921E+02, 4.429E+02, 3.252E+02, 1.431E+02, 3.236E+01, 5.566E+02, 5.174E+02, 5.039E+02, 4.385E+02, 3.238E+02, 4.860E+01, 9.614E+02, 9.069E+02, 7.864E+02, 8.013E+02, 6.431E+02, 7.124E+02, 2.727E+01, 1.370E+01, 4.068E+00, 1.678E+01, 1.824E-01, 4.127E-02,-2.116E-01,-9.581E-01,-4.446E-01, 4.136E-01, 4.069E-01, 3.461E-01, 1.168E+00, 2.700E+00, 1.448E-01, 5.423E-02,-1.352E-01,-6.695E-01,-3.139E-01, 4.049E-01, 3.991E-01, 3.064E-01,-5.499E-01,-2.483E+00, 6.195E-03, 7.510E-02, 9.007E-03, 4.505E-01,-3.699E-01
 3.000E+01, 6.697E+02, 4.237E+02, 3.847E+02, 2.692E+02, 1.325E+02, 3.406E+01, 5.728E+02, 5.172E+02, 4.991E+02, 4.128E+02, 2.181E+02, 4.438E+01, 1.075E+03, 9.364E+02, 9.399E+02, 8.926E+02, 6.758E+02, 7.597E+02, 2.355E+01, 1.554E+01, 4.175E+00, 1.584E+01, 7.959E-02, 2.495E-02,-3.077E-02,-4.080E-01,-5.529E-01, 4.183E-01, 3.724E-01, 2.805E-01, 9.227E-01, 2.633E+00, 6.940E-02, 4.701E-02,-5.518E-03,-2.989E-01,-3.752E-01, 4.296E-01, 3.809E-01, 2.777E-01,-6.182E-01,-2.386E+00,-9.935E-03,-2.626E-02,-3.205E-02, 3.253E-01,-2.017E-01
 4.000E+01, 7.325E+02, 4.228E+02, 3.816E+02, 2.806E+02, 1.323E+02, 3.509E+01, 5.700E+02, 5.266E+02, 5.120E+02, 4.517E+02, 2.651E+02, 5.075E+01, 1.110E+03, 8.696E+02, 9.264E+02, 8.382E+02, 8.630E+02, 8.004E+02, 2.372E+01, 1.477E+01, 4.318E+00, 1.756E+01,-5.933E-02,-4.934E-02,-3.969E-02,-1.990E-01,-4.198E-01, 4.153E-01, 3.725E-01, 2.686E-01, 8.868E-01, 2.701E+00,-2.441E-02,-1.450E-02,-1.569E-02,-9.328E-02,-2.894E-01, 4.233E-01, 3.810E-01, 2.648E-01,-4.882E-01,-2.478E+00, 6.380E-02,-3.639E-03,-2.344E-02, 4.643E-01,-2.593E-01
 5.000E+01, 7.598E+02, 4.026E+02, 3.767E+02, 2.858E+02, 1.494E+02, 3.740E+01, 5.862E+02, 5.231E+02, 5.025E+02, 4.457E+02, 2.837E+02, 5.097E+01, 1.066E+03, 8.980E+02, 9.239E+02, 8.600E+02, 7.494E+02, 8.943E+02, 2.290E+01, 1.517E+01, 4.374E+00, 1.734E+01,-1.164E-01, 6.361E-02, 6.322E-03,-5.672E-01,-4.547E-01, 4.415E-01, 3.879E-01, 2.973E-01, 9.296E-01, 2.699E+00,-4.279E-02, 4.975E-02, 2.135E-02,-3.804E-01,-3.116E-01, 4.434E-01, 3.946E-01, 2.955E-01,-5.156E-01,-2.464E+00, 5.742E-02, 3.585E-03,-2.466E-03, 3.965E-01,-3.004E-01
 6.000E+01, 7.290E+02, 4.106E+02, 3.602E+02, 2.683E+02, 1.533E+02, 3.640E+01, 5.756E+02, 5.343E+02, 5.229E+02, 4.565E+02, 2.929E+02, 5.151E+01, 1.108E+03, 9.152E+02, 9.315E+02, 8.566E+02, 6.906E+02, 8.386E+02, 2.224E+01, 1.526E+01, 4.514E+00, 1.736E+01, 2.943E-02, 5.790E-02,-5.124E-02,-4.076E-01,-4.210E-01, 4.352E-01, 3.823E-01, 2.837E-01, 9.182E-01, 2.693E+00, 3.983E-02, 4.756E-02,-2.021E-02,-2.387E-01,-3.299E-01, 4.473E-01, 3.875E-01, 2.612E-01,-6.077E-01,-2.442E+00, 4.223E-02,-1.098E-02,-3.905E-02, 4.075E-01,-1.402E-01
 7.000E+01, 7.939E+02, 4.491E+02, 4.050E+02, 2.941E+02, 1.461E+02, 3.637E+01, 5.659E+02, 5.270E+02, 5.149E+02, 4.630E+02, 2.919E+02, 5.465E+01, 1.053E+03, 8.956E+02, 8.817E+02, 8.173E+02, 7.823E+02, 8.877E+02, 2.586E+01, 1.502E+01, 4.612E+00, 1.798E+01, 8.810E-03, 1.997E-02,-6.670E-02,-4.008E-01,-2.249E-01, 4.520E-01, 3.930E-01, 2.852E-01, 1.049E+00, 2.727E+00, 2.960E-02, 2.590E-02,-3.096E-02,-2.900E-01,-1.630E-01, 4.652E-01, 4.067E-01, 2.672E-01,-5.855E-01,-2.531E+00, 5.323E-02, 1.225E-03,-2.987E-02, 3.776E-01,-3.337E-01
 8.000E+01, 7.230E+02, 4.230E+02, 3.631E+02, 2.527E+02, 1.264E+02, 3.716E+01, 5.749E+02, 5.287E+02, 5.136E+02, 4.635E+02, 2.906E+02, 5.100E+01, 1.066E+03, 8.896E+02, 9.197E+02, 8.257E+02, 7.990E+02, 8.697E+02, 2.195E+01, 1.581E+01, 4.628E+00, 1.860E+01,-8.257E-02,-2.839E-02,-4.950E-02,-2.660E-01,-2.550E-01, 4.471E-01, 3.902E-01, 2.645E-01, 9.045E-01, 2.726E+00,-3.261E-02,-2.499E-03,-1.428E-02,-1.559E-01,-1.728E-01, 4.580E-01, 4.059E-01, 2.584E-01,-5.403E-01,-2.517E+00, 2.096E-02,-7.132E-03,-2.543E-02, 4.202E-01,-3.048E-01
 9.000E+01, 7.670E+02, 4.481E+02, 4.019E+02, 2.987E+02, 1.412E+02, 3.852E+01, 5.719E+02, 5.242E+02, 5.094E+02, 4.513E+02, 3.134E+02, 5.370E+01, 1.062E+03, 8.942E+02, 9.153E+02, 8.412E+02, 7.551E+02, 8.835E+02, 2.560E+01, 1.591E+01, 4.816E+00, 1.799E+01,-1.041E-01,-2.975E-02,-5.815E-02,-5.074E-01,-2.561E-01, 4.484E-01, 3.774E-01, 2.584E-01, 9.922E-01, 2.739E+00,-5.608E-02,-4.482E-03,-3.135E-02,-3.243E-01,-1.849E-01, 4.604E-01, 3.866E-01, 2.438E-01,-5.973E-01,-2.533E+00, 1.720E-02,-3.211E-02,-4.095E-02, 3.945E-01,-3.581E-01
 1.000E+02, 7.797E+02, 4.465E+02, 3.791E+02, 2.763E+02, 1.386E+02, 3.777E+01, 5.747E+02, 5.189E+02, 5.008E+02, 4.352E+02, 2.684E+02, 5.320E+01, 1.090E+03, 9.044E+02, 9.317E+02, 8.370E+02, 7.354E+02, 8.045E+02, 2.525E+01, 1.529E+01, 4.898E+00, 1.830E+01,-5.271E-02,-1.144E-02,-1.014E-02,-5.553E-01,-2.285E-01, 4.648E-01, 4.014E-01, 2.704E-01, 1.001E+00, 2.751E+00,-1.106E-02, 9.330E-03, 3.277E-03,-3.378E-01,-1.755E-01, 4.802E-01, 4.121E-01, 2.542E-01,-5.583E-01,-2.518E+00, 1.731E-02,-1.713E-02,-5.098E-02, 4.027E-01,-3.068E-01
 1.100E+02, 6.999E+02, 4.161E+02, 3.709E+02, 2.691E+02, 1.277E+02, 3.946E+01, 5.890E+02, 5.449E+02, 5.269E+02, 4.449E+02, 2.767E+02, 5.428E+01, 1.085E+03, 8.972E+02, 9.445E+02, 8.682E+02, 8.462E+02, 8.693E+02, 2.247E+01, 1.629E+01, 4.970E+00, 1.996E+01,-8.232E-02,-6.589E-03,-8.309E-03,-2.651E-01,-5.345E-01, 4.565E-01, 3.851E-01, 2.927E-01, 9.216E-01, 2.702E+00,-3.490E-02, 7.658E-03, 6.244E-03,-1.902E-01,-3.903E-01, 4.718E-01, 3.933E-01, 2.884E-01,-5.653E-01,-2.458E+00,-5.190E-03,-2.401E-02,-3.544E-02, 3.637E-01,-1.324E-01
 1.200E+02, 7.408E+02, 4.214E+02, 3.801E+02, 2.933E+02, 1.299E+02, 3.911E+01, 5.865E+02, 5.367E+02, 5.232E+02, 4.522E+02, 2.850E+02, 5.589E+01, 1.119E+03, 8.953E+02, 9.613E+02, 8.610E+02, 8.197E+02, 8.812E+02, 2.410E+01, 1.589E+01, 5.137E+00, 1.842E+01,-4.071E-02, 2.878E-02,-2.885E-02,-4.680E-01,-4.016E-01, 4.621E-01, 3.962E-01, 2.558E-01, 9.534E-01, 2.763E+00,-1.040E-02, 3.715E-02,-1.533E-02,-3.072E-01,-2.767E-01, 4.720E-01, 4.097E-01, 2.558E-01,-5.815E-01,-2.521E+00, 5.947E-02, 1.093E-02,-1.065E-02, 3.784E-01,-2.228E-01
 1.300E+02, 7.670E+02, 4.417E+02, 3.897E+02, 2.645E+02, 1.207E+02, 3.956E+01, 5.944E+02, 5.397E+02, 5.202E+02, 4.532E+02, 2.610E+02, 5.556E+01, 1.110E+03, 9.438E+02, 9.311E+02, 8.651E+02, 7.462E+02, 8.765E+02, 2.540E+01, 1.596E+01, 5.229E+00, 1.769E+01, 5.786E-02,-1.187E-02,-4.754E-02,-4.726E-01,-2.752E-01, 4.576E-01, 4.042E-01, 2.789E-01, 9.597E-01, 2.814E+00, 5.997E-02, 6.217E-03,-2.240E-02,-2.927E-01,-2.130E-01, 4.710E-01, 4.172E-01, 2.674E-01,-5.985E-01,-2.587E+00, 4.070E-02, 2.631E-03,-4.472E-02, 3.651E-01,-2.925E-01
 1.400E+02, 7.365E+02, 4.526E+02, 4.182E+02, 2.964E+02, 1.251E+02, 3.984E+01, 5.717E+02, 5.301E+02, 5.084E+02, 4.166E+02, 2.285E+02, 5.625E+01, 1.115E+03, 9.289E+02, 9.466E+02, 8.657E+02, 8.076E+02, 8.657E+02, 2.593E+01, 1.537E+01, 5.314E+00, 1.806E+01, 7.300E-02,-3.623E-02, 1.358E-02,-2.948E-01,-4.214E-01, 4.598E-01, 4.033E-01, 2.895E-01, 8.910E-01, 2.757E+00, 7.141E-02,-1.046E-02, 2.316E-02,-1.907E-01,-2.916E-01, 4.735E-01, 4.148E-01, 2.878E-01,-5.891E-01,-2.517E+00, 3.806E-02, 1.662E-02,-1.932E-02, 3.782E-01,-2.443E-01
 1.500E+02, 7.561E+02, 4.398E+02, 4.000E+02, 2.879E+02, 1.188E+02, 4.073E+01, 5.927E+02, 5.352E+02, 5.125E+02, 4.155E+02, 2.247E+02, 5.789E+01, 1.060E+03, 9.223E+02, 9.385E+02, 8.568E+02, 7.787E+02, 8.858E+02, 2.615E+01, 1.630E+01, 5.452E+00, 1.831E+01, 6.283E-02, 4.787E-03,-2.671E-02,-3.476E-01,-2.469E-01, 4.539E-01, 3.885E-01, 2.906E-01, 9.657E-01, 2.798E+00, 6.944E-02, 1.255E-02,-5.533E-03,-2.516E-01,-1.754E-01, 4.664E-01, 3.962E-01, 2.874E-01,-5.885E-01,-2.580E+00, 2.091E-02,-1.985E-02,-5.861E-02, 4.193E-01,-3.626E-01
