s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"NE-Corner-Temp-01","NE-Corner-Temp-02","NE-Corner-Temp-03","NE-Corner-Temp-04","NE-Corner-Temp-05","NE-Corner-Temp-06","SE-Corner-Temp-01","SE-Corner-Temp-02","SE-Corner-Temp-03","SE-Corner-Temp-04","SE-Corner-Temp-05","SE-Corner-Temp-06","NW-Ceiling-Temp","NE-Ceiling-Temp","SW-Ceiling-Temp","SE-Ceiling-Temp","Burner-Temp-01","Burner-Temp-02","Wall-GHF","CEILING-GHF","FLOOR-GHF","BURNER-GHF","DOOR-VELOCITY-5","DOOR-VELOCITY-4","DOOR-VELOCITY-3","DOOR-VELOCITY-2","DOOR-VELOCITY-1","DOOR-U-VELOCITY-5","DOOR-U-VELOCITY-4","DOOR-U-VELOCITY-3","DOOR-U-VELOCITY-2","DOOR-U-VELOCITY-1","DOOR-V-VELOCITY-5","DOOR-V-VELOCITY-4","DOOR-V-VELOCITY-3","DOOR-V-VELOCITY-2","DOOR-V-VELOCITY-1","DOOR-W-VELOCITY-5","DOOR-W-VELOCITY-4","DOOR-W-VELOCITY-3","DOOR-W-VELOCITY-2","DOOR-W-VELOCITY-1"
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-1.954E-04,-3.273E-04,-3.194E-04,-1.912E-04, 1.105E-03, 2.860E-03, 2.644E-03, 1.789E-03, 4.138E-03, 5.139E-03, 1.972E-03,-2.155E-03, 4.871E-03, 5.268E-03,-3.109E-03, 5.514E-03,-8.464E-03, 2.268E-03,-2.282E-03,-6.519E-03, 2.316E-03, 8.583E-03,-3.446E-04,-5.709E-03
 1.000E+01, 2.435E+02, 1.321E+02, 1.138E+02, 8.761E+01, 6.781E+01, 4.245E+01, 2.244E+02, 1.981E+02, 1.896E+02, 1.522E+02, 1.003E+02, 3.430E+01, 5.013E+02, 3.651E+02, 3.372E+02, 3.142E+02, 5.968E+02, 5.144E+02, 5.666E+00, 2.615E+00, 1.110E+00, 1.966E+01, 2.092E-01, 2.502E-01, 3.115E-01, 5.317E-01, 1.223E+00, 3.383E-03, 1.422E-02, 3.584E-02,-3.516E-03,-2.352E-01, 1.247E-01, 1.239E-01, 1.169E-01,-2.115E-01,-9.438E-01, 6.125E-05, 1.853E-02,-5.062E-02, 1.024E-01, 3.026E-02
 2.000E+01, 3.581E+02, 2.232E+02, 2.044E+02, 1.257E+02, 4.924E+01, 3.084E+01, 3.626E+02, 3.181E+02, 2.932E+02, 2.232E+02, 1.045E+02, 3.296E+01, 6.790E+02, 5.306E+02, 5.017E+02, 4.849E+02, 6.030E+02, 5.856E+02, 8.495E+00, 4.933E+00, 1.693E+00, 1.763E+01, 3.576E-01, 3.333E-01, 2.732E-01, 4.026E-01, 1.554E+00, 4.528E-03,-4.561E-03, 4.283E-02, 5.207E-02,-4.660E-01, 3.681E-01, 3.347E-01, 2.650E-01,-2.696E-01,-1.243E+00,-4.438E-02,-6.556E-02,-8.151E-02, 2.631E-01, 4.165E-01
 3.000E+01, 3.410E+02, 2.239E+02, 1.997E+02, 1.383E+02, 6.276E+01, 3.271E+01, 3.660E+02, 3.283E+02, 3.056E+02, 2.295E+02, 9.674E+01, 3.767E+01, 6.790E+02, 5.157E+02, 5.164E+02, 4.826E+02, 9.073E+02, 6.528E+02, 7.463E+00, 5.247E+00, 1.860E+00, 2.472E+01, 3.658E-01, 3.445E-01, 2.505E-01, 3.662E-01, 1.579E+00,-3.056E-02,-4.288E-03, 6.017E-02, 1.106E-01,-4.396E-01, 3.696E-01, 3.216E-01, 2.285E-01,-1.817E-01,-1.272E+00,-4.203E-02,-1.307E-01,-8.189E-02, 2.520E-01, 3.780E-01
 4.000E+01, 3.455E+02, 2.639E+02, 2.460E+02, 1.499E+02, 6.302E+01, 3.283E+01, 3.666E+02, 3.378E+02, 3.176E+02, 2.590E+02, 1.236E+02, 4.060E+01, 7.021E+02, 4.857E+02, 5.229E+02, 4.827E+02, 7.077E+02, 6.579E+02, 7.244E+00, 5.257E+00, 2.003E+00, 2.126E+01, 3.879E-01, 3.466E-01, 2.621E-01, 4.835E-01, 1.538E+00,-2.317E-02,-2.995E-02,-3.618E-04, 1.016E-01,-4.644E-01, 3.946E-01, 3.392E-01, 2.388E-01,-2.744E-01,-1.234E+00,-3.145E-02,-8.459E-02,-8.512E-02, 2.855E-01, 4.234E-01
 5.000E+01, 3.662E+02, 2.461E+02, 2.247E+02, 1.458E+02, 5.538E+01, 3.234E+01, 3.556E+02, 3.264E+02, 3.076E+02, 2.452E+02, 1.364E+02, 4.420E+01, 6.492E+02, 4.958E+02, 5.313E+02, 4.638E+02, 5.289E+02, 5.502E+02, 7.654E+00, 5.141E+00, 2.099E+00, 2.008E+01, 4.042E-01, 3.718E-01, 2.799E-01, 4.424E-01, 1.573E+00, 6.589E-02,-1.625E-02,-5.240E-02, 1.850E-01,-4.415E-01, 4.110E-01, 3.693E-01, 2.583E-01,-3.290E-01,-1.267E+00,-4.818E-02,-7.899E-02,-7.760E-02, 2.851E-01, 3.943E-01
 6.000E+01, 3.956E+02, 2.625E+02, 2.374E+02, 1.509E+02, 6.022E+01, 3.373E+01, 3.629E+02, 3.246E+02, 3.106E+02, 2.425E+02, 1.229E+02, 4.276E+01, 7.059E+02, 5.050E+02, 5.349E+02, 4.765E+02, 5.163E+02, 6.247E+02, 8.744E+00, 5.140E+00, 2.237E+00, 2.140E+01, 4.029E-01, 3.552E-01, 2.863E-01, 4.259E-01, 1.601E+00,-9.695E-03, 5.112E-02, 2.314E-03, 5.838E-02,-4.405E-01, 4.154E-01, 3.535E-01, 2.606E-01,-3.055E-01,-1.305E+00,-1.780E-02,-6.614E-02,-1.064E-01, 2.636E-01, 3.117E-01
 7.000E+01, 3.759E+02, 2.928E+02, 2.646E+02, 1.466E+02, 4.618E+01, 3.438E+01, 3.793E+02, 3.461E+02, 3.254E+02, 2.348E+02, 9.527E+01, 4.575E+01, 7.240E+02, 5.231E+02, 5.569E+02, 5.035E+02, 5.871E+02, 5.686E+02, 8.840E+00, 5.669E+00, 2.422E+00, 2.043E+01, 4.041E-01, 3.572E-01, 2.779E-01, 4.453E-01, 1.600E+00, 1.373E-02, 2.505E-02, 2.401E-02, 1.868E-01,-5.788E-01, 4.142E-01, 3.485E-01, 2.570E-01,-2.840E-01,-1.230E+00,-4.665E-02,-1.181E-01,-9.306E-02, 2.722E-01, 5.506E-01
 8.000E+01, 3.949E+02, 2.623E+02, 2.253E+02, 1.239E+02, 4.588E+01, 3.571E+01, 3.745E+02, 3.477E+02, 3.295E+02, 2.510E+02, 1.060E+02, 4.522E+01, 7.377E+02, 5.375E+02, 5.620E+02, 4.825E+02, 5.078E+02, 6.209E+02, 9.060E+00, 5.632E+00, 2.532E+00, 2.024E+01, 4.162E-01, 3.631E-01, 2.930E-01, 4.349E-01, 1.592E+00,-8.332E-03, 1.228E-03, 2.296E-02, 2.559E-01,-5.070E-01, 4.200E-01, 3.505E-01, 2.834E-01,-2.844E-01,-1.188E+00,-6.400E-02,-1.323E-01,-7.126E-02, 2.764E-01, 5.095E-01
