s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"NE-Corner-Temp-01","NE-Corner-Temp-02","NE-Corner-Temp-03","NE-Corner-Temp-04","NE-Corner-Temp-05","NE-Corner-Temp-06","SE-Corner-Temp-01","SE-Corner-Temp-02","SE-Corner-Temp-03","SE-Corner-Temp-04","SE-Corner-Temp-05","SE-Corner-Temp-06","NW-Ceiling-Temp","NE-Ceiling-Temp","SW-Ceiling-Temp","SE-Ceiling-Temp","Burner-Temp-01","Burner-Temp-02","Wall-GHF","CEILING-GHF","FLOOR-GHF","BURNER-GHF","DOOR-VELOCITY-5","DOOR-VELOCITY-4","DOOR-VELOCITY-3","DOOR-VELOCITY-2","DOOR-VELOCITY-1","DOOR-U-VELOCITY-5","DOOR-U-VELOCITY-4","DOOR-U-VELOCITY-3","DOOR-U-VELOCITY-2","DOOR-U-VELOCITY-1","DOOR-V-VELOCITY-5","DOOR-V-VELOCITY-4","DOOR-V-VELOCITY-3","DOOR-V-VELOCITY-2","DOOR-V-VELOCITY-1","DOOR-W-VELOCITY-5","DOOR-W-VELOCITY-4","DOOR-W-VELOCITY-3","DOOR-W-VELOCITY-2","DOOR-W-VELOCITY-1"
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-1.163E-04,-1.271E-04,-1.857E-04,-4.007E-04, 1.211E-03, 6.078E-03, 1.095E-02, 7.942E-03, 7.156E-03, 4.510E-03,-2.129E-03,-3.299E-03,-1.321E-03, 4.808E-03,-1.147E-03,-3.401E-03, 1.116E-02,-3.148E-03,-1.318E-03,-5.483E-03,-5.898E-03,-5.984E-03,-1.340E-03,-9.034E-03
 1.000E+01, 6.933E+02, 3.579E+02, 2.880E+02, 1.453E+02, 7.011E+01, 3.487E+01, 5.227E+02, 4.237E+02, 3.936E+02, 2.760E+02, 1.170E+02, 3.594E+01, 1.007E+03, 8.005E+02, 8.819E+02, 7.650E+02, 7.969E+02, 8.179E+02, 1.991E+01, 1.108E+01, 3.351E+00, 2.030E+01, 1.890E-01, 1.972E-01, 2.215E-01, 2.216E-01, 1.297E+00,-8.309E-03, 3.903E-03, 1.506E-02, 4.039E-02,-2.841E-01, 1.206E-01, 1.249E-01, 1.255E-01,-2.052E-02,-1.054E+00, 9.525E-03, 1.803E-02, 4.637E-02, 8.394E-02, 2.533E-02
 2.000E+01, 8.008E+02, 4.349E+02, 3.331E+02, 1.282E+02, 3.933E+01, 3.340E+01, 5.930E+02, 5.052E+02, 4.550E+02, 2.612E+02, 7.750E+01, 3.765E+01, 1.117E+03, 8.869E+02, 1.017E+03, 8.672E+02, 6.557E+02, 7.847E+02, 2.531E+01, 1.286E+01, 4.216E+00, 1.898E+01, 2.460E-01, 2.394E-01, 2.050E-01, 1.952E-01, 1.444E+00, 1.768E-02, 2.318E-02, 2.515E-02, 6.051E-02,-3.371E-01, 2.453E-01, 2.354E-01, 2.000E-01,-1.206E-01,-1.233E+00, 5.208E-02, 6.924E-02, 3.819E-02, 9.849E-02, 8.560E-02
 3.000E+01, 8.553E+02, 4.360E+02, 3.276E+02, 1.329E+02, 4.232E+01, 3.415E+01, 5.762E+02, 4.886E+02, 4.502E+02, 3.267E+02, 1.127E+02, 3.843E+01, 1.142E+03, 8.006E+02, 1.036E+03, 8.095E+02, 6.151E+02, 7.804E+02, 2.498E+01, 1.318E+01, 4.361E+00, 1.941E+01, 2.734E-01, 2.501E-01, 1.933E-01, 2.738E-01, 1.508E+00,-6.986E-03, 1.985E-02, 2.432E-02, 7.122E-02,-2.887E-01, 2.679E-01, 2.533E-01, 1.931E-01,-2.230E-01,-1.315E+00, 6.658E-02, 3.122E-02, 5.024E-03, 1.577E-01, 6.458E-02
 4.000E+01, 8.797E+02, 5.329E+02, 3.885E+02, 1.099E+02, 4.182E+01, 3.547E+01, 5.907E+02, 5.179E+02, 4.728E+02, 2.855E+02, 1.036E+02, 4.203E+01, 1.168E+03, 8.281E+02, 1.023E+03, 8.392E+02, 5.434E+02, 7.564E+02, 2.742E+01, 1.333E+01, 4.898E+00, 1.855E+01, 2.911E-01, 2.720E-01, 2.030E-01, 3.016E-01, 1.532E+00,-9.264E-04,-3.359E-03, 6.170E-02, 5.782E-02,-3.493E-01, 2.780E-01, 2.700E-01, 1.882E-01,-2.462E-01,-1.331E+00, 7.430E-02, 4.534E-02,-8.664E-03, 1.415E-01, 3.961E-02
 5.000E+01, 9.177E+02, 4.723E+02, 3.198E+02, 1.267E+02, 4.340E+01, 3.579E+01, 6.020E+02, 5.186E+02, 4.736E+02, 3.180E+02, 1.090E+02, 4.581E+01, 1.149E+03, 8.532E+02, 1.048E+03, 8.625E+02, 5.647E+02, 7.833E+02, 3.044E+01, 1.480E+01, 5.462E+00, 1.866E+01, 2.995E-01, 2.640E-01, 2.058E-01, 3.215E-01, 1.562E+00, 8.706E-03, 2.670E-02, 2.272E-02, 9.856E-02,-2.649E-01, 2.988E-01, 2.646E-01, 2.023E-01,-2.712E-01,-1.346E+00, 4.133E-02, 1.363E-02,-8.617E-03, 1.330E-01, 9.505E-02
 6.000E+01, 8.832E+02, 5.204E+02, 3.615E+02, 1.202E+02, 4.461E+01, 3.845E+01, 6.330E+02, 5.286E+02, 4.777E+02, 2.860E+02, 9.635E+01, 4.740E+01, 1.176E+03, 8.717E+02, 1.108E+03, 8.895E+02, 6.777E+02, 8.503E+02, 2.981E+01, 1.734E+01, 6.218E+00, 2.095E+01, 2.966E-01, 2.639E-01, 1.821E-01, 2.850E-01, 1.588E+00, 6.960E-02, 2.891E-02,-7.264E-03, 1.015E-01,-2.690E-01, 2.943E-01, 2.638E-01, 1.745E-01,-2.450E-01,-1.392E+00, 3.636E-02, 4.550E-03,-2.255E-02, 1.268E-01, 7.260E-02
 7.000E+01, 9.575E+02, 5.284E+02, 3.317E+02, 8.016E+01, 4.469E+01, 4.115E+01, 6.450E+02, 5.478E+02, 4.964E+02, 3.020E+02, 8.999E+01, 4.973E+01, 1.206E+03, 8.750E+02, 1.115E+03, 9.418E+02, 5.940E+02, 7.599E+02, 3.723E+01, 1.885E+01, 7.307E+00, 2.088E+01, 3.249E-01, 2.969E-01, 2.186E-01, 3.304E-01, 1.655E+00, 4.015E-02, 2.156E-02, 2.422E-02, 1.022E-01,-1.825E-01, 3.177E-01, 2.942E-01, 2.081E-01,-2.841E-01,-1.482E+00, 5.579E-02, 3.350E-02,-5.801E-03, 1.345E-01, 1.126E-01
 8.000E+01, 9.367E+02, 6.170E+02, 4.139E+02, 1.246E+02, 4.962E+01, 4.441E+01, 6.473E+02, 5.619E+02, 5.086E+02, 3.204E+02, 9.767E+01, 5.374E+01, 1.177E+03, 9.268E+02, 1.072E+03, 1.000E+03, 5.956E+02, 8.056E+02, 4.300E+01, 2.007E+01, 8.819E+00, 2.455E+01, 3.423E-01, 3.232E-01, 2.256E-01, 3.407E-01, 1.727E+00, 1.250E-02, 3.240E-02, 5.187E-03, 1.039E-01,-1.239E-01, 3.202E-01, 3.114E-01, 2.139E-01,-3.126E-01,-1.564E+00, 1.124E-01, 8.807E-02, 6.412E-04, 1.252E-01, 1.397E-01
