s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"NE-Corner-Temp-01","NE-Corner-Temp-02","NE-Corner-Temp-03","NE-Corner-Temp-04","NE-Corner-Temp-05","NE-Corner-Temp-06","SE-Corner-Temp-01","SE-Corner-Temp-02","SE-Corner-Temp-03","SE-Corner-Temp-04","SE-Corner-Temp-05","SE-Corner-Temp-06","NW-Ceiling-Temp","NE-Ceiling-Temp","SW-Ceiling-Temp","SE-Ceiling-Temp","Burner-Temp-01","Burner-Temp-02","Wall-GHF","CEILING-GHF","FLOOR-GHF","BURNER-GHF","DOOR-VELOCITY-5","DOOR-VELOCITY-4","DOOR-VELOCITY-3","DOOR-VELOCITY-2","DOOR-VELOCITY-1","DOOR-U-VELOCITY-5","DOOR-U-VELOCITY-4","DOOR-U-VELOCITY-3","DOOR-U-VELOCITY-2","DOOR-U-VELOCITY-1","DOOR-V-VELOCITY-5","DOOR-V-VELOCITY-4","DOOR-V-VELOCITY-3","DOOR-V-VELOCITY-2","DOOR-V-VELOCITY-1","DOOR-W-VELOCITY-5","DOOR-W-VELOCITY-4","DOOR-W-VELOCITY-3","DOOR-W-VELOCITY-2","DOOR-W-VELOCITY-1"
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-3.818E-04,-5.963E-04,-6.012E-04,-5.071E-04, 1.211E-03, 6.078E-03, 1.095E-02, 7.942E-03, 7.156E-03, 4.510E-03,-2.129E-03,-3.299E-03,-1.321E-03, 4.808E-03,-1.147E-03,-3.401E-03, 1.116E-02,-3.148E-03,-1.318E-03,-5.483E-03,-5.898E-03,-5.984E-03,-1.340E-03,-9.034E-03
 1.000E+01, 3.230E+02, 1.804E+02, 1.641E+02, 1.202E+02, 8.243E+01, 7.665E+01, 2.863E+02, 2.557E+02, 2.460E+02, 2.142E+02, 1.635E+02, 5.660E+01, 8.292E+02, 6.139E+02, 5.958E+02, 4.994E+02, 9.501E+02, 9.509E+02, 1.258E+01, 6.593E+00, 2.530E+00, 3.428E+01, 4.399E-01, 5.156E-01, 6.387E-01, 1.287E+00, 2.298E+00, 7.980E-03, 4.016E-02, 3.297E-02,-2.679E-01, 8.017E-02,-1.830E-01,-2.027E-01,-2.530E-01,-6.813E-01,-1.870E+00, 1.901E-02, 6.908E-03, 1.051E-02, 1.508E-01,-1.576E-01
 2.001E+01, 7.502E+02, 3.601E+02, 3.125E+02, 2.570E+02, 1.721E+02, 4.345E+01, 5.070E+02, 4.735E+02, 4.616E+02, 4.159E+02, 3.111E+02, 6.687E+01, 1.205E+03, 8.906E+02, 9.378E+02, 7.878E+02, 7.563E+02, 1.007E+03, 3.051E+01, 1.650E+01, 4.677E+00, 1.949E+01, 6.854E-01, 6.539E-01, 4.792E-01, 1.795E+00, 3.413E+00,-2.464E-03,-1.368E-02, 6.209E-03,-1.371E+00,-1.448E-01, 7.320E-01, 6.957E-01, 4.653E-01,-9.271E-01,-2.917E+00, 9.663E-03, 7.310E-02,-2.331E-02, 6.460E-01, 1.410E-01
 3.000E+01, 6.743E+02, 3.884E+02, 3.628E+02, 3.078E+02, 2.134E+02, 4.110E+01, 4.994E+02, 4.780E+02, 4.707E+02, 4.484E+02, 3.714E+02, 8.768E+01, 1.116E+03, 8.478E+02, 8.275E+02, 7.461E+02, 4.207E+02, 8.760E+02, 2.863E+01, 1.599E+01, 4.925E+00, 2.097E+01, 7.348E-01, 6.483E-01, 4.520E-01, 1.898E+00, 3.598E+00,-5.015E-02, 3.303E-02, 2.172E-03,-1.466E+00,-2.979E-01, 7.748E-01, 6.862E-01, 4.240E-01,-9.986E-01,-3.079E+00,-3.212E-03,-2.057E-02,-4.432E-02, 6.896E-01, 2.238E-01
 4.000E+01, 7.161E+02, 4.279E+02, 3.787E+02, 2.824E+02, 2.184E+02, 4.552E+01, 4.924E+02, 4.695E+02, 4.631E+02, 4.312E+02, 3.712E+02, 9.209E+01, 1.087E+03, 8.378E+02, 7.945E+02, 7.263E+02, 5.110E+02, 8.793E+02, 3.216E+01, 1.547E+01, 4.952E+00, 2.042E+01, 8.060E-01, 7.130E-01, 5.066E-01, 1.873E+00, 3.599E+00, 9.813E-02, 3.395E-02,-4.781E-02,-1.459E+00,-3.571E-01, 8.574E-01, 7.499E-01, 4.761E-01,-9.006E-01,-3.066E+00, 1.576E-02,-3.718E-02,-9.213E-02, 6.597E-01, 3.479E-02
 5.000E+01, 7.416E+02, 4.246E+02, 3.834E+02, 3.153E+02, 2.101E+02, 4.511E+01, 5.102E+02, 4.805E+02, 4.721E+02, 4.416E+02, 3.782E+02, 7.687E+01, 1.109E+03, 8.814E+02, 8.535E+02, 7.418E+02, 4.964E+02, 9.102E+02, 3.391E+01, 1.677E+01, 5.203E+00, 1.970E+01, 7.984E-01, 6.768E-01, 4.484E-01, 1.981E+00, 3.669E+00,-6.905E-02,-6.530E-03,-1.179E-02,-1.525E+00,-3.230E-01, 8.435E-01, 7.050E-01, 4.183E-01,-1.007E+00,-3.144E+00,-2.042E-02,-5.259E-02,-4.663E-02, 6.899E-01, 1.184E-02
 6.000E+01, 7.144E+02, 4.202E+02, 3.622E+02, 2.965E+02, 2.074E+02, 4.629E+01, 5.068E+02, 4.772E+02, 4.686E+02, 4.409E+02, 3.634E+02, 7.672E+01, 1.149E+03, 8.638E+02, 8.839E+02, 7.705E+02, 5.873E+02, 9.550E+02, 3.053E+01, 1.718E+01, 5.293E+00, 2.134E+01, 8.307E-01, 7.098E-01, 4.583E-01, 2.085E+00, 3.555E+00,-5.401E-02,-9.262E-02,-6.940E-02,-1.623E+00,-2.209E-01, 8.744E-01, 7.262E-01, 3.901E-01,-1.075E+00,-3.029E+00, 4.624E-02,-7.221E-02,-4.868E-02, 6.549E-01, 1.790E-01
 7.000E+01, 7.316E+02, 3.692E+02, 3.482E+02, 2.847E+02, 1.972E+02, 4.570E+01, 5.201E+02, 4.907E+02, 4.814E+02, 4.486E+02, 3.476E+02, 7.637E+01, 1.134E+03, 9.051E+02, 8.611E+02, 7.875E+02, 7.463E+02, 1.059E+03, 3.276E+01, 1.729E+01, 5.496E+00, 2.199E+01, 8.059E-01, 6.922E-01, 4.245E-01, 1.931E+00, 3.520E+00,-2.669E-02,-6.012E-02, 2.349E-02,-1.385E+00,-3.580E-01, 8.605E-01, 7.198E-01, 3.982E-01,-9.869E-01,-3.009E+00, 5.104E-02,-2.830E-02,-3.944E-02, 7.649E-01, 2.354E-01
 8.001E+01, 7.112E+02, 4.081E+02, 3.560E+02, 2.787E+02, 1.915E+02, 4.509E+01, 5.380E+02, 5.061E+02, 4.950E+02, 4.464E+02, 3.169E+02, 7.421E+01, 1.211E+03, 9.797E+02, 8.970E+02, 8.543E+02, 6.745E+02, 9.113E+02, 3.060E+01, 1.880E+01, 5.841E+00, 1.814E+01, 8.215E-01, 6.899E-01, 3.903E-01, 1.623E+00, 3.565E+00,-2.948E-02,-3.150E-02, 4.812E-02,-9.510E-01,-3.412E-01, 8.710E-01, 7.256E-01, 3.677E-01,-8.312E-01,-3.051E+00, 5.188E-02,-4.868E-02,-2.314E-02, 8.494E-01, 4.251E-01
