s,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-35","HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.780E+00
 4.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.655E+01
 5.000E+01, 0.000E+00, 0.000E+00, 3.196E+00, 1.289E+02
 6.000E+01, 0.000E+00, 0.000E+00, 3.495E+01, 1.775E+02
 7.000E+01, 0.000E+00, 0.000E+00, 7.498E+01, 2.274E+02
 8.000E+01, 0.000E+00, 0.000E+00, 9.870E+01, 2.178E+02
 9.000E+01, 0.000E+00, 5.658E+00, 1.248E+02, 2.024E+02
 1.000E+02, 0.000E+00, 2.889E+01, 1.585E+02, 2.035E+02
 1.100E+02, 0.000E+00, 5.537E+01, 1.718E+02, 2.069E+02
 1.200E+02, 0.000E+00, 7.147E+01, 1.603E+02, 2.079E+02
 1.300E+02, 0.000E+00, 8.519E+01, 1.507E+02, 2.101E+02
 1.400E+02, 0.000E+00, 1.038E+02, 1.503E+02, 2.059E+02
 1.500E+02, 0.000E+00, 1.252E+02, 1.519E+02, 1.952E+02
 1.600E+02, 3.753E-01, 1.359E+02, 1.539E+02, 1.807E+02
 1.700E+02, 9.805E+00, 1.314E+02, 1.543E+02, 1.658E+02
 1.800E+02, 2.788E+01, 1.226E+02, 1.553E+02, 1.580E+02
 1.900E+02, 4.535E+01, 1.184E+02, 1.562E+02, 1.482E+02
 2.000E+02, 5.656E+01, 1.185E+02, 1.530E+02, 1.395E+02
 2.100E+02, 6.559E+01, 1.194E+02, 1.472E+02, 1.384E+02
 2.200E+02, 7.588E+01, 1.206E+02, 1.399E+02, 1.418E+02
 2.300E+02, 9.006E+01, 1.218E+02, 1.313E+02, 1.472E+02
 2.400E+02, 1.043E+02, 1.217E+02, 1.231E+02, 1.493E+02
 2.500E+02, 1.114E+02, 1.223E+02, 1.191E+02, 1.430E+02
