s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.000E+00, 0.000E+00, 0.000E+00,-4.092E-03, 1.127E-09, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.092E-03, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 1.531E+02, 0.000E+00,-6.746E+01,-2.746E+01,-1.690E+01, 7.288E-01, 0.000E+00, 0.000E+00, 4.166E+01, 4.197E+01, 0.000E+00, 3.444E-03, 0.000E+00
 2.000E+01, 1.589E+02, 0.000E+00,-8.743E+01,-5.149E+01,-2.141E+01, 7.656E-01, 0.000E+00, 0.000E+00,-6.303E-01,-6.424E-01, 0.000E+00, 3.472E-03, 0.000E+00
 3.000E+01, 1.718E+02, 0.000E+00,-9.349E+01,-5.624E+01,-2.007E+01, 8.671E-01, 0.000E+00, 0.000E+00, 2.789E+00, 2.881E+00, 0.000E+00, 3.786E-03, 0.000E+00
 4.000E+01, 1.942E+02, 0.000E+00,-1.098E+02,-6.353E+01,-2.059E+01, 1.099E+00, 0.000E+00, 0.000E+00, 1.300E+00, 1.434E+00, 0.000E+00, 4.319E-03, 0.000E+00
 5.000E+01, 2.184E+02, 0.000E+00,-1.293E+02,-6.747E+01,-2.003E+01, 1.462E+00, 0.000E+00, 0.000E+00, 2.828E+00, 3.025E+00, 0.000E+00, 5.023E-03, 0.000E+00
 6.000E+01, 2.436E+02, 0.000E+00,-1.496E+02,-7.663E+01,-1.716E+01, 2.100E+00, 0.000E+00, 0.000E+00, 2.031E+00, 2.334E+00, 0.000E+00, 6.085E-03, 0.000E+00
 7.000E+01, 2.860E+02, 0.000E+00,-1.708E+02,-9.634E+01,-1.579E+01, 2.795E+00, 0.000E+00, 0.000E+00, 5.498E+00, 5.889E+00, 0.000E+00, 7.027E-03, 0.000E+00
 8.000E+01, 3.198E+02, 0.000E+00,-1.769E+02,-1.286E+02,-1.456E+01, 3.298E+00, 0.000E+00, 0.000E+00, 2.562E+00, 3.052E+00, 0.000E+00, 7.614E-03, 0.000E+00
 9.000E+01, 3.467E+02, 0.000E+00,-1.814E+02,-1.507E+02,-1.357E+01, 3.677E+00, 0.000E+00, 0.000E+00, 3.996E+00, 4.691E+00, 0.000E+00, 8.006E-03, 0.000E+00
