s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"NE-Corner-Temp-01","NE-Corner-Temp-02","NE-Corner-Temp-03","NE-Corner-Temp-04","NE-Corner-Temp-05","NE-Corner-Temp-06","SE-Corner-Temp-01","SE-Corner-Temp-02","SE-Corner-Temp-03","SE-Corner-Temp-04","SE-Corner-Temp-05","SE-Corner-Temp-06","NW-Ceiling-Temp","NE-Ceiling-Temp","SW-Ceiling-Temp","SE-Ceiling-Temp","Burner-Temp-01","Burner-Temp-02","Wall-GHF","CEILING-GHF","FLOOR-GHF","BURNER-GHF","DOOR-VELOCITY-5","DOOR-VELOCITY-4","DOOR-VELOCITY-3","DOOR-VELOCITY-2","DOOR-VELOCITY-1","DOOR-U-VELOCITY-5","DOOR-U-VELOCITY-4","DOOR-U-VELOCITY-3","DOOR-U-VELOCITY-2","DOOR-U-VELOCITY-1","DOOR-V-VELOCITY-5","DOOR-V-VELOCITY-4","DOOR-V-VELOCITY-3","DOOR-V-VELOCITY-2","DOOR-V-VELOCITY-1","DOOR-W-VELOCITY-5","DOOR-W-VELOCITY-4","DOOR-W-VELOCITY-3","DOOR-W-VELOCITY-2","DOOR-W-VELOCITY-1"
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-1.506E-04,-2.431E-04,-2.480E-04,-1.459E-04, 1.105E-03, 2.860E-03, 2.644E-03, 1.789E-03, 4.138E-03, 5.139E-03, 1.972E-03,-2.155E-03, 4.871E-03, 5.268E-03,-3.109E-03, 5.514E-03,-8.464E-03, 2.268E-03,-2.282E-03,-6.519E-03, 2.316E-03, 8.583E-03,-3.446E-04,-5.709E-03
 1.000E+01, 3.555E+02, 1.731E+02, 1.553E+02, 1.266E+02, 9.123E+01, 5.435E+01, 2.986E+02, 2.469E+02, 2.383E+02, 2.102E+02, 1.608E+02, 4.542E+01, 7.056E+02, 5.294E+02, 5.362E+02, 4.531E+02, 6.242E+02, 5.989E+02, 1.529E+01, 6.513E+00, 2.765E+00, 3.498E+01, 3.928E-01, 4.004E-01, 5.650E-01, 1.225E+00, 2.257E+00,-2.281E-02,-3.037E-02, 8.894E-02,-4.400E-01,-2.465E-01,-6.478E-02,-4.091E-02,-2.692E-02,-6.537E-01,-1.761E+00,-8.332E-03,-4.925E-02,-1.220E-02, 2.047E-01, 1.068E-01
 2.000E+01, 5.388E+02, 3.866E+02, 3.660E+02, 3.063E+02, 1.578E+02, 4.375E+01, 4.908E+02, 4.403E+02, 4.211E+02, 3.769E+02, 2.792E+02, 5.651E+01, 9.645E+02, 7.818E+02, 7.930E+02, 7.428E+02, 7.444E+02, 7.729E+02, 2.541E+01, 1.441E+01, 5.117E+00, 3.530E+01, 7.175E-01, 6.376E-01, 4.994E-01, 1.549E+00, 3.081E+00, 3.901E-02,-3.300E-02, 4.918E-03,-7.666E-01,-5.432E-01, 7.413E-01, 6.449E-01, 4.640E-01,-8.885E-01,-2.597E+00,-6.619E-02,-1.403E-01,-9.500E-02, 7.623E-01, 8.815E-01
 3.000E+01, 5.571E+02, 3.563E+02, 3.372E+02, 2.753E+02, 1.332E+02, 4.247E+01, 4.980E+02, 4.505E+02, 4.389E+02, 3.946E+02, 2.688E+02, 6.258E+01, 9.655E+02, 7.200E+02, 8.212E+02, 7.280E+02, 8.532E+02, 7.658E+02, 2.550E+01, 1.621E+01, 5.943E+00, 3.927E+01, 7.803E-01, 6.531E-01, 4.039E-01, 1.698E+00, 3.136E+00,-4.998E-02,-9.643E-04, 1.201E-01,-6.030E-01,-3.523E-01, 7.998E-01, 6.581E-01, 3.597E-01,-9.444E-01,-2.729E+00,-1.226E-01,-1.602E-01,-5.889E-02, 7.245E-01, 7.674E-01
 4.000E+01, 5.546E+02, 4.085E+02, 3.765E+02, 2.917E+02, 1.797E+02, 4.794E+01, 4.946E+02, 4.633E+02, 4.535E+02, 4.181E+02, 3.300E+02, 7.598E+01, 1.011E+03, 7.166E+02, 8.357E+02, 7.119E+02, 7.073E+02, 7.838E+02, 2.711E+01, 1.708E+01, 6.391E+00, 3.981E+01, 8.474E-01, 7.164E-01, 4.919E-01, 1.718E+00, 3.245E+00, 3.468E-02,-5.722E-02,-2.000E-02,-8.838E-01,-3.593E-01, 8.783E-01, 7.260E-01, 4.684E-01,-9.953E-01,-2.773E+00,-9.118E-02,-1.405E-01,-8.702E-02, 7.340E-01, 5.861E-01
 5.001E+01, 5.640E+02, 3.986E+02, 3.632E+02, 2.593E+02, 1.394E+02, 4.753E+01, 5.049E+02, 4.669E+02, 4.625E+02, 4.199E+02, 3.032E+02, 7.967E+01, 1.035E+03, 7.862E+02, 8.676E+02, 7.375E+02, 6.531E+02, 7.501E+02, 2.883E+01, 1.772E+01, 7.212E+00, 3.604E+01, 8.892E-01, 7.397E-01, 4.780E-01, 1.710E+00, 3.268E+00, 8.502E-02,-6.211E-02, 1.707E-02,-6.003E-01,-3.990E-01, 9.277E-01, 7.609E-01, 3.992E-01,-9.549E-01,-2.799E+00,-1.017E-01,-1.182E-01,-1.012E-01, 7.959E-01, 6.843E-01
 6.001E+01, 5.673E+02, 3.930E+02, 3.612E+02, 2.681E+02, 1.396E+02, 5.162E+01, 5.118E+02, 4.711E+02, 4.571E+02, 4.101E+02, 2.882E+02, 8.017E+01, 1.031E+03, 7.546E+02, 8.700E+02, 7.482E+02, 7.387E+02, 7.891E+02, 3.055E+01, 1.906E+01, 7.858E+00, 3.976E+01, 8.918E-01, 7.587E-01, 4.696E-01, 1.478E+00, 3.241E+00, 1.221E-02,-6.813E-02, 1.545E-01,-1.374E-01,-3.268E-01, 9.362E-01, 7.559E-01, 4.316E-01,-9.829E-01,-2.830E+00,-5.796E-02,-1.946E-01,-1.623E-01, 7.235E-01, 6.762E-01
 7.000E+01, 5.509E+02, 4.017E+02, 3.719E+02, 2.758E+02, 1.475E+02, 5.465E+01, 5.153E+02, 4.757E+02, 4.580E+02, 4.220E+02, 3.123E+02, 8.336E+01, 1.051E+03, 7.710E+02, 9.049E+02, 7.550E+02, 8.091E+02, 8.459E+02, 3.016E+01, 1.949E+01, 8.516E+00, 4.228E+01, 9.197E-01, 7.646E-01, 4.085E-01, 1.546E+00, 3.324E+00, 3.123E-02,-1.435E-01, 6.104E-02,-5.057E-02,-3.534E-01, 9.619E-01, 7.549E-01, 3.601E-01,-1.076E+00,-2.848E+00,-9.548E-02,-1.733E-01,-1.342E-01, 7.452E-01, 9.231E-01
 8.000E+01, 5.931E+02, 4.104E+02, 3.763E+02, 2.845E+02, 1.365E+02, 5.876E+01, 5.333E+02, 4.929E+02, 4.828E+02, 4.302E+02, 3.072E+02, 8.160E+01, 1.078E+03, 8.055E+02, 9.604E+02, 7.997E+02, 8.388E+02, 8.583E+02, 3.223E+01, 2.034E+01, 9.313E+00, 4.228E+01, 9.283E-01, 7.732E-01, 4.805E-01, 1.465E+00, 3.325E+00, 1.694E-02,-3.524E-02,-1.343E-02, 2.206E-01,-3.078E-01, 9.658E-01, 7.603E-01, 4.334E-01,-1.090E+00,-2.861E+00,-1.070E-01,-2.081E-01,-6.773E-02, 6.021E-01, 9.150E-01
