s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"NE-Corner-Temp-01","NE-Corner-Temp-02","NE-Corner-Temp-03","NE-Corner-Temp-04","NE-Corner-Temp-05","NE-Corner-Temp-06","SE-Corner-Temp-01","SE-Corner-Temp-02","SE-Corner-Temp-03","SE-Corner-Temp-04","SE-Corner-Temp-05","SE-Corner-Temp-06","NW-Ceiling-Temp","NE-Ceiling-Temp","SW-Ceiling-Temp","SE-Ceiling-Temp","Burner-Temp-01","Burner-Temp-02","Wall-GHF","CEILING-GHF","FLOOR-GHF","BURNER-GHF","DOOR-VELOCITY-5","DOOR-VELOCITY-4","DOOR-VELOCITY-3","DOOR-VELOCITY-2","DOOR-VELOCITY-1","DOOR-U-VELOCITY-5","DOOR-U-VELOCITY-4","DOOR-U-VELOCITY-3","DOOR-U-VELOCITY-2","DOOR-U-VELOCITY-1","DOOR-V-VELOCITY-5","DOOR-V-VELOCITY-4","DOOR-V-VELOCITY-3","DOOR-V-VELOCITY-2","DOOR-V-VELOCITY-1","DOOR-W-VELOCITY-5","DOOR-W-VELOCITY-4","DOOR-W-VELOCITY-3","DOOR-W-VELOCITY-2","DOOR-W-VELOCITY-1"
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-1.019E-04,-1.157E-04,-1.745E-04,-3.155E-04, 1.211E-03, 6.078E-03, 1.095E-02, 7.942E-03, 7.156E-03, 4.510E-03,-2.129E-03,-3.299E-03,-1.321E-03, 4.808E-03,-1.147E-03,-3.401E-03, 1.116E-02,-3.148E-03,-1.318E-03,-5.483E-03,-5.898E-03,-5.984E-03,-1.340E-03,-9.034E-03
 1.000E+01, 5.134E+02, 2.661E+02, 2.567E+02, 2.111E+02, 1.286E+02, 5.247E+01, 3.784E+02, 3.237E+02, 3.078E+02, 2.674E+02, 2.061E+02, 4.698E+01, 8.433E+02, 6.172E+02, 6.328E+02, 5.624E+02, 6.853E+02, 6.462E+02, 1.842E+01, 8.562E+00, 2.837E+00, 2.635E+01, 3.540E-01, 4.028E-01, 4.342E-01, 8.572E-01, 1.991E+00, 2.782E-02,-1.338E-01,-1.281E-01,-2.720E-01,-6.768E-02, 2.015E-01, 1.870E-01, 1.338E-01,-2.846E-01,-1.769E+00,-4.641E-03, 6.189E-02, 7.099E-04, 2.282E-01,-8.547E-02
 2.000E+01, 6.314E+02, 4.116E+02, 3.547E+02, 2.354E+02, 8.990E+01, 3.513E+01, 5.113E+02, 4.635E+02, 4.373E+02, 3.431E+02, 2.146E+02, 4.079E+01, 9.764E+02, 7.960E+02, 8.390E+02, 7.512E+02, 7.826E+02, 7.969E+02, 2.092E+01, 1.263E+01, 3.946E+00, 2.523E+01, 4.358E-01, 3.852E-01, 2.819E-01, 7.288E-01, 2.456E+00, 7.933E-02,-1.409E-02, 4.236E-02,-8.458E-02,-2.715E-01, 4.359E-01, 3.873E-01, 2.816E-01,-4.889E-01,-2.240E+00, 4.251E-02,-1.771E-02, 2.490E-03, 3.724E-01, 1.089E-01
 3.000E+01, 6.185E+02, 3.733E+02, 3.267E+02, 2.089E+02, 8.591E+01, 3.639E+01, 5.256E+02, 4.744E+02, 4.545E+02, 3.730E+02, 2.100E+02, 4.883E+01, 1.018E+03, 8.032E+02, 8.871E+02, 7.690E+02, 8.109E+02, 8.830E+02, 2.011E+01, 1.395E+01, 4.035E+00, 2.630E+01, 4.277E-01, 3.745E-01, 2.258E-01, 7.145E-01, 2.403E+00,-9.909E-03,-8.582E-03, 1.681E-02, 5.562E-02,-3.410E-01, 4.250E-01, 3.859E-01, 2.240E-01,-5.724E-01,-2.168E+00, 1.051E-01, 6.231E-03,-1.498E-02, 4.144E-01, 3.199E-01
 4.000E+01, 6.233E+02, 4.157E+02, 3.879E+02, 2.794E+02, 1.364E+02, 3.864E+01, 5.270E+02, 4.763E+02, 4.612E+02, 3.954E+02, 2.545E+02, 5.187E+01, 9.714E+02, 7.905E+02, 7.945E+02, 7.422E+02, 6.990E+02, 8.220E+02, 2.260E+01, 1.340E+01, 4.276E+00, 2.658E+01, 4.518E-01, 3.935E-01, 2.332E-01, 8.915E-01, 2.461E+00,-5.327E-02,-3.274E-03, 7.976E-02,-1.346E-01,-1.439E-01, 4.595E-01, 4.044E-01, 2.192E-01,-5.435E-01,-2.249E+00, 6.084E-02,-1.385E-02,-1.661E-02, 4.740E-01, 3.611E-01
 5.000E+01, 6.242E+02, 3.892E+02, 3.492E+02, 2.242E+02, 9.259E+01, 3.911E+01, 5.396E+02, 4.866E+02, 4.749E+02, 4.050E+02, 2.476E+02, 5.125E+01, 1.062E+03, 7.828E+02, 8.835E+02, 7.647E+02, 8.033E+02, 8.491E+02, 2.189E+01, 1.397E+01, 4.392E+00, 2.733E+01, 4.703E-01, 4.027E-01, 2.343E-01, 7.900E-01, 2.487E+00,-1.300E-02, 5.018E-02, 6.005E-02, 2.428E-02,-1.966E-01, 4.808E-01, 4.133E-01, 2.311E-01,-6.155E-01,-2.265E+00, 3.285E-02, 7.115E-04,-1.381E-02, 4.361E-01, 2.872E-01
 6.000E+01, 6.759E+02, 4.538E+02, 4.320E+02, 2.706E+02, 9.284E+01, 4.002E+01, 5.119E+02, 4.769E+02, 4.673E+02, 4.047E+02, 2.544E+02, 5.508E+01, 1.015E+03, 7.395E+02, 8.450E+02, 7.281E+02, 6.952E+02, 8.167E+02, 2.433E+01, 1.289E+01, 4.499E+00, 2.562E+01, 4.714E-01, 4.039E-01, 2.611E-01, 8.327E-01, 2.545E+00, 4.098E-02, 1.130E-02, 2.362E-02,-4.099E-02,-1.777E-01, 4.834E-01, 4.144E-01, 2.292E-01,-5.778E-01,-2.333E+00, 2.220E-02,-2.023E-02,-2.796E-02, 4.358E-01, 1.582E-01
 7.000E+01, 6.662E+02, 3.722E+02, 3.303E+02, 2.185E+02, 9.377E+01, 4.089E+01, 5.263E+02, 4.921E+02, 4.778E+02, 3.998E+02, 2.223E+02, 5.529E+01, 1.069E+03, 7.606E+02, 8.951E+02, 7.644E+02, 7.879E+02, 8.275E+02, 2.245E+01, 1.421E+01, 4.736E+00, 2.646E+01, 4.778E-01, 4.136E-01, 2.463E-01, 8.717E-01, 2.547E+00, 5.269E-02, 1.495E-02, 4.340E-02,-1.177E-01,-1.462E-01, 4.890E-01, 4.258E-01, 2.227E-01,-6.306E-01,-2.334E+00, 1.711E-02,-2.015E-02,-1.835E-02, 3.943E-01, 7.544E-02
 8.000E+01, 6.348E+02, 3.912E+02, 3.538E+02, 2.550E+02, 1.083E+02, 4.139E+01, 5.263E+02, 4.907E+02, 4.781E+02, 4.036E+02, 2.340E+02, 5.669E+01, 1.001E+03, 7.864E+02, 8.667E+02, 7.570E+02, 8.119E+02, 8.622E+02, 2.481E+01, 1.427E+01, 4.881E+00, 2.666E+01, 4.874E-01, 4.179E-01, 2.795E-01, 8.777E-01, 2.553E+00, 1.770E-03, 3.348E-02, 3.343E-02,-8.776E-02,-7.272E-03, 4.968E-01, 4.257E-01, 2.657E-01,-6.800E-01,-2.337E+00, 7.371E-02,-3.673E-02,-3.923E-02, 3.310E-01, 1.138E-01
