s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"NE-Corner-Temp-01","NE-Corner-Temp-02","NE-Corner-Temp-03","NE-Corner-Temp-04","NE-Corner-Temp-05","NE-Corner-Temp-06","SE-Corner-Temp-01","SE-Corner-Temp-02","SE-Corner-Temp-03","SE-Corner-Temp-04","SE-Corner-Temp-05","SE-Corner-Temp-06","NW-Ceiling-Temp","NE-Ceiling-Temp","SW-Ceiling-Temp","SE-Ceiling-Temp","Burner-Temp-01","Burner-Temp-02","Wall-GHF","CEILING-GHF","FLOOR-GHF","BURNER-GHF","DOOR-VELOCITY-5","DOOR-VELOCITY-4","DOOR-VELOCITY-3","DOOR-VELOCITY-2","DOOR-VELOCITY-1","DOOR-U-VELOCITY-5","DOOR-U-VELOCITY-4","DOOR-U-VELOCITY-3","DOOR-U-VELOCITY-2","DOOR-U-VELOCITY-1","DOOR-V-VELOCITY-5","DOOR-V-VELOCITY-4","DOOR-V-VELOCITY-3","DOOR-V-VELOCITY-2","DOOR-V-VELOCITY-1","DOOR-W-VELOCITY-5","DOOR-W-VELOCITY-4","DOOR-W-VELOCITY-3","DOOR-W-VELOCITY-2","DOOR-W-VELOCITY-1"
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-1.753E-04,-2.554E-04,-2.848E-04,-3.579E-04, 1.211E-03, 6.078E-03, 1.095E-02, 7.942E-03, 7.156E-03, 4.510E-03,-2.129E-03,-3.299E-03,-1.321E-03, 4.808E-03,-1.147E-03,-3.401E-03, 1.116E-02,-3.148E-03,-1.318E-03,-5.483E-03,-5.898E-03,-5.984E-03,-1.340E-03,-9.034E-03
 1.000E+01, 5.624E+02, 2.472E+02, 2.038E+02, 1.364E+02, 9.151E+01, 3.976E+01, 3.857E+02, 3.372E+02, 3.193E+02, 2.676E+02, 1.558E+02, 3.922E+01, 8.189E+02, 6.714E+02, 6.670E+02, 5.857E+02, 7.689E+02, 7.138E+02, 2.002E+01, 8.141E+00, 3.197E+00, 2.594E+01, 3.179E-01, 3.793E-01, 3.910E-01, 6.093E-01, 1.701E+00,-2.459E-02,-1.235E-01, 2.346E-02,-5.115E-02,-2.621E-01, 1.656E-01, 1.914E-01, 1.768E-01,-2.617E-01,-1.346E+00, 2.273E-03, 1.140E-02, 3.548E-02, 2.035E-01, 1.422E-01
 2.000E+01, 6.398E+02, 3.814E+02, 3.521E+02, 2.252E+02, 7.042E+01, 3.671E+01, 5.186E+02, 4.664E+02, 4.448E+02, 3.562E+02, 1.566E+02, 4.319E+01, 1.008E+03, 8.273E+02, 8.431E+02, 7.847E+02, 6.020E+02, 7.284E+02, 2.569E+01, 1.302E+01, 4.638E+00, 2.189E+01, 4.192E-01, 3.791E-01, 2.944E-01, 5.703E-01, 1.980E+00, 2.435E-02, 2.241E-02, 2.438E-02, 1.858E-01,-4.615E-01, 4.323E-01, 3.897E-01, 2.967E-01,-3.736E-01,-1.640E+00, 4.984E-02, 2.599E-02, 4.670E-03, 3.352E-01, 4.418E-01
 3.000E+01, 6.404E+02, 4.370E+02, 3.887E+02, 2.356E+02, 7.451E+01, 3.819E+01, 5.321E+02, 4.875E+02, 4.672E+02, 3.704E+02, 2.038E+02, 5.086E+01, 1.050E+03, 7.645E+02, 9.148E+02, 7.995E+02, 7.360E+02, 8.029E+02, 2.307E+01, 1.427E+01, 5.310E+00, 2.591E+01, 4.563E-01, 4.054E-01, 3.174E-01, 6.518E-01, 2.026E+00, 1.159E-02, 1.469E-02, 4.395E-03, 8.985E-02,-4.931E-01, 4.681E-01, 4.209E-01, 3.196E-01,-5.004E-01,-1.693E+00, 7.458E-02, 3.056E-02, 1.008E-02, 3.809E-01, 4.427E-01
 4.000E+01, 6.669E+02, 4.265E+02, 3.804E+02, 2.501E+02, 8.755E+01, 4.111E+01, 5.655E+02, 5.070E+02, 4.861E+02, 3.913E+02, 1.842E+02, 5.529E+01, 1.132E+03, 8.093E+02, 1.009E+03, 8.703E+02, 7.027E+02, 8.286E+02, 2.747E+01, 1.775E+01, 6.672E+00, 2.536E+01, 4.908E-01, 4.271E-01, 3.141E-01, 6.614E-01, 2.149E+00, 2.826E-02, 1.714E-02, 2.306E-02, 1.926E-01,-5.552E-01, 4.973E-01, 4.395E-01, 3.151E-01,-4.710E-01,-1.827E+00, 9.879E-02, 3.188E-02,-1.872E-03, 3.348E-01, 4.722E-01
 5.000E+01, 8.218E+02, 4.543E+02, 3.630E+02, 1.714E+02, 6.121E+01, 4.458E+01, 5.972E+02, 5.458E+02, 5.267E+02, 4.418E+02, 1.939E+02, 6.104E+01, 1.120E+03, 9.244E+02, 1.039E+03, 9.100E+02, 6.947E+02, 7.519E+02, 4.075E+01, 2.060E+01, 8.487E+00, 2.608E+01, 5.186E-01, 4.507E-01, 3.075E-01, 7.244E-01, 2.222E+00, 2.069E-02, 4.992E-02, 3.776E-03, 5.469E-02,-5.306E-01, 5.274E-01, 4.565E-01, 2.965E-01,-5.033E-01,-1.890E+00, 8.770E-02, 1.677E-02,-5.010E-02, 3.203E-01, 3.714E-01
 6.000E+01, 8.521E+02, 5.409E+02, 4.547E+02, 2.111E+02, 6.687E+01, 4.981E+01, 6.218E+02, 5.528E+02, 5.253E+02, 4.344E+02, 2.295E+02, 6.561E+01, 1.130E+03, 9.638E+02, 1.048E+03, 9.650E+02, 7.139E+02, 8.602E+02, 4.562E+01, 2.337E+01, 1.070E+01, 2.889E+01, 5.537E-01, 4.749E-01, 3.325E-01, 7.703E-01, 2.369E+00, 7.134E-03, 4.356E-02, 3.854E-03, 2.174E-01,-3.402E-01, 5.600E-01, 4.851E-01, 3.200E-01,-6.043E-01,-2.080E+00, 8.252E-02,-4.269E-03,-7.959E-02, 3.914E-01, 3.927E-01
 7.000E+01, 8.694E+02, 5.626E+02, 4.457E+02, 1.837E+02, 7.018E+01, 5.562E+01, 6.340E+02, 5.794E+02, 5.601E+02, 4.720E+02, 2.303E+02, 7.261E+01, 1.170E+03, 1.017E+03, 1.028E+03, 1.046E+03, 7.866E+02, 9.207E+02, 5.537E+01, 2.473E+01, 1.284E+01, 3.283E+01, 5.935E-01, 5.121E-01, 3.642E-01, 9.153E-01, 2.383E+00,-2.420E-02,-2.177E-03, 1.106E-02, 6.613E-02,-3.281E-01, 6.028E-01, 5.281E-01, 3.446E-01,-7.155E-01,-2.138E+00, 6.873E-02, 4.454E-03,-7.308E-02, 3.708E-01, 4.151E-01
 8.000E+01, 8.978E+02, 6.713E+02, 5.468E+02, 2.284E+02, 8.189E+01, 6.097E+01, 6.268E+02, 5.802E+02, 5.626E+02, 4.547E+02, 2.061E+02, 7.783E+01, 1.117E+03, 1.120E+03, 9.996E+02, 9.990E+02, 7.908E+02, 8.881E+02, 6.663E+01, 2.720E+01, 1.498E+01, 3.375E+01, 6.323E-01, 5.319E-01, 3.621E-01, 8.871E-01, 2.556E+00, 9.394E-03, 6.630E-03, 2.542E-02, 5.128E-02,-1.138E-01, 6.398E-01, 5.480E-01, 3.227E-01,-6.429E-01,-2.304E+00, 1.042E-01, 2.792E-02,-2.821E-02, 3.241E-01, 3.425E-01
