s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"NE-Corner-Temp-01","NE-Corner-Temp-02","NE-Corner-Temp-03","NE-Corner-Temp-04","NE-Corner-Temp-05","NE-Corner-Temp-06","SE-Corner-Temp-01","SE-Corner-Temp-02","SE-Corner-Temp-03","SE-Corner-Temp-04","SE-Corner-Temp-05","SE-Corner-Temp-06","NW-Ceiling-Temp","NE-Ceiling-Temp","SW-Ceiling-Temp","SE-Ceiling-Temp","Burner-Temp-01","Burner-Temp-02","Wall-GHF","CEILING-GHF","FLOOR-GHF","BURNER-GHF","DOOR-VELOCITY-5","DOOR-VELOCITY-4","DOOR-VELOCITY-3","DOOR-VELOCITY-2","DOOR-VELOCITY-1","DOOR-U-VELOCITY-5","DOOR-U-VELOCITY-4","DOOR-U-VELOCITY-3","DOOR-U-VELOCITY-2","DOOR-U-VELOCITY-1","DOOR-V-VELOCITY-5","DOOR-V-VELOCITY-4","DOOR-V-VELOCITY-3","DOOR-V-VELOCITY-2","DOOR-V-VELOCITY-1","DOOR-W-VELOCITY-5","DOOR-W-VELOCITY-4","DOOR-W-VELOCITY-3","DOOR-W-VELOCITY-2","DOOR-W-VELOCITY-1","WINDOW-VELOCITY-2","WINDOW-VELOCITY-1"
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-3.688E-04,-5.754E-04,-5.881E-04,-3.542E-04, 1.015E-02, 7.585E-03, 6.689E-03, 9.051E-03, 7.673E-03, 2.506E-04, 6.805E-03,-1.063E-02, 2.764E-03, 1.019E-02,-8.932E-03,-9.315E-03, 1.603E-03,-2.525E-04,-1.310E-03, 4.948E-03,-4.388E-03,-3.062E-03, 1.187E-02,-7.831E-04, 5.133E-03, 7.420E-03
 1.001E+01, 6.033E+02, 2.818E+02, 2.232E+02, 1.572E+02, 8.253E+01, 3.811E+01, 4.272E+02, 3.504E+02, 3.118E+02, 2.087E+02, 7.755E+01, 3.842E+01, 9.340E+02, 8.561E+02, 7.569E+02, 7.083E+02, 6.471E+02, 8.298E+02, 5.046E+01, 2.023E+01, 7.999E+00, 2.080E+01, 5.087E-01, 5.177E-01, 6.505E-01, 8.790E-01, 2.337E+00, 1.185E-01, 1.585E-01, 5.141E-02,-2.397E-01,-5.065E-02,-2.446E-02,-5.941E-02,-5.009E-02,-4.109E-01,-1.870E+00, 9.075E-03,-3.186E-02, 8.282E-02, 2.973E-01, 3.288E-01, 7.701E-01, 1.701E+00
 2.000E+01, 7.309E+02, 6.287E+02, 4.447E+02, 1.318E+02, 5.868E+01, 4.859E+01, 5.451E+02, 4.955E+02, 4.674E+02, 2.936E+02, 1.132E+02, 6.018E+01, 1.058E+03, 9.399E+02, 8.246E+02, 7.747E+02, 4.103E+02, 9.231E+02, 6.833E+01, 2.427E+01, 1.082E+01, 2.179E+01, 8.169E-01, 7.432E-01, 5.445E-01, 9.143E-01, 2.973E+00,-2.363E-02,-1.303E-01,-3.122E-02, 1.297E-01,-3.112E-01, 8.343E-01, 7.123E-01, 4.658E-01,-5.529E-01,-2.394E+00, 1.623E-02,-1.621E-01,-1.166E-01, 3.164E-01, 1.157E+00, 6.320E-01, 2.378E+00
 3.000E+01, 6.667E+02, 4.625E+02, 3.843E+02, 1.748E+02, 7.235E+01, 4.726E+01, 5.172E+02, 4.786E+02, 4.591E+02, 3.517E+02, 1.561E+02, 7.220E+01, 9.806E+02, 9.737E+02, 8.235E+02, 7.712E+02, 3.218E+02, 1.108E+03, 5.485E+01, 2.358E+01, 1.107E+01, 2.582E+01, 9.210E-01, 7.626E-01, 4.388E-01, 8.457E-01, 2.929E+00, 9.356E-02,-1.077E-01,-8.241E-02, 2.192E-01,-6.583E-02, 9.441E-01, 7.460E-01, 3.752E-01,-6.320E-01,-2.352E+00,-1.025E-01,-2.169E-01,-6.417E-02, 4.068E-01, 1.249E+00, 8.704E-01, 2.455E+00
 4.000E+01, 6.884E+02, 5.100E+02, 4.153E+02, 1.975E+02, 7.240E+01, 5.408E+01, 5.441E+02, 5.083E+02, 4.980E+02, 4.329E+02, 1.934E+02, 7.673E+01, 9.740E+02, 9.738E+02, 8.233E+02, 8.087E+02, 4.637E+02, 1.158E+03, 6.717E+01, 2.418E+01, 1.308E+01, 2.575E+01, 9.630E-01, 7.847E-01, 4.587E-01, 1.018E+00, 3.183E+00, 6.829E-02,-1.674E-01,-5.598E-03,-1.613E-01, 3.620E-01, 9.869E-01, 7.568E-01, 4.398E-01,-7.038E-01,-2.662E+00,-1.220E-01,-2.324E-01,-1.251E-01, 6.232E-01, 9.347E-01, 9.793E-01, 2.487E+00
 5.000E+01, 7.231E+02, 4.962E+02, 4.218E+02, 2.370E+02, 7.950E+01, 5.512E+01, 5.415E+02, 5.111E+02, 4.962E+02, 4.159E+02, 2.486E+02, 8.167E+01, 9.944E+02, 9.211E+02, 7.958E+02, 8.135E+02, 3.856E+02, 1.175E+03, 6.291E+01, 2.593E+01, 1.193E+01, 2.763E+01, 1.004E+00, 8.366E-01, 5.146E-01, 1.138E+00, 3.418E+00, 6.176E-02,-1.299E-01,-5.025E-02,-1.898E-01, 1.610E-01, 1.039E+00, 8.159E-01, 4.543E-01,-6.844E-01,-2.908E+00,-7.148E-02,-2.441E-01,-1.124E-01, 6.289E-01, 9.695E-01, 1.010E+00, 2.831E+00
 6.000E+01, 7.585E+02, 5.582E+02, 4.306E+02, 1.937E+02, 8.325E+01, 5.861E+01, 5.565E+02, 5.345E+02, 5.279E+02, 4.619E+02, 2.433E+02, 8.644E+01, 1.046E+03, 9.555E+02, 8.629E+02, 8.346E+02, 5.417E+02, 1.055E+03, 7.510E+01, 2.728E+01, 1.412E+01, 3.189E+01, 1.010E+00, 8.290E-01, 5.477E-01, 1.277E+00, 3.598E+00, 2.220E-02,-3.213E-02,-1.035E-01,-4.233E-01, 3.530E-01, 1.032E+00, 8.217E-01, 4.877E-01,-6.481E-01,-3.159E+00,-1.654E-01,-2.217E-01,-1.336E-01, 6.959E-01, 7.724E-01, 1.188E+00, 2.768E+00
 7.000E+01, 7.281E+02, 4.774E+02, 3.730E+02, 1.826E+02, 7.131E+01, 5.906E+01, 5.546E+02, 5.179E+02, 5.047E+02, 4.124E+02, 1.928E+02, 8.446E+01, 1.036E+03, 9.847E+02, 8.543E+02, 8.405E+02, 4.034E+02, 1.171E+03, 7.927E+01, 2.663E+01, 1.391E+01, 2.902E+01, 9.917E-01, 8.112E-01, 4.748E-01, 1.291E+00, 3.314E+00, 3.349E-04,-1.679E-02,-5.413E-02,-3.616E-01, 1.523E-02, 1.015E+00, 8.282E-01, 4.387E-01,-8.074E-01,-2.802E+00,-1.553E-01,-2.264E-01,-1.219E-01, 7.607E-01, 1.090E+00, 1.006E+00, 2.630E+00
 8.000E+01, 7.322E+02, 5.477E+02, 4.375E+02, 1.578E+02, 6.992E+01, 6.134E+01, 5.512E+02, 5.163E+02, 4.999E+02, 3.639E+02, 1.445E+02, 8.908E+01, 9.831E+02, 9.557E+02, 8.496E+02, 8.184E+02, 2.461E+02, 1.056E+03, 7.877E+01, 2.614E+01, 1.495E+01, 2.105E+01, 1.036E+00, 8.445E-01, 4.971E-01, 9.907E-01, 3.451E+00,-4.902E-02,-1.399E-02,-1.977E-03,-2.418E-01, 1.922E-01, 1.065E+00, 8.432E-01, 4.075E-01,-6.265E-01,-3.073E+00,-1.286E-01,-2.007E-01,-1.002E-01, 4.236E-01, 6.270E-01, 9.116E-01, 2.701E+00
