s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"NE-Corner-Temp-01","NE-Corner-Temp-02","NE-Corner-Temp-03","NE-Corner-Temp-04","NE-Corner-Temp-05","NE-Corner-Temp-06","SE-Corner-Temp-01","SE-Corner-Temp-02","SE-Corner-Temp-03","SE-Corner-Temp-04","SE-Corner-Temp-05","SE-Corner-Temp-06","NW-Ceiling-Temp","NE-Ceiling-Temp","SW-Ceiling-Temp","SE-Ceiling-Temp","Burner-Temp-01","Burner-Temp-02","Wall-GHF","CEILING-GHF","FLOOR-GHF","BURNER-GHF","DOOR-VELOCITY-5","DOOR-VELOCITY-4","DOOR-VELOCITY-3","DOOR-VELOCITY-2","DOOR-VELOCITY-1","DOOR-U-VELOCITY-5","DOOR-U-VELOCITY-4","DOOR-U-VELOCITY-3","DOOR-U-VELOCITY-2","DOOR-U-VELOCITY-1","DOOR-V-VELOCITY-5","DOOR-V-VELOCITY-4","DOOR-V-VELOCITY-3","DOOR-V-VELOCITY-2","DOOR-V-VELOCITY-1","DOOR-W-VELOCITY-5","DOOR-W-VELOCITY-4","DOOR-W-VELOCITY-3","DOOR-W-VELOCITY-2","DOOR-W-VELOCITY-1","WINDOW-U-VELOCITY-1","WINDOW-U-VELOCITY-2"
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-1.870E-04,-3.491E-04,-3.318E-04,-2.024E-04, 1.015E-02, 7.585E-03, 6.689E-03, 9.051E-03, 7.673E-03, 2.506E-04, 6.805E-03,-1.063E-02, 2.764E-03, 1.019E-02,-8.932E-03,-9.315E-03, 1.603E-03,-2.525E-04,-1.310E-03, 4.948E-03,-4.388E-03,-3.062E-03, 1.187E-02,-7.831E-04,-9.462E-04, 2.801E-04
 1.000E+01, 2.571E+02, 1.384E+02, 1.072E+02, 6.714E+01, 4.655E+01, 3.613E+01, 2.707E+02, 2.133E+02, 1.777E+02, 1.001E+02, 5.044E+01, 3.293E+01, 5.846E+02, 4.307E+02, 4.169E+02, 3.680E+02, 6.077E+02, 5.528E+02, 5.300E+00, 2.729E+00, 9.485E-01, 1.603E+01, 1.500E-01, 1.472E-01, 1.559E-01, 1.747E-01, 7.866E-01, 9.491E-03, 1.068E-02, 3.053E-02, 5.541E-02,-2.191E-01, 1.380E-01, 1.291E-01, 1.106E-01, 3.655E-02,-5.226E-01, 3.006E-03,-4.237E-03, 4.071E-03, 4.152E-04, 5.173E-03, 2.361E-01,-1.131E-02
 2.000E+01, 3.618E+02, 1.425E+02, 9.723E+01, 4.142E+01, 3.044E+01, 2.972E+01, 3.651E+02, 2.837E+02, 2.219E+02, 1.092E+02, 4.159E+01, 2.998E+01, 6.565E+02, 5.246E+02, 4.930E+02, 4.717E+02, 6.136E+02, 6.251E+02, 7.471E+00, 3.778E+00, 1.253E+00, 1.493E+01, 1.896E-01, 1.731E-01, 1.500E-01, 1.046E-01, 8.717E-01,-1.615E-03,-1.819E-02, 2.966E-02, 1.321E-02,-4.479E-01, 1.918E-01, 1.724E-01, 1.443E-01, 5.004E-02,-5.475E-01,-1.321E-02,-2.098E-02,-7.404E-04, 2.850E-02, 1.418E-01, 2.297E-01,-8.902E-02
 3.000E+01, 3.607E+02, 1.755E+02, 1.293E+02, 5.493E+01, 3.128E+01, 2.924E+01, 3.567E+02, 2.992E+02, 2.548E+02, 1.350E+02, 4.585E+01, 3.349E+01, 6.676E+02, 4.835E+02, 4.954E+02, 4.487E+02, 6.012E+02, 6.423E+02, 6.974E+00, 3.753E+00, 1.350E+00, 1.668E+01, 2.091E-01, 1.878E-01, 1.575E-01, 9.515E-02, 8.859E-01, 1.719E-02,-1.628E-02,-3.416E-02,-1.370E-02,-3.895E-01, 2.075E-01, 1.766E-01, 1.464E-01, 1.085E-02,-5.926E-01,-2.508E-02,-6.139E-02,-2.676E-02, 2.283E-02, 1.291E-01, 2.186E-01,-9.550E-02
 4.000E+01, 3.413E+02, 1.605E+02, 1.158E+02, 4.987E+01, 3.147E+01, 3.043E+01, 3.590E+02, 2.987E+02, 2.659E+02, 1.383E+02, 5.060E+01, 3.463E+01, 7.119E+02, 4.701E+02, 5.265E+02, 4.577E+02, 6.258E+02, 6.427E+02, 5.865E+00, 3.884E+00, 1.449E+00, 1.720E+01, 2.254E-01, 2.095E-01, 1.718E-01, 9.883E-02, 8.897E-01, 5.674E-02,-5.165E-02,-5.869E-02,-3.980E-03,-3.972E-01, 2.140E-01, 1.910E-01, 1.567E-01,-4.420E-02,-5.964E-01,-4.634E-02,-7.458E-02,-2.963E-02, 3.821E-02, 8.336E-02, 2.126E-01,-6.374E-02
 5.000E+01, 3.431E+02, 1.400E+02, 1.011E+02, 4.557E+01, 3.206E+01, 3.065E+01, 3.519E+02, 2.886E+02, 2.515E+02, 1.381E+02, 5.443E+01, 3.561E+01, 6.951E+02, 4.410E+02, 5.221E+02, 4.409E+02, 6.417E+02, 6.560E+02, 5.625E+00, 3.882E+00, 1.530E+00, 1.839E+01, 2.415E-01, 2.278E-01, 1.867E-01, 1.315E-01, 8.845E-01, 2.629E-02,-5.827E-02,-7.245E-02,-2.534E-02,-3.553E-01, 2.381E-01, 2.099E-01, 1.663E-01,-6.007E-02,-6.082E-01,-3.341E-02,-2.998E-02,-4.827E-02, 3.584E-02, 1.196E-01, 2.666E-01,-7.008E-02
 6.000E+01, 3.492E+02, 1.570E+02, 1.181E+02, 5.433E+01, 3.443E+01, 2.985E+01, 3.561E+02, 2.890E+02, 2.458E+02, 1.229E+02, 4.903E+01, 3.402E+01, 7.290E+02, 4.717E+02, 5.377E+02, 4.474E+02, 5.247E+02, 5.908E+02, 6.411E+00, 3.794E+00, 1.634E+00, 1.646E+01, 2.266E-01, 2.111E-01, 1.813E-01, 1.123E-01, 8.597E-01, 7.058E-03, 2.614E-02,-2.540E-02, 1.902E-02,-3.321E-01, 2.290E-01, 2.052E-01, 1.754E-01,-4.733E-02,-6.095E-01,-1.300E-02,-4.172E-02,-2.720E-02, 4.903E-02, 2.404E-02, 2.644E-01,-7.891E-02
 7.000E+01, 3.335E+02, 1.450E+02, 1.012E+02, 5.053E+01, 3.308E+01, 3.036E+01, 3.584E+02, 2.988E+02, 2.504E+02, 1.266E+02, 4.647E+01, 3.542E+01, 7.473E+02, 4.412E+02, 5.561E+02, 4.716E+02, 5.662E+02, 6.472E+02, 6.351E+00, 4.070E+00, 1.725E+00, 1.705E+01, 2.256E-01, 2.132E-01, 1.702E-01, 1.063E-01, 9.183E-01, 3.139E-02,-7.054E-02,-2.557E-02, 5.830E-02,-3.441E-01, 2.216E-01, 1.938E-01, 1.621E-01,-6.430E-02,-6.231E-01,-4.125E-02,-5.998E-02,-3.294E-02, 4.076E-02, 2.956E-02, 2.817E-01,-8.600E-02
 8.000E+01, 3.413E+02, 1.422E+02, 1.084E+02, 5.605E+01, 3.731E+01, 3.068E+01, 3.694E+02, 2.918E+02, 2.393E+02, 1.053E+02, 4.869E+01, 3.713E+01, 7.446E+02, 4.603E+02, 5.814E+02, 4.679E+02, 5.160E+02, 6.109E+02, 5.996E+00, 4.122E+00, 1.809E+00, 1.608E+01, 2.309E-01, 2.090E-01, 1.730E-01, 1.159E-01, 8.609E-01,-1.164E-03,-2.151E-04,-3.010E-02, 5.350E-02,-3.417E-01, 2.309E-01, 2.069E-01, 1.674E-01,-8.544E-02,-6.037E-01,-2.511E-02,-4.586E-02,-2.173E-02, 3.445E-02, 6.568E-02, 2.636E-01,-7.544E-02
