s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"NE-Corner-Temp-01","NE-Corner-Temp-02","NE-Corner-Temp-03","NE-Corner-Temp-04","NE-Corner-Temp-05","NE-Corner-Temp-06","SE-Corner-Temp-01","SE-Corner-Temp-02","SE-Corner-Temp-03","SE-Corner-Temp-04","SE-Corner-Temp-05","SE-Corner-Temp-06","NW-Ceiling-Temp","NE-Ceiling-Temp","SW-Ceiling-Temp","SE-Ceiling-Temp","Burner-Temp-01","Burner-Temp-02","Wall-GHF","CEILING-GHF","FLOOR-GHF","BURNER-GHF","DOOR-VELOCITY-5","DOOR-VELOCITY-4","DOOR-VELOCITY-3","DOOR-VELOCITY-2","DOOR-VELOCITY-1","DOOR-U-VELOCITY-5","DOOR-U-VELOCITY-4","DOOR-U-VELOCITY-3","DOOR-U-VELOCITY-2","DOOR-U-VELOCITY-1","DOOR-V-VELOCITY-5","DOOR-V-VELOCITY-4","DOOR-V-VELOCITY-3","DOOR-V-VELOCITY-2","DOOR-V-VELOCITY-1","DOOR-W-VELOCITY-5","DOOR-W-VELOCITY-4","DOOR-W-VELOCITY-3","DOOR-W-VELOCITY-2","DOOR-W-VELOCITY-1"
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-1.163E-04,-1.271E-04,-1.857E-04,-4.007E-04, 1.211E-03, 6.078E-03, 1.095E-02, 7.942E-03, 7.156E-03, 4.510E-03,-2.129E-03,-3.299E-03,-1.321E-03, 4.808E-03,-1.147E-03,-3.401E-03, 1.116E-02,-3.148E-03,-1.318E-03,-5.483E-03,-5.898E-03,-5.984E-03,-1.340E-03,-9.034E-03
 1.000E+01, 6.565E+02, 3.140E+02, 2.624E+02, 1.536E+02, 8.462E+01, 3.951E+01, 5.253E+02, 4.083E+02, 3.585E+02, 2.559E+02, 1.213E+02, 3.374E+01, 9.944E+02, 7.535E+02, 8.499E+02, 7.386E+02, 7.347E+02, 7.876E+02, 2.101E+01, 1.107E+01, 3.233E+00, 2.096E+01, 1.966E-01, 2.114E-01, 2.448E-01, 2.572E-01, 1.299E+00,-1.122E-02,-3.336E-03,-1.909E-02,-5.947E-03,-2.031E-01, 1.302E-01, 1.310E-01, 1.252E-01,-8.030E-02,-1.079E+00, 1.089E-02, 2.034E-02, 3.016E-02, 8.204E-02, 1.853E-02
 2.000E+01, 8.534E+02, 4.643E+02, 3.430E+02, 1.206E+02, 3.799E+01, 3.243E+01, 5.866E+02, 4.929E+02, 4.432E+02, 2.780E+02, 8.710E+01, 3.632E+01, 1.111E+03, 8.930E+02, 9.861E+02, 8.555E+02, 5.454E+02, 7.101E+02, 2.522E+01, 1.315E+01, 3.881E+00, 1.799E+01, 2.428E-01, 2.349E-01, 2.017E-01, 2.020E-01, 1.472E+00, 1.357E-02, 2.136E-02, 3.026E-02, 1.069E-01,-3.926E-01, 2.421E-01, 2.312E-01, 2.020E-01,-1.125E-01,-1.237E+00, 5.689E-02, 6.968E-02, 3.913E-02, 1.194E-01, 3.713E-02
 3.000E+01, 7.867E+02, 4.075E+02, 3.186E+02, 1.376E+02, 4.359E+01, 3.440E+01, 5.907E+02, 5.079E+02, 4.613E+02, 3.018E+02, 1.153E+02, 3.963E+01, 1.140E+03, 8.226E+02, 1.024E+03, 8.237E+02, 6.379E+02, 8.085E+02, 2.269E+01, 1.325E+01, 4.001E+00, 1.909E+01, 2.659E-01, 2.437E-01, 1.930E-01, 2.569E-01, 1.490E+00, 1.269E-03, 1.218E-02, 1.503E-02, 5.622E-02,-3.461E-01, 2.609E-01, 2.477E-01, 1.930E-01,-1.791E-01,-1.278E+00, 6.287E-02, 3.784E-02, 1.502E-02, 1.368E-01, 8.182E-02
 4.000E+01, 8.142E+02, 4.069E+02, 2.934E+02, 9.564E+01, 3.880E+01, 3.432E+01, 5.935E+02, 4.856E+02, 4.347E+02, 3.033E+02, 1.157E+02, 4.136E+01, 1.139E+03, 7.716E+02, 1.032E+03, 8.330E+02, 5.698E+02, 8.180E+02, 2.306E+01, 1.338E+01, 4.119E+00, 1.904E+01, 2.785E-01, 2.591E-01, 2.002E-01, 2.437E-01, 1.481E+00, 7.894E-03, 8.399E-03, 2.117E-02, 8.825E-02,-3.632E-01, 2.692E-01, 2.583E-01, 1.988E-01,-1.820E-01,-1.281E+00, 7.274E-02, 4.113E-02, 4.228E-03, 1.362E-01, 7.611E-02
 5.000E+01, 8.355E+02, 4.283E+02, 3.032E+02, 1.175E+02, 5.437E+01, 3.518E+01, 5.735E+02, 4.860E+02, 4.403E+02, 2.714E+02, 1.054E+02, 4.362E+01, 1.154E+03, 7.980E+02, 1.015E+03, 8.174E+02, 5.828E+02, 7.624E+02, 2.462E+01, 1.324E+01, 4.303E+00, 1.910E+01, 2.810E-01, 2.536E-01, 1.929E-01, 2.756E-01, 1.524E+00,-3.317E-02,-1.006E-02, 3.336E-02, 1.301E-01,-3.293E-01, 2.789E-01, 2.569E-01, 1.896E-01,-1.975E-01,-1.320E+00, 4.660E-02,-1.267E-03,-2.416E-02, 1.122E-01, 8.457E-02
 6.000E+01, 7.395E+02, 3.906E+02, 2.930E+02, 1.229E+02, 4.792E+01, 3.588E+01, 5.797E+02, 5.080E+02, 4.665E+02, 3.124E+02, 1.026E+02, 4.315E+01, 1.174E+03, 7.409E+02, 1.050E+03, 8.410E+02, 6.461E+02, 8.322E+02, 2.124E+01, 1.423E+01, 4.415E+00, 2.029E+01, 2.866E-01, 2.544E-01, 2.044E-01, 2.775E-01, 1.497E+00,-1.462E-02, 1.220E-02, 1.866E-02, 7.922E-02,-2.793E-01, 2.828E-01, 2.592E-01, 2.037E-01,-2.201E-01,-1.305E+00, 4.585E-02, 2.217E-02,-1.127E-03, 1.558E-01, 7.383E-02
 7.000E+01, 8.221E+02, 4.596E+02, 2.979E+02, 8.496E+01, 4.076E+01, 3.601E+01, 5.855E+02, 5.008E+02, 4.561E+02, 3.026E+02, 8.639E+01, 4.513E+01, 1.151E+03, 7.811E+02, 1.042E+03, 8.175E+02, 6.259E+02, 8.142E+02, 2.231E+01, 1.364E+01, 4.533E+00, 1.938E+01, 2.932E-01, 2.648E-01, 2.020E-01, 2.854E-01, 1.525E+00,-1.570E-02, 3.082E-03,-8.294E-03, 1.165E-01,-2.518E-01, 2.941E-01, 2.656E-01, 2.032E-01,-2.302E-01,-1.342E+00, 2.706E-02, 2.612E-02,-2.144E-02, 1.448E-01, 7.472E-02
 8.000E+01, 7.723E+02, 4.802E+02, 3.758E+02, 1.300E+02, 4.182E+01, 3.702E+01, 5.917E+02, 4.971E+02, 4.534E+02, 2.977E+02, 9.348E+01, 4.671E+01, 1.165E+03, 7.823E+02, 1.026E+03, 8.298E+02, 7.162E+02, 8.527E+02, 2.250E+01, 1.419E+01, 4.645E+00, 2.053E+01, 2.970E-01, 2.690E-01, 1.998E-01, 3.109E-01, 1.490E+00, 1.755E-02,-2.112E-02, 4.672E-04, 1.108E-01,-2.640E-01, 2.933E-01, 2.680E-01, 1.987E-01,-2.727E-01,-1.284E+00, 4.809E-02, 4.945E-02,-1.623E-02, 1.181E-01, 1.223E-01
