s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-35","HRRPUA-50","HRRPUA-75"
 9.800E+02, 5.523E+01, 1.015E+02, 0.000E+00
 9.900E+02, 5.432E+01, 9.994E+01, 0.000E+00
 1.000E+03, 5.365E+01, 9.805E+01, 0.000E+00
 1.010E+03, 5.312E+01, 9.504E+01, 0.000E+00
 1.020E+03, 5.292E+01, 8.995E+01, 0.000E+00
 1.030E+03, 5.309E+01, 8.464E+01, 0.000E+00
 1.040E+03, 5.386E+01, 7.847E+01, 0.000E+00
 1.050E+03, 5.626E+01, 7.326E+01, 0.000E+00
 1.060E+03, 5.961E+01, 7.009E+01, 0.000E+00
 1.070E+03, 6.379E+01, 6.891E+01, 0.000E+00
 1.080E+03, 6.796E+01, 6.725E+01, 0.000E+00
 1.090E+03, 7.187E+01, 6.460E+01, 0.000E+00
 1.100E+03, 7.626E+01, 6.127E+01, 0.000E+00
 1.110E+03, 8.027E+01, 5.648E+01, 0.000E+00
 1.120E+03, 8.279E+01, 5.241E+01, 0.000E+00
 1.130E+03, 8.393E+01, 4.988E+01, 0.000E+00
 1.140E+03, 8.429E+01, 4.715E+01, 0.000E+00
 1.150E+03, 8.395E+01, 4.339E+01, 0.000E+00
 1.160E+03, 8.403E+01, 3.954E+01, 0.000E+00
 1.170E+03, 8.443E+01, 3.509E+01, 0.000E+00
 1.180E+03, 8.420E+01, 0.000E+00, 0.000E+00
 1.190E+03, 8.371E+01, 0.000E+00, 0.000E+00
 1.200E+03, 8.298E+01, 0.000E+00, 0.000E+00
 1.210E+03, 8.222E+01, 0.000E+00, 0.000E+00
 1.220E+03, 8.226E+01, 0.000E+00, 0.000E+00
 1.230E+03, 8.230E+01, 0.000E+00, 0.000E+00
 1.240E+03, 8.169E+01, 0.000E+00, 0.000E+00
 1.250E+03, 8.108E+01, 0.000E+00, 0.000E+00
 1.260E+03, 8.073E+01, 0.000E+00, 0.000E+00
 1.270E+03, 7.963E+01, 0.000E+00, 0.000E+00
 1.280E+03, 7.865E+01, 0.000E+00, 0.000E+00
 1.290E+03, 7.815E+01, 0.000E+00, 0.000E+00
 1.300E+03, 7.817E+01, 0.000E+00, 0.000E+00
 1.310E+03, 7.851E+01, 0.000E+00, 0.000E+00
 1.320E+03, 7.871E+01, 0.000E+00, 0.000E+00
 1.330E+03, 7.839E+01, 0.000E+00, 0.000E+00
 1.340E+03, 7.763E+01, 0.000E+00, 0.000E+00
 1.350E+03, 7.752E+01, 0.000E+00, 0.000E+00
 1.360E+03, 7.801E+01, 0.000E+00, 0.000E+00
 1.370E+03, 7.876E+01, 0.000E+00, 0.000E+00
 1.380E+03, 7.953E+01, 0.000E+00, 0.000E+00
 1.390E+03, 8.046E+01, 0.000E+00, 0.000E+00
 1.400E+03, 8.140E+01, 0.000E+00, 0.000E+00
 1.410E+03, 8.140E+01, 0.000E+00, 0.000E+00
 1.420E+03, 8.083E+01, 0.000E+00, 0.000E+00
 1.430E+03, 8.062E+01, 0.000E+00, 0.000E+00
 1.440E+03, 8.068E+01, 0.000E+00, 0.000E+00
 1.450E+03, 8.056E+01, 0.000E+00, 0.000E+00
 1.460E+03, 8.033E+01, 0.000E+00, 0.000E+00
 1.470E+03, 8.007E+01, 0.000E+00, 0.000E+00
