s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"NE-Corner-Temp-01","NE-Corner-Temp-02","NE-Corner-Temp-03","NE-Corner-Temp-04","NE-Corner-Temp-05","NE-Corner-Temp-06","SE-Corner-Temp-01","SE-Corner-Temp-02","SE-Corner-Temp-03","SE-Corner-Temp-04","SE-Corner-Temp-05","SE-Corner-Temp-06","NW-Ceiling-Temp","NE-Ceiling-Temp","SW-Ceiling-Temp","SE-Ceiling-Temp","Burner-Temp-01","Burner-Temp-02","Wall-GHF","CEILING-GHF","FLOOR-GHF","BURNER-GHF","DOOR-VELOCITY-5","DOOR-VELOCITY-4","DOOR-VELOCITY-3","DOOR-VELOCITY-2","DOOR-VELOCITY-1","DOOR-U-VELOCITY-5","DOOR-U-VELOCITY-4","DOOR-U-VELOCITY-3","DOOR-U-VELOCITY-2","DOOR-U-VELOCITY-1","DOOR-V-VELOCITY-5","DOOR-V-VELOCITY-4","DOOR-V-VELOCITY-3","DOOR-V-VELOCITY-2","DOOR-V-VELOCITY-1","DOOR-W-VELOCITY-5","DOOR-W-VELOCITY-4","DOOR-W-VELOCITY-3","DOOR-W-VELOCITY-2","DOOR-W-VELOCITY-1","WINDOW-VELOCITY-2","WINDOW-VELOCITY-1"
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-1.482E-04,-2.381E-04,-2.442E-04,-1.450E-04, 1.015E-02, 7.585E-03, 6.689E-03, 9.051E-03, 7.673E-03, 2.506E-04, 6.805E-03,-1.063E-02, 2.764E-03, 1.019E-02,-8.932E-03,-9.315E-03, 1.603E-03,-2.525E-04,-1.310E-03, 4.948E-03,-4.388E-03,-3.062E-03, 1.187E-02,-7.831E-04, 5.133E-03, 7.420E-03
 1.000E+01, 3.666E+02, 2.104E+02, 1.804E+02, 1.395E+02, 8.600E+01, 4.689E+01, 2.761E+02, 2.517E+02, 2.431E+02, 2.067E+02, 1.532E+02, 4.818E+01, 6.646E+02, 5.335E+02, 4.622E+02, 4.124E+02, 6.812E+02, 6.857E+02, 1.742E+01, 5.365E+00, 2.662E+00, 3.599E+01, 4.416E-01, 5.934E-01, 5.971E-01, 1.080E+00, 2.126E+00, 5.574E-02,-1.683E-01,-2.969E-01,-3.737E-01, 4.549E-02, 1.113E-01, 1.026E-01, 3.272E-02,-4.474E-01,-1.718E+00,-2.381E-02, 3.197E-02,-5.035E-02, 2.644E-01,-1.484E-01, 9.373E-01, 1.662E+00
 2.001E+01, 5.513E+02, 3.453E+02, 3.144E+02, 2.174E+02, 9.153E+01, 3.883E+01, 4.813E+02, 4.531E+02, 4.310E+02, 3.671E+02, 2.316E+02, 4.895E+01, 8.928E+02, 7.761E+02, 7.080E+02, 6.794E+02, 6.661E+02, 7.819E+02, 2.812E+01, 1.220E+01, 4.612E+00, 3.207E+01, 7.478E-01, 7.065E-01, 5.692E-01, 9.697E-01, 3.143E+00,-4.235E-02,-3.858E-02, 3.466E-02, 1.479E-01,-6.008E-01, 7.739E-01, 7.225E-01, 5.682E-01,-3.973E-01,-2.626E+00,-3.808E-02,-6.602E-02,-8.656E-02, 5.796E-01, 8.528E-01, 1.233E+00, 2.594E+00
 3.001E+01, 4.795E+02, 3.691E+02, 3.424E+02, 2.434E+02, 9.629E+01, 3.979E+01, 4.995E+02, 4.575E+02, 4.398E+02, 3.807E+02, 2.009E+02, 5.809E+01, 9.916E+02, 7.455E+02, 8.311E+02, 7.321E+02, 7.697E+02, 8.168E+02, 1.950E+01, 1.452E+01, 5.480E+00, 3.872E+01, 8.130E-01, 7.027E-01, 5.161E-01, 1.108E+00, 2.981E+00, 8.905E-02,-4.915E-03,-1.140E-01,-1.891E-01,-5.894E-01, 8.564E-01, 7.186E-01, 4.966E-01,-5.525E-01,-2.432E+00,-8.054E-02,-1.138E-01,-1.368E-01, 5.466E-01, 1.080E+00, 1.276E+00, 2.371E+00
 4.000E+01, 5.060E+02, 4.171E+02, 3.727E+02, 2.254E+02, 8.943E+01, 4.316E+01, 4.947E+02, 4.624E+02, 4.474E+02, 3.775E+02, 2.044E+02, 6.379E+01, 1.041E+03, 7.132E+02, 8.561E+02, 6.983E+02, 8.392E+02, 8.410E+02, 2.487E+01, 1.529E+01, 6.144E+00, 4.165E+01, 8.768E-01, 7.760E-01, 5.285E-01, 9.893E-01, 2.904E+00,-1.874E-02,-1.214E-01,-6.114E-02, 4.387E-02,-4.037E-01, 9.108E-01, 7.652E-01, 5.021E-01,-6.056E-01,-2.388E+00,-4.630E-02,-1.704E-01,-1.851E-01, 5.734E-01, 1.114E+00, 9.678E-01, 2.372E+00
 5.000E+01, 5.349E+02, 4.064E+02, 3.844E+02, 2.641E+02, 9.415E+01, 4.539E+01, 5.025E+02, 4.677E+02, 4.519E+02, 3.876E+02, 2.545E+02, 6.707E+01, 1.031E+03, 7.361E+02, 8.507E+02, 7.109E+02, 7.311E+02, 7.854E+02, 2.546E+01, 1.649E+01, 6.652E+00, 3.891E+01, 9.107E-01, 7.940E-01, 5.647E-01, 1.050E+00, 2.829E+00, 1.333E-01,-1.253E-01,-1.362E-01, 1.734E-01,-2.756E-01, 9.421E-01, 7.752E-01, 5.179E-01,-6.819E-01,-2.238E+00,-5.574E-02,-2.180E-01,-1.907E-01, 4.483E-01, 1.081E+00, 1.285E+00, 2.507E+00
 6.000E+01, 5.801E+02, 3.980E+02, 3.537E+02, 2.378E+02, 9.387E+01, 4.666E+01, 5.139E+02, 4.772E+02, 4.591E+02, 4.027E+02, 2.238E+02, 7.418E+01, 9.884E+02, 7.608E+02, 8.095E+02, 7.291E+02, 5.921E+02, 6.929E+02, 3.672E+01, 1.640E+01, 7.284E+00, 3.573E+01, 9.425E-01, 7.931E-01, 5.697E-01, 1.122E+00, 2.998E+00, 7.723E-02, 1.053E-01,-1.109E-01,-8.210E-02,-5.500E-01, 9.702E-01, 8.078E-01, 5.324E-01,-7.099E-01,-2.329E+00,-9.055E-02,-2.087E-01,-1.356E-01, 5.455E-01, 1.296E+00, 1.085E+00, 2.526E+00
 7.000E+01, 5.448E+02, 3.635E+02, 3.115E+02, 2.136E+02, 1.028E+02, 4.978E+01, 5.105E+02, 4.619E+02, 4.407E+02, 3.642E+02, 2.090E+02, 7.400E+01, 1.060E+03, 7.302E+02, 9.114E+02, 7.273E+02, 6.506E+02, 7.869E+02, 2.733E+01, 1.815E+01, 7.750E+00, 3.738E+01, 9.423E-01, 7.828E-01, 5.482E-01, 1.151E+00, 2.838E+00, 1.014E-01, 4.468E-02,-3.790E-02, 1.669E-01,-4.873E-01, 9.819E-01, 7.779E-01, 5.140E-01,-7.749E-01,-2.237E+00,-3.790E-02,-2.606E-01,-1.379E-01, 4.590E-01, 1.214E+00, 1.019E+00, 2.494E+00
 8.001E+01, 5.702E+02, 3.687E+02, 3.310E+02, 2.075E+02, 8.948E+01, 5.192E+01, 5.227E+02, 4.811E+02, 4.695E+02, 4.095E+02, 2.066E+02, 7.889E+01, 1.066E+03, 7.702E+02, 9.018E+02, 7.667E+02, 6.359E+02, 7.108E+02, 3.090E+01, 1.770E+01, 8.332E+00, 3.703E+01, 9.764E-01, 8.287E-01, 5.797E-01, 1.099E+00, 2.937E+00, 5.135E-02, 3.570E-02,-1.082E-01, 3.739E-01,-6.047E-01, 1.003E+00, 8.284E-01, 5.244E-01,-7.109E-01,-2.362E+00,-1.399E-01,-2.179E-01,-2.232E-01, 4.969E-01, 1.194E+00, 1.120E+00, 2.569E+00
