s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,NE-Corner-Temp-01,NE-Corner-Temp-02,NE-Corner-Temp-03,NE-Corner-Temp-04,NE-Corner-Temp-05,NE-Corner-Temp-06,SE-Corner-Temp-01,SE-Corner-Temp-02,SE-Corner-Temp-03,SE-Corner-Temp-04,SE-Corner-Temp-05,SE-Corner-Temp-06,NW-Ceiling-Temp,NE-Ceiling-Temp,SW-Ceiling-Temp,SE-Ceiling-Temp,Burner-Temp-01,Burner-Temp-02,Wall-GHF,CEILING-GHF,FLOOR-GHF,BURNER-GHF,DOOR-VELOCITY-5,DOOR-VELOCITY-4,DOOR-VELOCITY-3,DOOR-VELOCITY-2,DOOR-VELOCITY-1,DOOR-VELOCITY2-5,DOOR-VELOCITY2-4,DOOR-VELOCITY2-3,DOOR-VELOCITY2-2,DOOR-VELOCITY2-1,DOOR-U-VELOCITY-5,DOOR-U-VELOCITY-4,DOOR-U-VELOCITY-3,DOOR-U-VELOCITY-2,DOOR-U-VELOCITY-1,DOOR-V-VELOCITY-5,DOOR-V-VELOCITY-4,DOOR-V-VELOCITY-3,DOOR-V-VELOCITY-2,DOOR-V-VELOCITY-1,DOOR-W-VELOCITY-5,DOOR-W-VELOCITY-4,DOOR-W-VELOCITY-3,DOOR-W-VELOCITY-2,DOOR-W-VELOCITY-1
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-3.070E-04,-4.626E-04,-5.294E-04,-4.274E-04, 1.782E-03,-8.853E-03,-9.166E-03,-3.273E-03, 1.833E-03, 1.211E-03, 6.078E-03, 1.095E-02, 7.942E-03, 7.156E-03, 4.510E-03,-2.129E-03,-3.299E-03,-1.321E-03, 4.808E-03,-1.147E-03,-3.401E-03, 1.116E-02,-3.148E-03,-1.318E-03,-5.483E-03,-5.898E-03,-5.984E-03,-1.340E-03,-9.034E-03
 1.001E+01, 6.007E+02, 2.934E+02, 2.675E+02, 1.802E+02, 8.238E+01, 3.739E+01, 3.856E+02, 3.147E+02, 2.978E+02, 2.491E+02, 1.332E+02, 3.686E+01, 9.286E+02, 8.480E+02, 7.222E+02, 6.816E+02, 6.620E+02, 7.924E+02, 4.945E+01, 2.035E+01, 7.009E+00, 2.208E+01, 5.170E-02,-4.442E-02,-8.487E-02,-4.052E-01,-4.339E-02, 6.392E-01, 6.225E-01, 6.326E-01, 1.126E+00, 2.600E+00, 6.731E-02, 7.580E-04,-1.083E-02,-2.786E-01, 5.093E-02,-1.585E-01,-2.419E-01,-3.053E-01,-6.494E-01,-2.184E+00, 1.075E-02, 1.845E-02, 2.881E-02, 2.371E-01,-1.439E-01
 2.001E+01, 7.235E+02, 6.935E+02, 6.352E+02, 3.478E+02, 1.005E+02, 4.992E+01, 5.362E+02, 5.024E+02, 5.019E+02, 4.555E+02, 2.599E+02, 5.854E+01, 1.030E+03, 9.309E+02, 7.652E+02, 7.602E+02, 4.394E+02, 1.016E+03, 6.291E+01, 2.441E+01, 9.970E+00, 2.324E+01, 1.774E-01, 1.210E-01, 1.757E-01,-6.885E-01,-6.229E-01, 6.817E-01, 5.656E-01, 3.716E-01, 1.520E+00, 3.580E+00, 1.429E-01, 1.128E-01, 1.307E-01,-2.714E-01,-3.408E-01, 7.017E-01, 5.715E-01, 1.883E-01,-8.797E-01,-3.090E+00,-2.008E-02,-3.052E-02, 5.396E-02, 6.062E-01, 3.626E-01
 3.000E+01, 6.764E+02, 7.020E+02, 7.104E+02, 6.880E+02, 3.359E+02, 5.444E+01, 5.472E+02, 5.026E+02, 5.009E+02, 4.971E+02, 4.018E+02, 8.608E+01, 9.061E+02, 8.577E+02, 7.052E+02, 7.088E+02, 4.450E+02, 1.009E+03, 6.291E+01, 2.829E+01, 1.371E+01, 3.215E+01,-1.244E-01,-1.591E-01, 3.303E-02,-2.909E-01,-7.316E-01, 8.681E-01, 7.121E-01, 3.642E-01, 2.104E+00, 3.596E+00,-2.363E-02,-6.160E-02, 5.357E-02, 7.301E-02,-5.320E-01, 9.234E-01, 7.389E-01, 1.737E-01,-1.105E+00,-3.033E+00, 3.746E-02,-2.645E-02, 7.926E-02, 7.714E-01, 7.013E-01
 4.000E+01, 6.677E+02, 7.046E+02, 7.124E+02, 7.182E+02, 4.714E+02, 7.067E+01, 5.412E+02, 5.208E+02, 5.150E+02, 4.936E+02, 4.554E+02, 1.528E+02, 8.960E+02, 8.607E+02, 6.835E+02, 7.116E+02, 3.534E+02, 9.329E+02, 6.640E+01, 2.866E+01, 1.686E+01, 4.006E+01,-1.638E-01,-1.547E-01,-7.545E-02,-1.641E+00,-6.359E-02, 9.576E-01, 7.583E-01, 4.816E-01, 2.509E+00, 3.944E+00,-6.725E-02,-5.775E-02,-2.184E-02,-8.717E-01, 1.110E-01, 1.001E+00, 7.762E-01, 1.531E-01,-1.258E+00,-3.439E+00, 9.550E-03,-8.827E-02, 1.841E-01, 6.370E-01, 1.862E-01
 5.001E+01, 7.103E+02, 7.483E+02, 7.533E+02, 7.364E+02, 5.378E+02, 7.331E+01, 5.520E+02, 5.348E+02, 5.251E+02, 5.112E+02, 4.830E+02, 1.760E+02, 8.901E+02, 8.568E+02, 7.090E+02, 7.161E+02, 3.334E+02, 8.153E+02, 7.210E+01, 3.208E+01, 1.884E+01, 4.280E+01,-1.547E-01,-1.838E-01,-4.479E-02,-2.589E+00,-1.395E-01, 1.024E+00, 8.272E-01, 4.431E-01, 2.641E+00, 4.224E+00,-4.061E-02,-8.408E-02, 1.053E-02,-1.703E+00, 3.015E-02, 1.088E+00, 8.640E-01, 2.793E-01,-1.313E+00,-3.640E+00, 4.821E-02,-6.261E-02, 3.659E-02, 6.901E-01,-1.291E-02
 6.000E+01, 6.944E+02, 6.745E+02, 6.843E+02, 7.199E+02, 7.367E+02, 1.120E+02, 5.665E+02, 5.551E+02, 5.488E+02, 5.417E+02, 5.349E+02, 2.906E+02, 8.736E+02, 8.503E+02, 7.191E+02, 7.223E+02, 3.513E+02, 7.357E+02, 7.049E+01, 3.860E+01, 2.370E+01, 5.175E+01,-1.221E-01,-1.878E-01,-9.036E-02,-1.952E+00, 1.878E-01, 1.029E+00, 8.152E-01, 7.580E-01, 2.814E+00, 4.360E+00,-1.087E-02,-7.510E-02,-1.050E-01,-1.070E+00, 2.860E-01, 1.087E+00, 8.403E-01,-3.576E-01,-1.384E+00,-3.726E+00, 2.115E-02,-5.288E-02, 2.939E-01, 1.170E+00, 3.668E-01
 7.000E+01, 7.085E+02, 7.028E+02, 6.953E+02, 6.835E+02, 6.768E+02, 1.859E+02, 5.759E+02, 5.551E+02, 5.492E+02, 5.387E+02, 5.264E+02, 4.151E+02, 8.334E+02, 8.467E+02, 7.075E+02, 7.297E+02, 3.793E+02, 7.466E+02, 7.491E+01, 3.822E+01, 2.528E+01, 4.801E+01,-2.355E-01,-1.382E-01, 3.454E-02,-1.948E+00, 1.069E+00, 1.170E+00, 9.392E-01, 7.792E-01, 2.930E+00, 4.619E+00,-8.014E-02,-4.031E-02, 1.856E-02,-1.079E+00, 9.549E-01, 1.226E+00, 9.799E-01,-1.244E-01,-1.591E+00,-3.979E+00,-9.200E-03,-7.149E-02, 2.967E-01, 1.138E+00, 1.918E-01
 8.000E+01, 7.145E+02, 6.932E+02, 6.874E+02, 6.630E+02, 6.584E+02, 4.400E+02, 5.860E+02, 5.759E+02, 5.728E+02, 5.570E+02, 5.406E+02, 4.370E+02, 8.268E+02, 8.225E+02, 7.084E+02, 7.252E+02, 3.495E+02, 7.348E+02, 7.099E+01, 3.872E+01, 2.918E+01, 4.640E+01,-3.451E-01,-1.635E-01, 1.295E-01,-1.858E+00, 6.178E-01, 1.231E+00, 1.011E+00, 8.479E-01, 3.192E+00, 4.632E+00,-1.433E-01,-7.845E-02, 1.663E-01,-1.094E+00, 6.375E-01, 1.291E+00, 1.020E+00,-2.151E-01,-1.846E+00,-3.989E+00, 7.705E-04,-1.157E-01, 2.991E-01, 9.653E-01, 9.510E-02
