s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,NE-Corner-Temp-01,NE-Corner-Temp-02,NE-Corner-Temp-03,NE-Corner-Temp-04,NE-Corner-Temp-05,NE-Corner-Temp-06,SE-Corner-Temp-01,SE-Corner-Temp-02,SE-Corner-Temp-03,SE-Corner-Temp-04,SE-Corner-Temp-05,SE-Corner-Temp-06,NW-Ceiling-Temp,NE-Ceiling-Temp,SW-Ceiling-Temp,SE-Ceiling-Temp,Burner-Temp-01,Burner-Temp-02,Wall-GHF,CEILING-GHF,FLOOR-GHF,BURNER-GHF,DOOR-VELOCITY-5,DOOR-VELOCITY-4,DOOR-VELOCITY-3,DOOR-VELOCITY-2,DOOR-VELOCITY-1,DOOR-U-VELOCITY-5,DOOR-U-VELOCITY-4,DOOR-U-VELOCITY-3,DOOR-U-VELOCITY-2,DOOR-U-VELOCITY-1,DOOR-V-VELOCITY-5,DOOR-V-VELOCITY-4,DOOR-V-VELOCITY-3,DOOR-V-VELOCITY-2,DOOR-V-VELOCITY-1,DOOR-W-VELOCITY-5,DOOR-W-VELOCITY-4,DOOR-W-VELOCITY-3,DOOR-W-VELOCITY-2,DOOR-W-VELOCITY-1,WINDOW-VELOCITY-2,WINDOW-VELOCITY-1
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-4.761E-04,-7.649E-04,-7.529E-04,-4.643E-04, 1.015E-02, 7.585E-03, 6.689E-03, 9.051E-03, 7.673E-03, 2.506E-04, 6.805E-03,-1.063E-02, 2.764E-03, 1.019E-02,-8.932E-03,-9.315E-03, 1.603E-03,-2.525E-04,-1.310E-03, 4.948E-03,-4.388E-03,-3.062E-03, 1.187E-02,-7.831E-04, 5.133E-03, 7.420E-03
 1.000E+01, 2.143E+02, 1.069E+02, 8.979E+01, 6.232E+01, 4.798E+01, 3.547E+01, 1.895E+02, 1.753E+02, 1.638E+02, 1.158E+02, 7.325E+01, 3.226E+01, 3.980E+02, 3.254E+02, 2.799E+02, 2.710E+02, 4.824E+02, 4.321E+02, 3.523E+00, 1.958E+00, 8.150E-01, 1.581E+01, 1.639E-01, 2.104E-01, 2.321E-01, 3.807E-01, 1.121E+00, 1.333E-02,-1.627E-03,-1.893E-02,-1.170E-01,-2.160E-01, 9.872E-02, 1.031E-01, 9.819E-02,-1.259E-01,-8.917E-01, 5.152E-03, 1.640E-02, 1.623E-02, 5.735E-02,-1.084E-02, 4.129E-01, 8.143E-01
 2.000E+01, 3.280E+02, 1.962E+02, 1.729E+02, 1.101E+02, 4.551E+01, 3.008E+01, 3.040E+02, 2.756E+02, 2.537E+02, 1.710E+02, 7.458E+01, 3.205E+01, 5.283E+02, 4.633E+02, 3.929E+02, 3.739E+02, 4.205E+02, 4.737E+02, 6.035E+00, 3.508E+00, 1.111E+00, 1.285E+01, 3.379E-01, 3.144E-01, 2.828E-01, 2.731E-01, 1.516E+00, 1.468E-02, 7.637E-03, 4.496E-04,-1.637E-02,-4.415E-01, 3.538E-01, 3.293E-01, 2.882E-01,-3.820E-02,-1.237E+00, 8.129E-03,-1.974E-02,-3.491E-02, 1.548E-01, 4.176E-01, 3.392E-01, 1.190E+00
 3.000E+01, 3.137E+02, 2.019E+02, 1.712E+02, 9.073E+01, 3.780E+01, 3.016E+01, 3.277E+02, 2.981E+02, 2.725E+02, 1.725E+02, 7.007E+01, 3.522E+01, 5.996E+02, 4.503E+02, 4.251E+02, 4.128E+02, 4.772E+02, 5.363E+02, 5.204E+00, 3.933E+00, 1.186E+00, 1.312E+01, 3.460E-01, 3.066E-01, 2.530E-01, 2.087E-01, 1.525E+00,-5.346E-03,-5.651E-03, 5.739E-03,-6.174E-02,-5.717E-01, 3.567E-01, 3.152E-01, 2.512E-01, 4.926E-02,-1.189E+00,-3.226E-02,-3.258E-02,-3.762E-02, 1.030E-01, 5.217E-01, 3.436E-01, 1.181E+00
 4.000E+01, 3.218E+02, 1.962E+02, 1.663E+02, 9.094E+01, 3.879E+01, 3.006E+01, 3.095E+02, 2.838E+02, 2.645E+02, 1.658E+02, 7.620E+01, 3.676E+01, 5.682E+02, 4.363E+02, 4.078E+02, 4.017E+02, 4.932E+02, 4.994E+02, 5.538E+00, 3.718E+00, 1.200E+00, 1.335E+01, 3.634E-01, 3.287E-01, 2.771E-01, 2.571E-01, 1.499E+00,-4.638E-03, 3.562E-02,-2.056E-02, 4.281E-02,-4.907E-01, 3.719E-01, 3.377E-01, 2.819E-01,-5.025E-02,-1.172E+00,-3.524E-02,-1.597E-02,-1.231E-02, 1.488E-01, 4.955E-01, 4.093E-01, 1.192E+00
 5.000E+01, 3.203E+02, 2.057E+02, 1.801E+02, 1.094E+02, 4.472E+01, 2.991E+01, 2.989E+02, 2.802E+02, 2.663E+02, 2.007E+02, 8.108E+01, 3.935E+01, 5.108E+02, 4.085E+02, 4.122E+02, 3.564E+02, 3.800E+02, 4.566E+02, 5.535E+00, 3.495E+00, 1.200E+00, 1.351E+01, 3.897E-01, 3.491E-01, 2.864E-01, 2.560E-01, 1.510E+00,-4.367E-04, 4.008E-03, 4.315E-03, 1.316E-02,-3.863E-01, 4.017E-01, 3.521E-01, 2.848E-01,-1.329E-02,-1.208E+00,-1.952E-02,-8.590E-02,-3.365E-02, 1.066E-01, 3.947E-01, 3.877E-01, 1.202E+00
 6.000E+01, 3.122E+02, 1.931E+02, 1.730E+02, 1.073E+02, 4.398E+01, 3.021E+01, 2.993E+02, 2.772E+02, 2.661E+02, 2.130E+02, 9.745E+01, 4.077E+01, 5.211E+02, 4.330E+02, 3.888E+02, 3.682E+02, 5.043E+02, 4.730E+02, 5.563E+00, 3.533E+00, 1.216E+00, 1.476E+01, 3.944E-01, 3.568E-01, 2.956E-01, 2.626E-01, 1.465E+00,-1.016E-02,-7.514E-03,-2.331E-02, 5.430E-02,-3.345E-01, 4.053E-01, 3.603E-01, 2.925E-01,-8.202E-02,-1.155E+00,-4.986E-02,-6.487E-02,-4.229E-02, 1.830E-01, 4.204E-01, 3.654E-01, 1.248E+00
 7.000E+01, 3.182E+02, 2.202E+02, 1.887E+02, 9.866E+01, 3.588E+01, 3.060E+01, 3.107E+02, 2.902E+02, 2.741E+02, 1.998E+02, 8.731E+01, 4.016E+01, 5.622E+02, 4.314E+02, 4.192E+02, 3.851E+02, 3.690E+02, 4.251E+02, 5.515E+00, 3.686E+00, 1.258E+00, 1.266E+01, 3.914E-01, 3.576E-01, 2.809E-01, 2.668E-01, 1.532E+00,-9.392E-03,-4.964E-02, 8.063E-02, 7.606E-02,-5.380E-01, 4.039E-01, 3.594E-01, 2.661E-01,-8.120E-02,-1.138E+00,-2.185E-02,-4.804E-02,-9.261E-02, 1.937E-01, 6.209E-01, 4.533E-01, 1.227E+00
 8.000E+01, 3.317E+02, 1.988E+02, 1.690E+02, 9.646E+01, 3.730E+01, 3.056E+01, 3.152E+02, 2.915E+02, 2.770E+02, 2.107E+02, 8.368E+01, 4.087E+01, 5.654E+02, 4.378E+02, 4.311E+02, 3.866E+02, 4.549E+02, 5.151E+02, 5.575E+00, 3.738E+00, 1.284E+00, 1.327E+01, 3.937E-01, 3.435E-01, 2.780E-01, 2.884E-01, 1.446E+00,-2.826E-02, 6.361E-04, 4.424E-02, 3.569E-02,-3.619E-01, 4.067E-01, 3.495E-01, 2.697E-01,-1.383E-01,-1.151E+00,-2.517E-02,-6.910E-02,-7.753E-02, 2.094E-01, 4.989E-01, 3.587E-01, 1.220E+00
