s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"NE-Corner-Temp-01","NE-Corner-Temp-02","NE-Corner-Temp-03","NE-Corner-Temp-04","NE-Corner-Temp-05","NE-Corner-Temp-06","SE-Corner-Temp-01","SE-Corner-Temp-02","SE-Corner-Temp-03","SE-Corner-Temp-04","SE-Corner-Temp-05","SE-Corner-Temp-06","NW-Ceiling-Temp","NE-Ceiling-Temp","SW-Ceiling-Temp","SE-Ceiling-Temp","Burner-Temp-01","Burner-Temp-02","Wall-GHF","CEILING-GHF","FLOOR-GHF","BURNER-GHF","DOOR-VELOCITY-5","DOOR-VELOCITY-4","DOOR-VELOCITY-3","DOOR-VELOCITY-2","DOOR-VELOCITY-1","DOOR-U-VELOCITY-5","DOOR-U-VELOCITY-4","DOOR-U-VELOCITY-3","DOOR-U-VELOCITY-2","DOOR-U-VELOCITY-1","DOOR-V-VELOCITY-5","DOOR-V-VELOCITY-4","DOOR-V-VELOCITY-3","DOOR-V-VELOCITY-2","DOOR-V-VELOCITY-1","DOOR-W-VELOCITY-5","DOOR-W-VELOCITY-4","DOOR-W-VELOCITY-3","DOOR-W-VELOCITY-2","DOOR-W-VELOCITY-1"
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-7.193E-05,-8.696E-05,-1.374E-04,-1.847E-04, 1.211E-03, 6.078E-03, 1.095E-02, 7.942E-03, 7.156E-03, 4.510E-03,-2.129E-03,-3.299E-03,-1.321E-03, 4.808E-03,-1.147E-03,-3.401E-03, 1.116E-02,-3.148E-03,-1.318E-03,-5.483E-03,-5.898E-03,-5.984E-03,-1.340E-03,-9.034E-03
 1.001E+01, 6.393E+02, 3.560E+02, 3.203E+02, 2.743E+02, 2.078E+02, 7.669E+01, 4.354E+02, 3.905E+02, 3.766E+02, 3.375E+02, 2.854E+02, 7.428E+01, 8.300E+02, 7.572E+02, 7.077E+02, 6.501E+02, 7.079E+02, 7.068E+02, 4.300E+01, 1.867E+01, 6.523E+00, 4.149E+01, 6.677E-01, 7.045E-01, 8.008E-01, 1.982E+00, 2.985E+00, 1.721E-02,-7.361E-02,-1.951E-01,-1.090E+00,-1.427E-01,-3.449E-02,-1.072E-01,-1.747E-01,-9.242E-01,-2.491E+00, 4.953E-02, 3.406E-02, 7.719E-02, 3.469E-01, 2.173E-01
 2.000E+01, 7.693E+02, 5.411E+02, 4.848E+02, 3.983E+02, 2.238E+02, 5.152E+01, 5.661E+02, 5.312E+02, 5.250E+02, 5.011E+02, 3.923E+02, 8.271E+01, 1.047E+03, 9.359E+02, 8.635E+02, 8.540E+02, 8.158E+02, 9.256E+02, 5.224E+01, 2.721E+01, 8.647E+00, 4.839E+01, 8.437E-01, 7.412E-01, 4.871E-01, 2.215E+00, 3.723E+00,-7.383E-02, 1.358E-02, 4.004E-02,-1.313E+00,-3.284E-01, 8.716E-01, 7.690E-01, 4.420E-01,-1.056E+00,-3.295E+00, 6.199E-02,-3.153E-03,-2.473E-02, 6.653E-01, 6.173E-01
 3.000E+01, 7.134E+02, 5.310E+02, 4.915E+02, 3.609E+02, 1.876E+02, 5.056E+01, 5.562E+02, 5.187E+02, 5.127E+02, 4.829E+02, 3.870E+02, 8.971E+01, 1.046E+03, 9.068E+02, 8.354E+02, 8.127E+02, 7.338E+02, 8.343E+02, 4.435E+01, 2.589E+01, 8.937E+00, 4.321E+01, 8.995E-01, 7.703E-01, 5.064E-01, 2.069E+00, 3.684E+00, 1.224E-01, 1.102E-01, 1.532E-01,-1.172E+00,-1.453E-02, 9.304E-01, 7.963E-01, 4.261E-01,-1.100E+00,-3.249E+00, 4.260E-02,-6.718E-02,-7.846E-02, 7.788E-01, 8.309E-01
 4.001E+01, 7.591E+02, 6.699E+02, 6.326E+02, 4.837E+02, 2.799E+02, 5.676E+01, 5.653E+02, 5.404E+02, 5.362E+02, 5.166E+02, 4.206E+02, 9.351E+01, 1.059E+03, 9.197E+02, 9.189E+02, 8.508E+02, 8.138E+02, 9.127E+02, 6.133E+01, 2.706E+01, 1.003E+01, 4.551E+01, 9.490E-01, 8.072E-01, 4.749E-01, 2.144E+00, 3.806E+00,-6.639E-02,-2.257E-02, 9.676E-02,-1.107E+00, 1.823E-02, 9.754E-01, 7.759E-01, 1.355E-01,-9.746E-01,-3.406E+00,-1.232E-04,-1.616E-01,-8.147E-03, 6.956E-01, 7.077E-01
 5.001E+01, 7.215E+02, 5.386E+02, 5.127E+02, 4.081E+02, 1.857E+02, 6.062E+01, 5.601E+02, 5.337E+02, 5.304E+02, 5.192E+02, 4.247E+02, 9.970E+01, 1.061E+03, 9.077E+02, 8.665E+02, 8.265E+02, 9.113E+02, 1.030E+03, 4.696E+01, 2.772E+01, 1.036E+01, 5.494E+01, 9.953E-01, 8.203E-01, 5.078E-01, 2.243E+00, 3.748E+00,-1.413E-02,-5.618E-02, 9.041E-05,-1.193E+00, 3.214E-01, 1.037E+00, 8.282E-01, 4.288E-01,-1.131E+00,-3.282E+00, 4.319E-02,-1.298E-01,-4.861E-02, 7.250E-01, 6.824E-01
 6.000E+01, 7.701E+02, 6.193E+02, 5.888E+02, 4.713E+02, 2.470E+02, 6.275E+01, 5.701E+02, 5.407E+02, 5.367E+02, 5.156E+02, 4.295E+02, 9.909E+01, 1.065E+03, 9.583E+02, 9.153E+02, 8.485E+02, 7.172E+02, 8.790E+02, 5.939E+01, 2.757E+01, 1.069E+01, 4.752E+01, 9.968E-01, 8.189E-01, 4.709E-01, 2.304E+00, 3.932E+00,-3.710E-02, 3.130E-02, 6.633E-02,-1.212E+00, 1.133E-01, 1.041E+00, 8.386E-01, 3.872E-01,-1.128E+00,-3.555E+00, 3.316E-02,-1.131E-01,-9.956E-02, 8.617E-01, 4.130E-01
 7.000E+01, 8.050E+02, 6.629E+02, 5.797E+02, 3.949E+02, 1.547E+02, 6.239E+01, 5.933E+02, 5.586E+02, 5.511E+02, 5.141E+02, 4.216E+02, 1.034E+02, 1.057E+03, 9.547E+02, 9.313E+02, 8.752E+02, 7.859E+02, 9.490E+02, 6.429E+01, 3.031E+01, 1.125E+01, 4.618E+01, 9.997E-01, 8.209E-01, 4.655E-01, 2.528E+00, 3.903E+00,-3.829E-02,-7.030E-02, 1.376E-01,-1.667E+00, 2.391E-01, 1.044E+00, 8.202E-01, 3.241E-01,-1.195E+00,-3.511E+00,-2.749E-02,-1.578E-01,-2.271E-02, 6.865E-01, 5.943E-01
 8.000E+01, 7.671E+02, 6.251E+02, 5.942E+02, 4.516E+02, 2.054E+02, 6.390E+01, 5.836E+02, 5.509E+02, 5.439E+02, 5.290E+02, 4.260E+02, 1.018E+02, 1.094E+03, 9.601E+02, 9.288E+02, 8.649E+02, 7.700E+02, 9.626E+02, 6.186E+01, 3.047E+01, 1.194E+01, 4.953E+01, 1.008E+00, 8.181E-01, 4.875E-01, 2.190E+00, 3.995E+00, 5.709E-02, 3.561E-02, 8.078E-02,-8.905E-01, 2.130E-01, 1.054E+00, 8.422E-01, 3.748E-01,-1.142E+00,-3.594E+00, 6.952E-02,-5.619E-02, 8.037E-02, 7.136E-01, 4.593E-01
