s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"NE-Corner-Temp-01","NE-Corner-Temp-02","NE-Corner-Temp-03","NE-Corner-Temp-04","NE-Corner-Temp-05","NE-Corner-Temp-06","SE-Corner-Temp-01","SE-Corner-Temp-02","SE-Corner-Temp-03","SE-Corner-Temp-04","SE-Corner-Temp-05","SE-Corner-Temp-06","NW-Ceiling-Temp","NE-Ceiling-Temp","SW-Ceiling-Temp","SE-Ceiling-Temp","Burner-Temp-01","Burner-Temp-02","Wall-GHF","CEILING-GHF","FLOOR-GHF","BURNER-GHF","DOOR-VELOCITY-5","DOOR-VELOCITY-4","DOOR-VELOCITY-3","DOOR-VELOCITY-2","DOOR-VELOCITY-1","DOOR-U-VELOCITY-5","DOOR-U-VELOCITY-4","DOOR-U-VELOCITY-3","DOOR-U-VELOCITY-2","DOOR-U-VELOCITY-1","DOOR-V-VELOCITY-5","DOOR-V-VELOCITY-4","DOOR-V-VELOCITY-3","DOOR-V-VELOCITY-2","DOOR-V-VELOCITY-1","DOOR-W-VELOCITY-5","DOOR-W-VELOCITY-4","DOOR-W-VELOCITY-3","DOOR-W-VELOCITY-2","DOOR-W-VELOCITY-1","WINDOW-VELOCITY-2","WINDOW-VELOCITY-1"
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-1.898E-04,-3.149E-04,-3.105E-04,-1.889E-04, 1.015E-02, 7.585E-03, 6.689E-03, 9.051E-03, 7.673E-03, 2.506E-04, 6.805E-03,-1.063E-02, 2.764E-03, 1.019E-02,-8.932E-03,-9.315E-03, 1.603E-03,-2.525E-04,-1.310E-03, 4.948E-03,-4.388E-03,-3.062E-03, 1.187E-02,-7.831E-04, 5.133E-03, 7.420E-03
 1.000E+01, 1.773E+02, 1.113E+02, 1.029E+02, 7.896E+01, 5.379E+01, 3.333E+01, 1.836E+02, 1.623E+02, 1.524E+02, 1.269E+02, 8.246E+01, 3.358E+01, 4.013E+02, 3.145E+02, 2.572E+02, 2.573E+02, 5.659E+02, 4.844E+02, 2.868E+00, 1.876E+00, 7.473E-01, 1.854E+01, 2.224E-01, 2.417E-01, 2.775E-01, 4.443E-01, 1.020E+00, 6.394E-03,-1.047E-03,-1.707E-02, 1.448E-02,-1.858E-01, 1.846E-01, 1.720E-01, 1.182E-01,-1.469E-01,-6.667E-01, 2.833E-03,-9.698E-03, 6.262E-03, 6.877E-02, 2.434E-01, 4.908E-01, 8.470E-01
 2.000E+01, 2.751E+02, 1.865E+02, 1.555E+02, 6.355E+01, 3.618E+01, 3.033E+01, 3.023E+02, 2.775E+02, 2.574E+02, 1.740E+02, 7.641E+01, 3.013E+01, 5.627E+02, 4.248E+02, 4.199E+02, 3.904E+02, 5.425E+02, 5.268E+02, 4.588E+00, 3.551E+00, 1.109E+00, 1.717E+01, 3.249E-01, 3.068E-01, 2.684E-01, 2.074E-01, 1.506E+00, 3.007E-02,-5.397E-03,-4.269E-02, 1.251E-01,-8.220E-01, 3.323E-01, 3.119E-01, 2.513E-01,-1.968E-03,-9.216E-01,-2.634E-02,-3.213E-02,-5.920E-02, 1.040E-01, 7.122E-01, 3.643E-01, 1.076E+00
 3.000E+01, 2.707E+02, 1.586E+02, 1.280E+02, 6.743E+01, 3.457E+01, 3.064E+01, 3.132E+02, 2.770E+02, 2.553E+02, 1.673E+02, 7.736E+01, 3.330E+01, 5.307E+02, 4.155E+02, 4.112E+02, 3.871E+02, 6.957E+02, 5.896E+02, 4.219E+00, 3.663E+00, 1.223E+00, 2.079E+01, 3.361E-01, 3.276E-01, 2.613E-01, 2.215E-01, 1.420E+00,-7.803E-03,-6.543E-02,-1.854E-02, 1.053E-01,-6.764E-01, 3.431E-01, 3.199E-01, 2.518E-01,-2.217E-02,-9.156E-01,-5.278E-02,-7.299E-02,-7.378E-02, 5.086E-02, 6.518E-01, 2.883E-01, 9.321E-01
 4.000E+01, 2.959E+02, 1.684E+02, 1.393E+02, 6.788E+01, 3.471E+01, 3.038E+01, 3.009E+02, 2.774E+02, 2.576E+02, 1.653E+02, 6.665E+01, 3.585E+01, 5.689E+02, 3.937E+02, 4.240E+02, 3.789E+02, 5.563E+02, 5.834E+02, 4.564E+00, 3.582E+00, 1.294E+00, 1.856E+01, 3.674E-01, 3.384E-01, 2.709E-01, 2.250E-01, 1.294E+00,-8.778E-03,-9.512E-03, 2.634E-02, 4.507E-02,-4.636E-01, 3.730E-01, 3.316E-01, 2.611E-01,-8.266E-02,-8.518E-01,-5.803E-02,-1.074E-01,-8.983E-02, 1.338E-01, 5.696E-01, 4.148E-01, 9.335E-01
 5.000E+01, 2.946E+02, 1.973E+02, 1.668E+02, 9.071E+01, 4.034E+01, 3.036E+01, 2.989E+02, 2.726E+02, 2.592E+02, 1.933E+02, 9.560E+01, 3.660E+01, 5.431E+02, 4.009E+02, 4.190E+02, 3.628E+02, 5.000E+02, 4.840E+02, 4.812E+00, 3.486E+00, 1.363E+00, 1.846E+01, 3.802E-01, 3.465E-01, 2.872E-01, 2.299E-01, 1.387E+00, 3.477E-02, 3.108E-02,-2.133E-02, 5.462E-02,-5.241E-01, 3.895E-01, 3.443E-01, 2.729E-01,-7.164E-02,-9.681E-01,-3.153E-02,-9.565E-02,-6.604E-02, 1.406E-01, 5.889E-01, 3.792E-01, 1.077E+00
 6.000E+01, 2.938E+02, 1.770E+02, 1.423E+02, 7.160E+01, 3.379E+01, 3.084E+01, 3.140E+02, 2.802E+02, 2.617E+02, 1.841E+02, 7.129E+01, 3.892E+01, 5.619E+02, 3.974E+02, 4.108E+02, 3.834E+02, 4.874E+02, 5.015E+02, 5.144E+00, 3.669E+00, 1.456E+00, 1.813E+01, 3.849E-01, 3.480E-01, 2.752E-01, 1.949E-01, 1.364E+00, 3.727E-02, 4.846E-02, 7.020E-03, 2.764E-02,-6.957E-01, 3.923E-01, 3.365E-01, 2.616E-01,-8.097E-02,-8.666E-01,-3.364E-02,-1.107E-01,-9.528E-02, 8.267E-02, 5.665E-01, 4.259E-01, 1.126E+00
 7.000E+01, 3.191E+02, 1.997E+02, 1.600E+02, 6.726E+01, 3.434E+01, 3.088E+01, 3.061E+02, 2.772E+02, 2.639E+02, 2.029E+02, 9.267E+01, 4.037E+01, 5.492E+02, 3.817E+02, 4.292E+02, 3.645E+02, 4.095E+02, 5.204E+02, 5.297E+00, 3.725E+00, 1.517E+00, 1.842E+01, 3.840E-01, 3.473E-01, 2.644E-01, 2.431E-01, 1.440E+00, 1.981E-02, 4.805E-03, 3.816E-02, 4.974E-02,-6.599E-01, 3.920E-01, 3.429E-01, 2.492E-01,-5.955E-02,-9.224E-01,-2.679E-02,-1.030E-01,-8.517E-02, 1.068E-01, 6.348E-01, 4.036E-01, 1.215E+00
 8.000E+01, 3.264E+02, 1.903E+02, 1.461E+02, 7.279E+01, 4.014E+01, 3.227E+01, 3.002E+02, 2.803E+02, 2.653E+02, 1.971E+02, 9.096E+01, 4.228E+01, 5.452E+02, 3.735E+02, 4.071E+02, 3.653E+02, 5.191E+02, 5.200E+02, 5.310E+00, 3.597E+00, 1.561E+00, 1.951E+01, 4.021E-01, 3.523E-01, 2.848E-01, 2.364E-01, 1.391E+00, 4.758E-02, 3.711E-02,-3.153E-03, 5.782E-02,-5.807E-01, 4.053E-01, 3.510E-01, 2.604E-01,-1.385E-01,-8.825E-01,-6.172E-02,-9.160E-02,-9.642E-02, 1.283E-01, 5.745E-01, 3.845E-01, 1.045E+00
