s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,NE-Corner-Temp-01,NE-Corner-Temp-02,NE-Corner-Temp-03,NE-Corner-Temp-04,NE-Corner-Temp-05,NE-Corner-Temp-06,SE-Corner-Temp-01,SE-Corner-Temp-02,SE-Corner-Temp-03,SE-Corner-Temp-04,SE-Corner-Temp-05,SE-Corner-Temp-06,NW-Ceiling-Temp,NE-Ceiling-Temp,SW-Ceiling-Temp,SE-Ceiling-Temp,Burner-Temp-01,Burner-Temp-02,Wall-GHF,CEILING-GHF,FLOOR-GHF,BURNER-GHF,DOOR-VELOCITY-5,DOOR-VELOCITY-4,DOOR-VELOCITY-3,DOOR-VELOCITY-2,DOOR-VELOCITY-1,DOOR-VELOCITY2-5,DOOR-VELOCITY2-4,DOOR-VELOCITY2-3,DOOR-VELOCITY2-2,DOOR-VELOCITY2-1,DOOR-U-VELOCITY-5,DOOR-U-VELOCITY-4,DOOR-U-VELOCITY-3,DOOR-U-VELOCITY-2,DOOR-U-VELOCITY-1,DOOR-V-VELOCITY-5,DOOR-V-VELOCITY-4,DOOR-V-VELOCITY-3,DOOR-V-VELOCITY-2,DOOR-V-VELOCITY-1,DOOR-W-VELOCITY-5,DOOR-W-VELOCITY-4,DOOR-W-VELOCITY-3,DOOR-W-VELOCITY-2,DOOR-W-VELOCITY-1
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-4.671E-04,-7.204E-04,-7.695E-04,-8.593E-04, 1.782E-03,-8.853E-03,-9.166E-03,-3.273E-03, 1.833E-03, 1.211E-03, 6.078E-03, 1.095E-02, 7.942E-03, 7.156E-03, 4.510E-03,-2.129E-03,-3.299E-03,-1.321E-03, 4.808E-03,-1.147E-03,-3.401E-03, 1.116E-02,-3.148E-03,-1.318E-03,-5.483E-03,-5.898E-03,-5.984E-03,-1.340E-03,-9.034E-03
 1.000E+01, 7.485E+02, 4.102E+02, 3.360E+02, 1.699E+02, 7.339E+01, 3.068E+01, 5.566E+02, 4.705E+02, 4.328E+02, 2.953E+02, 1.082E+02, 3.100E+01, 1.050E+03, 8.453E+02, 9.050E+02, 8.191E+02, 7.281E+02, 7.608E+02, 1.967E+01, 1.178E+01, 3.826E+00, 1.631E+01, 4.398E-02, 4.697E-02,-3.989E-02,-7.464E-02,-3.704E-01, 2.243E-01, 2.305E-01, 2.256E-01, 2.909E-01, 1.442E+00, 3.712E-02, 4.215E-02,-2.570E-02,-5.153E-02,-2.479E-01, 1.448E-01, 1.435E-01, 1.119E-01,-1.539E-01,-1.200E+00, 1.766E-03, 1.548E-02, 3.001E-02, 1.168E-01,-8.641E-02
 2.000E+01, 8.396E+02, 5.242E+02, 4.221E+02, 1.751E+02, 4.719E+01, 3.211E+01, 6.500E+02, 5.708E+02, 5.248E+02, 3.548E+02, 1.381E+02, 3.685E+01, 1.196E+03, 9.271E+02, 1.095E+03, 9.389E+02, 6.438E+02, 8.492E+02, 2.283E+01, 1.442E+01, 4.612E+00, 1.497E+01,-1.705E-02,-1.292E-02, 2.479E-02, 4.868E-02,-5.019E-01, 2.380E-01, 2.243E-01, 1.548E-01, 2.554E-01, 1.671E+00, 3.003E-03,-3.367E-04, 2.339E-02, 3.927E-02,-2.933E-01, 2.428E-01, 2.266E-01, 1.539E-01,-1.042E-01,-1.389E+00, 2.630E-02, 3.426E-02, 2.145E-02, 1.640E-01,-8.866E-02
 3.000E+01, 9.070E+02, 5.326E+02, 4.187E+02, 1.703E+02, 4.004E+01, 3.266E+01, 6.410E+02, 5.582E+02, 5.104E+02, 3.411E+02, 1.207E+02, 4.050E+01, 1.156E+03, 9.510E+02, 1.076E+03, 8.954E+02, 5.817E+02, 7.389E+02, 2.544E+01, 1.426E+01, 4.830E+00, 1.397E+01,-2.674E-02, 4.867E-04, 3.880E-02, 1.209E-01,-4.650E-01, 2.525E-01, 2.374E-01, 1.364E-01, 2.706E-01, 1.736E+00,-3.330E-03, 3.645E-03, 2.920E-02, 6.789E-02,-2.847E-01, 2.525E-01, 2.405E-01, 1.374E-01,-2.209E-01,-1.477E+00, 4.857E-02, 3.839E-02, 5.047E-04, 1.496E-01,-1.647E-01
 4.000E+01, 9.774E+02, 5.414E+02, 3.976E+02, 1.362E+02, 4.229E+01, 3.284E+01, 6.545E+02, 5.897E+02, 5.462E+02, 3.441E+02, 1.084E+02, 4.109E+01, 1.209E+03, 9.341E+02, 1.085E+03, 9.285E+02, 5.944E+02, 7.521E+02, 2.711E+01, 1.451E+01, 5.040E+00, 1.284E+01, 3.637E-03, 2.374E-02, 5.461E-03, 1.179E-01,-5.094E-01, 2.608E-01, 2.346E-01, 1.614E-01, 3.182E-01, 1.736E+00, 9.893E-03, 1.892E-02, 1.110E-02, 7.856E-02,-2.982E-01, 2.634E-01, 2.376E-01, 1.605E-01,-2.316E-01,-1.466E+00, 3.033E-02,-1.299E-02,-1.888E-02, 1.600E-01,-1.388E-01
 5.000E+01, 1.030E+03, 5.759E+02, 3.918E+02, 1.362E+02, 4.195E+01, 3.379E+01, 6.652E+02, 5.891E+02, 5.448E+02, 3.330E+02, 8.674E+01, 4.282E+01, 1.203E+03, 9.698E+02, 1.093E+03, 9.194E+02, 5.167E+02, 7.553E+02, 3.171E+01, 1.495E+01, 5.450E+00, 1.296E+01, 5.196E-03, 3.960E-02, 4.964E-02, 2.183E-01,-4.738E-01, 2.658E-01, 2.378E-01, 1.463E-01, 2.931E-01, 1.782E+00, 1.386E-02, 2.771E-02, 3.247E-02, 1.409E-01,-2.839E-01, 2.643E-01, 2.406E-01, 1.454E-01,-2.142E-01,-1.498E+00, 4.698E-02, 1.881E-02,-2.364E-02, 1.423E-01,-1.697E-01
 6.000E+01, 9.501E+02, 5.648E+02, 4.176E+02, 1.304E+02, 4.272E+01, 3.517E+01, 6.660E+02, 5.730E+02, 5.084E+02, 3.093E+02, 1.016E+02, 4.233E+01, 1.225E+03, 1.021E+03, 1.151E+03, 9.618E+02, 6.058E+02, 6.786E+02, 3.266E+01, 1.597E+01, 6.111E+00, 1.394E+01, 3.055E-02, 5.119E-02, 1.547E-02, 2.433E-01,-4.352E-01, 2.748E-01, 2.500E-01, 1.602E-01, 3.135E-01, 1.757E+00, 3.266E-02, 3.549E-02, 1.472E-02, 1.612E-01,-2.588E-01, 2.678E-01, 2.512E-01, 1.602E-01,-2.464E-01,-1.505E+00, 7.149E-02, 2.937E-02,-2.390E-02, 1.436E-01,-1.285E-01
 7.000E+01, 9.342E+02, 6.347E+02, 4.516E+02, 1.164E+02, 4.157E+01, 3.639E+01, 6.498E+02, 5.856E+02, 5.470E+02, 3.539E+02, 1.162E+02, 4.600E+01, 1.203E+03, 9.972E+02, 1.112E+03, 9.771E+02, 6.002E+02, 7.171E+02, 3.922E+01, 1.701E+01, 7.044E+00, 1.618E+01,-1.191E-02, 2.398E-02, 6.795E-02, 2.262E-01,-3.176E-01, 2.847E-01, 2.513E-01, 1.707E-01, 3.378E-01, 1.756E+00, 1.353E-03, 1.825E-02, 3.971E-02, 1.526E-01,-1.892E-01, 2.846E-01, 2.523E-01, 1.669E-01,-2.682E-01,-1.512E+00, 5.297E-02, 9.375E-03,-4.004E-02, 1.487E-01,-1.179E-01
 8.000E+01, 9.536E+02, 7.314E+02, 5.664E+02, 1.895E+02, 5.420E+01, 3.707E+01, 6.458E+02, 5.792E+02, 5.521E+02, 3.865E+02, 1.163E+02, 4.784E+01, 1.203E+03, 1.053E+03, 1.106E+03, 9.973E+02, 6.051E+02, 7.475E+02, 4.477E+01, 1.823E+01, 8.329E+00, 1.817E+01,-1.403E-02, 3.550E-02, 1.758E-02, 1.889E-01,-3.187E-01, 2.956E-01, 2.597E-01, 1.727E-01, 3.457E-01, 1.866E+00,-3.003E-04, 2.898E-02, 1.072E-02, 1.215E-01,-1.936E-01, 2.960E-01, 2.622E-01, 1.727E-01,-2.949E-01,-1.613E+00, 4.983E-02, 1.012E-02,-3.215E-02, 1.647E-01,-1.869E-01
