s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,NE-Corner-Temp-01,NE-Corner-Temp-02,NE-Corner-Temp-03,NE-Corner-Temp-04,NE-Corner-Temp-05,NE-Corner-Temp-06,SE-Corner-Temp-01,SE-Corner-Temp-02,SE-Corner-Temp-03,SE-Corner-Temp-04,SE-Corner-Temp-05,SE-Corner-Temp-06,NW-Ceiling-Temp,NE-Ceiling-Temp,SW-Ceiling-Temp,SE-Ceiling-Temp,Burner-Temp-01,Burner-Temp-02,Wall-GHF,CEILING-GHF,FLOOR-GHF,BURNER-GHF,DOOR-VELOCITY-5,DOOR-VELOCITY-4,DOOR-VELOCITY-3,DOOR-VELOCITY-2,DOOR-VELOCITY-1,DOOR-VELOCITY2-5,DOOR-VELOCITY2-4,DOOR-VELOCITY2-3,DOOR-VELOCITY2-2,DOOR-VELOCITY2-1,DOOR-U-VELOCITY-5,DOOR-U-VELOCITY-4,DOOR-U-VELOCITY-3,DOOR-U-VELOCITY-2,DOOR-U-VELOCITY-1,DOOR-V-VELOCITY-5,DOOR-V-VELOCITY-4,DOOR-V-VELOCITY-3,DOOR-V-VELOCITY-2,DOOR-V-VELOCITY-1,DOOR-W-VELOCITY-5,DOOR-W-VELOCITY-4,DOOR-W-VELOCITY-3,DOOR-W-VELOCITY-2,DOOR-W-VELOCITY-1
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-2.488E-04,-3.016E-04,-4.367E-04,-6.981E-04, 1.782E-03,-8.853E-03,-9.166E-03,-3.273E-03, 1.833E-03, 1.211E-03, 6.078E-03, 1.095E-02, 7.942E-03, 7.156E-03, 4.510E-03,-2.129E-03,-3.299E-03,-1.321E-03, 4.808E-03,-1.147E-03,-3.401E-03, 1.116E-02,-3.148E-03,-1.318E-03,-5.483E-03,-5.898E-03,-5.984E-03,-1.340E-03,-9.034E-03
 1.000E+01, 8.018E+02, 3.899E+02, 3.255E+02, 1.627E+02, 6.382E+01, 3.070E+01, 5.585E+02, 4.978E+02, 4.592E+02, 3.124E+02, 1.150E+02, 3.149E+01, 1.005E+03, 8.669E+02, 8.765E+02, 8.284E+02, 7.522E+02, 8.378E+02, 2.161E+01, 1.179E+01, 3.352E+00, 1.474E+01,-2.146E-02, 1.276E-02,-1.273E-02, 3.821E-02,-4.209E-01, 2.225E-01, 2.211E-01, 2.216E-01, 2.792E-01, 1.466E+00,-4.300E-03, 2.004E-02, 1.244E-03, 3.215E-02,-2.588E-01, 1.528E-01, 1.423E-01, 1.090E-01,-5.824E-02,-1.193E+00,-4.191E-03, 2.398E-02, 4.488E-02, 1.387E-01,-1.241E-01
 2.000E+01, 8.953E+02, 4.858E+02, 3.972E+02, 2.005E+02, 5.360E+01, 3.268E+01, 6.459E+02, 5.540E+02, 4.944E+02, 3.540E+02, 1.243E+02, 3.795E+01, 1.201E+03, 9.333E+02, 1.083E+03, 9.655E+02, 7.034E+02, 8.312E+02, 2.222E+01, 1.446E+01, 4.126E+00, 1.484E+01,-1.464E-02, 5.876E-03, 5.782E-02, 7.831E-02,-5.111E-01, 2.437E-01, 2.327E-01, 1.595E-01, 3.011E-01, 1.669E+00, 4.295E-03, 1.378E-02, 3.942E-02, 5.139E-02,-3.117E-01, 2.485E-01, 2.354E-01, 1.615E-01,-2.156E-01,-1.403E+00, 3.315E-02, 4.596E-02, 2.561E-02, 1.505E-01,-1.004E-01
 3.000E+01, 9.144E+02, 5.487E+02, 4.415E+02, 1.743E+02, 5.277E+01, 3.320E+01, 6.373E+02, 5.568E+02, 5.109E+02, 3.398E+02, 1.157E+02, 4.242E+01, 1.193E+03, 9.622E+02, 1.090E+03, 9.345E+02, 6.342E+02, 7.444E+02, 2.575E+01, 1.478E+01, 4.388E+00, 1.321E+01,-1.123E-02, 1.531E-02, 7.132E-02, 1.354E-01,-5.074E-01, 2.568E-01, 2.422E-01, 1.439E-01, 2.899E-01, 1.652E+00, 7.862E-03, 1.416E-02, 4.446E-02, 8.394E-02,-3.120E-01, 2.563E-01, 2.456E-01, 1.433E-01,-2.242E-01,-1.406E+00, 5.655E-02, 4.037E-02, 4.042E-03, 1.501E-01,-8.076E-02
 4.000E+01, 9.345E+02, 5.555E+02, 4.343E+02, 1.733E+02, 5.253E+01, 3.387E+01, 6.341E+02, 5.652E+02, 5.196E+02, 3.540E+02, 1.406E+02, 4.230E+01, 1.246E+03, 9.756E+02, 1.107E+03, 9.616E+02, 5.543E+02, 7.628E+02, 2.382E+01, 1.497E+01, 4.615E+00, 1.370E+01,-1.652E-02, 4.182E-02, 7.948E-02, 1.767E-01,-4.855E-01, 2.686E-01, 2.418E-01, 1.510E-01, 3.213E-01, 1.717E+00,-3.326E-03, 3.082E-02, 4.591E-02, 1.189E-01,-2.764E-01, 2.697E-01, 2.435E-01, 1.501E-01,-2.323E-01,-1.450E+00, 4.323E-02, 1.435E-02,-1.906E-02, 1.679E-01,-1.446E-01
 5.000E+01, 9.693E+02, 5.386E+02, 3.970E+02, 1.378E+02, 3.961E+01, 3.449E+01, 6.477E+02, 5.765E+02, 5.319E+02, 3.422E+02, 9.931E+01, 4.357E+01, 1.252E+03, 9.645E+02, 1.163E+03, 9.573E+02, 5.835E+02, 7.943E+02, 2.701E+01, 1.600E+01, 4.979E+00, 1.400E+01,-1.874E-02, 2.579E-02, 6.366E-02, 2.275E-01,-4.522E-01, 2.778E-01, 2.519E-01, 1.536E-01, 2.956E-01, 1.743E+00,-2.269E-03, 1.964E-02, 3.950E-02, 1.429E-01,-2.622E-01, 2.685E-01, 2.541E-01, 1.565E-01,-2.117E-01,-1.478E+00, 8.011E-02, 4.209E-02,-2.345E-02, 1.513E-01,-1.629E-01
 6.000E+01, 9.952E+02, 5.571E+02, 4.355E+02, 1.562E+02, 4.145E+01, 3.524E+01, 6.470E+02, 5.733E+02, 5.340E+02, 3.678E+02, 1.115E+02, 4.505E+01, 1.213E+03, 9.239E+02, 1.153E+03, 9.249E+02, 6.119E+02, 8.230E+02, 2.857E+01, 1.676E+01, 5.573E+00, 1.437E+01, 4.130E-03,-1.356E-02, 3.213E-02, 2.336E-01,-3.675E-01, 2.831E-01, 2.516E-01, 1.569E-01, 3.220E-01, 1.807E+00, 1.140E-02,-3.794E-03, 2.717E-02, 1.511E-01,-2.235E-01, 2.864E-01, 2.552E-01, 1.613E-01,-2.798E-01,-1.549E+00, 2.959E-02, 1.245E-02,-1.845E-02, 1.849E-01,-1.271E-01
 7.000E+01, 9.674E+02, 6.684E+02, 5.047E+02, 1.673E+02, 4.442E+01, 3.688E+01, 6.562E+02, 5.867E+02, 5.601E+02, 4.002E+02, 1.308E+02, 4.742E+01, 1.194E+03, 9.508E+02, 1.144E+03, 9.646E+02, 5.311E+02, 7.872E+02, 3.661E+01, 1.801E+01, 6.647E+00, 1.586E+01,-4.728E-02,-4.836E-02, 7.310E-02, 1.752E-01,-4.554E-01, 2.890E-01, 2.574E-01, 1.735E-01, 3.784E-01, 1.802E+00,-2.265E-02,-2.296E-02, 4.310E-02, 1.251E-01,-2.849E-01, 2.884E-01, 2.565E-01, 1.678E-01,-2.871E-01,-1.542E+00, 4.530E-02,-1.495E-03,-3.179E-02, 1.761E-01,-1.141E-01
 8.000E+01, 9.713E+02, 7.350E+02, 5.951E+02, 2.411E+02, 4.798E+01, 3.885E+01, 6.336E+02, 5.775E+02, 5.478E+02, 4.020E+02, 1.256E+02, 4.984E+01, 1.197E+03, 8.922E+02, 1.062E+03, 1.000E+03, 7.095E+02, 8.509E+02, 3.558E+01, 1.866E+01, 7.860E+00, 2.029E+01,-1.030E-01,-4.987E-02, 2.011E-02, 2.219E-01,-2.020E-01, 3.052E-01, 2.656E-01, 1.733E-01, 3.837E-01, 1.849E+00,-5.679E-02,-2.567E-02, 1.946E-02, 1.426E-01,-1.209E-01, 3.036E-01, 2.673E-01, 1.693E-01,-3.301E-01,-1.614E+00, 2.218E-02,-1.799E-02,-2.760E-02, 1.645E-01,-9.695E-02
