s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,NE-Corner-Temp-01,NE-Corner-Temp-02,NE-Corner-Temp-03,NE-Corner-Temp-04,NE-Corner-Temp-05,NE-Corner-Temp-06,SE-Corner-Temp-01,SE-Corner-Temp-02,SE-Corner-Temp-03,SE-Corner-Temp-04,SE-Corner-Temp-05,SE-Corner-Temp-06,NW-Ceiling-Temp,NE-Ceiling-Temp,SW-Ceiling-Temp,SE-Ceiling-Temp,Burner-Temp-01,Burner-Temp-02,Wall-GHF,CEILING-GHF,FLOOR-GHF,BURNER-GHF,DOOR-VELOCITY-5,DOOR-VELOCITY-4,DOOR-VELOCITY-3,DOOR-VELOCITY-2,DOOR-VELOCITY-1,DOOR-VELOCITY2-5,DOOR-VELOCITY2-4,DOOR-VELOCITY2-3,DOOR-VELOCITY2-2,DOOR-VELOCITY2-1,DOOR-U-VELOCITY-5,DOOR-U-VELOCITY-4,DOOR-U-VELOCITY-3,DOOR-U-VELOCITY-2,DOOR-U-VELOCITY-1,DOOR-V-VELOCITY-5,DOOR-V-VELOCITY-4,DOOR-V-VELOCITY-3,DOOR-V-VELOCITY-2,DOOR-V-VELOCITY-1,DOOR-W-VELOCITY-5,DOOR-W-VELOCITY-4,DOOR-W-VELOCITY-3,DOOR-W-VELOCITY-2,DOOR-W-VELOCITY-1
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-2.600E-04,-3.130E-04,-4.520E-04,-7.287E-04, 1.782E-03,-8.853E-03,-9.166E-03,-3.273E-03, 1.833E-03, 1.211E-03, 6.078E-03, 1.095E-02, 7.942E-03, 7.156E-03, 4.510E-03,-2.129E-03,-3.299E-03,-1.321E-03, 4.808E-03,-1.147E-03,-3.401E-03, 1.116E-02,-3.148E-03,-1.318E-03,-5.483E-03,-5.898E-03,-5.984E-03,-1.340E-03,-9.034E-03
 1.000E+01, 7.968E+02, 4.666E+02, 3.596E+02, 1.750E+02, 7.151E+01, 3.161E+01, 5.470E+02, 4.794E+02, 4.419E+02, 3.300E+02, 1.306E+02, 3.114E+01, 9.972E+02, 8.720E+02, 8.349E+02, 7.527E+02, 6.903E+02, 8.343E+02, 2.217E+01, 1.104E+01, 3.299E+00, 1.565E+01, 1.035E-02, 1.208E-02,-9.018E-02,-1.573E-02,-3.192E-01, 2.124E-01, 2.194E-01, 2.493E-01, 3.348E-01, 1.502E+00, 1.852E-02, 1.733E-02,-4.929E-02, 4.067E-03,-2.265E-01, 1.308E-01, 1.315E-01, 1.398E-01,-1.465E-01,-1.237E+00, 1.307E-02, 2.781E-02, 4.798E-02, 1.083E-01,-1.480E-01
 2.000E+01, 8.875E+02, 4.867E+02, 3.795E+02, 1.532E+02, 4.414E+01, 3.154E+01, 6.453E+02, 5.673E+02, 5.262E+02, 3.574E+02, 9.167E+01, 3.405E+01, 1.162E+03, 9.654E+02, 1.042E+03, 9.307E+02, 6.963E+02, 7.353E+02, 2.178E+01, 1.387E+01, 3.914E+00, 1.412E+01,-1.130E-02, 7.234E-03, 5.264E-02, 1.745E-01,-5.887E-01, 2.233E-01, 2.155E-01, 1.509E-01, 2.280E-01, 1.624E+00, 6.893E-03, 1.231E-02, 3.644E-02, 1.193E-01,-3.486E-01, 2.271E-01, 2.175E-01, 1.525E-01,-8.364E-02,-1.376E+00, 3.212E-02, 4.826E-02, 2.918E-02, 1.327E-01,-4.995E-02
 3.000E+01, 8.810E+02, 5.409E+02, 4.202E+02, 2.026E+02, 5.146E+01, 3.196E+01, 6.259E+02, 5.473E+02, 5.011E+02, 3.294E+02, 1.105E+02, 3.753E+01, 1.194E+03, 9.240E+02, 1.068E+03, 9.174E+02, 5.977E+02, 8.150E+02, 2.187E+01, 1.371E+01, 3.925E+00, 1.318E+01,-1.736E-02,-2.384E-04, 5.105E-02, 9.530E-02,-3.940E-01, 2.383E-01, 2.320E-01, 1.380E-01, 2.919E-01, 1.698E+00, 4.543E-03, 6.967E-04, 3.614E-02, 7.117E-02,-2.369E-01, 2.370E-01, 2.328E-01, 1.403E-01,-1.953E-01,-1.439E+00, 5.583E-02, 5.298E-02, 8.048E-03, 1.761E-01,-1.434E-01
 4.000E+01, 8.813E+02, 6.154E+02, 5.084E+02, 1.976E+02, 4.973E+01, 3.266E+01, 6.544E+02, 5.741E+02, 5.273E+02, 3.463E+02, 1.132E+02, 3.937E+01, 1.196E+03, 9.654E+02, 1.066E+03, 9.509E+02, 6.074E+02, 7.678E+02, 2.319E+01, 1.447E+01, 4.164E+00, 1.345E+01, 2.105E-04, 3.419E-02,-5.090E-03, 1.695E-01,-4.682E-01, 2.502E-01, 2.239E-01, 1.425E-01, 2.761E-01, 1.685E+00, 9.169E-03, 2.177E-02, 1.475E-03, 1.030E-01,-2.749E-01, 2.444E-01, 2.242E-01, 1.433E-01,-2.181E-01,-1.424E+00, 5.654E-02, 2.021E-02,-1.306E-02, 1.676E-01,-1.512E-01
 5.000E+01, 8.826E+02, 5.064E+02, 3.907E+02, 1.786E+02, 5.064E+01, 3.266E+01, 6.278E+02, 5.531E+02, 5.140E+02, 3.716E+02, 1.107E+02, 4.211E+01, 1.216E+03, 8.863E+02, 1.088E+03, 9.395E+02, 5.434E+02, 7.521E+02, 2.301E+01, 1.441E+01, 4.109E+00, 1.390E+01,-5.306E-02,-2.277E-02, 2.504E-02, 1.196E-01,-4.051E-01, 2.598E-01, 2.350E-01, 1.525E-01, 3.005E-01, 1.726E+00,-2.383E-02,-1.052E-02, 1.807E-02, 9.476E-02,-2.561E-01, 2.615E-01, 2.407E-01, 1.524E-01,-2.249E-01,-1.461E+00, 2.699E-02, 8.311E-03,-1.475E-02, 1.623E-01,-1.492E-01
 6.000E+01, 9.219E+02, 4.952E+02, 3.805E+02, 1.242E+02, 3.761E+01, 3.353E+01, 6.403E+02, 5.541E+02, 5.098E+02, 3.072E+02, 9.169E+01, 4.049E+01, 1.205E+03, 9.050E+02, 1.076E+03, 9.405E+02, 6.202E+02, 8.187E+02, 2.533E+01, 1.426E+01, 4.323E+00, 1.389E+01,-3.395E-02, 8.974E-03, 4.423E-02, 7.006E-02,-4.234E-01, 2.568E-01, 2.267E-01, 1.451E-01, 2.715E-01, 1.664E+00,-1.453E-02, 7.815E-03, 3.021E-02, 5.675E-02,-2.506E-01, 2.593E-01, 2.272E-01, 1.417E-01,-1.870E-01,-1.431E+00, 3.278E-02,-1.858E-03,-1.190E-02, 1.455E-01,-6.794E-02
 7.000E+01, 8.669E+02, 4.927E+02, 3.623E+02, 1.222E+02, 4.222E+01, 3.318E+01, 6.302E+02, 5.615E+02, 5.071E+02, 3.124E+02, 1.105E+02, 4.219E+01, 1.211E+03, 8.593E+02, 1.084E+03, 8.933E+02, 6.017E+02, 7.980E+02, 2.213E+01, 1.443E+01, 4.314E+00, 1.430E+01,-6.883E-02,-6.189E-02,-4.642E-02, 1.617E-01,-3.654E-01, 2.640E-01, 2.342E-01, 1.812E-01, 2.815E-01, 1.673E+00,-3.442E-02,-3.226E-02,-1.547E-02, 1.015E-01,-2.152E-01, 2.653E-01, 2.327E-01, 1.716E-01,-2.212E-01,-1.432E+00, 2.101E-02,-8.152E-03,-1.335E-02, 1.587E-01,-8.316E-02
 8.000E+01, 8.746E+02, 5.648E+02, 4.604E+02, 1.943E+02, 5.936E+01, 3.341E+01, 6.566E+02, 5.620E+02, 5.205E+02, 3.694E+02, 1.219E+02, 4.359E+01, 1.190E+03, 8.991E+02, 1.061E+03, 9.233E+02, 6.278E+02, 8.271E+02, 2.138E+01, 1.515E+01, 4.391E+00, 1.439E+01,-1.580E-02,-4.712E-02,-1.075E-02, 9.760E-02,-3.282E-01, 2.734E-01, 2.472E-01, 1.741E-01, 3.360E-01, 1.713E+00,-1.639E-03,-2.686E-02,-1.625E-03, 6.370E-02,-2.076E-01, 2.777E-01, 2.494E-01, 1.690E-01,-2.484E-01,-1.481E+00, 3.392E-02, 6.016E-03,-2.061E-02, 1.745E-01,-1.386E-01
 9.000E+01, 9.177E+02, 5.185E+02, 3.914E+02, 1.609E+02, 4.559E+01, 3.352E+01, 6.547E+02, 5.692E+02, 5.243E+02, 3.583E+02, 1.124E+02, 4.370E+01, 1.234E+03, 8.973E+02, 1.127E+03, 9.490E+02, 6.163E+02, 7.514E+02, 2.209E+01, 1.536E+01, 4.502E+00, 1.350E+01,-1.766E-02,-4.916E-02,-6.503E-03, 1.597E-01,-4.507E-01, 2.703E-01, 2.382E-01, 1.607E-01, 3.190E-01, 1.660E+00,-2.313E-03,-2.825E-02, 1.343E-03, 9.424E-02,-2.756E-01, 2.700E-01, 2.410E-01, 1.571E-01,-2.475E-01,-1.418E+00, 4.930E-02, 3.993E-03,-2.790E-02, 1.307E-01,-6.759E-02
 1.000E+02, 9.238E+02, 4.723E+02, 3.427E+02, 1.028E+02, 3.807E+01, 3.459E+01, 6.472E+02, 5.686E+02, 5.156E+02, 3.131E+02, 1.052E+02, 4.302E+01, 1.202E+03, 9.192E+02, 1.097E+03, 9.234E+02, 6.629E+02, 7.927E+02, 2.624E+01, 1.481E+01, 4.685E+00, 1.363E+01,-7.766E-03,-2.809E-02, 5.393E-03, 1.440E-01,-3.487E-01, 2.709E-01, 2.460E-01, 1.499E-01, 2.928E-01, 1.764E+00, 6.899E-03,-1.447E-02, 1.295E-02, 9.638E-02,-2.084E-01, 2.712E-01, 2.479E-01, 1.542E-01,-2.353E-01,-1.500E+00, 3.716E-02, 2.393E-02,-9.205E-03, 1.314E-01,-1.943E-01
