s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,NE-Corner-Temp-01,NE-Corner-Temp-02,NE-Corner-Temp-03,NE-Corner-Temp-04,NE-Corner-Temp-05,NE-Corner-Temp-06,SE-Corner-Temp-01,SE-Corner-Temp-02,SE-Corner-Temp-03,SE-Corner-Temp-04,SE-Corner-Temp-05,SE-Corner-Temp-06,NW-Ceiling-Temp,NE-Ceiling-Temp,SW-Ceiling-Temp,SE-Ceiling-Temp,Burner-Temp-01,Burner-Temp-02,Wall-GHF,CEILING-GHF,FLOOR-GHF,BURNER-GHF,DOOR-VELOCITY-5,DOOR-VELOCITY-4,DOOR-VELOCITY-3,DOOR-VELOCITY-2,DOOR-VELOCITY-1,DOOR-VELOCITY2-5,DOOR-VELOCITY2-4,DOOR-VELOCITY2-3,DOOR-VELOCITY2-2,DOOR-VELOCITY2-1,DOOR-U-VELOCITY-5,DOOR-U-VELOCITY-4,DOOR-U-VELOCITY-3,DOOR-U-VELOCITY-2,DOOR-U-VELOCITY-1,DOOR-V-VELOCITY-5,DOOR-V-VELOCITY-4,DOOR-V-VELOCITY-3,DOOR-V-VELOCITY-2,DOOR-V-VELOCITY-1,DOOR-W-VELOCITY-5,DOOR-W-VELOCITY-4,DOOR-W-VELOCITY-3,DOOR-W-VELOCITY-2,DOOR-W-VELOCITY-1
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-5.750E-04,-9.520E-04,-8.880E-04,-9.865E-04, 1.782E-03,-8.853E-03,-9.166E-03,-3.273E-03, 1.833E-03, 1.211E-03, 6.078E-03, 1.095E-02, 7.942E-03, 7.156E-03, 4.510E-03,-2.129E-03,-3.299E-03,-1.321E-03, 4.808E-03,-1.147E-03,-3.401E-03, 1.116E-02,-3.148E-03,-1.318E-03,-5.483E-03,-5.898E-03,-5.984E-03,-1.340E-03,-9.034E-03
 1.000E+01, 3.923E+02, 1.838E+02, 1.556E+02, 9.833E+01, 5.391E+01, 2.884E+01, 3.464E+02, 2.831E+02, 2.577E+02, 1.644E+02, 6.493E+01, 3.403E+01, 6.652E+02, 5.715E+02, 4.868E+02, 4.734E+02, 6.090E+02, 6.685E+02, 1.050E+01, 4.054E+00, 1.527E+00, 1.456E+01,-2.814E-03,-6.738E-03, 8.627E-03, 2.057E-02,-2.889E-01, 1.281E-01, 1.363E-01, 1.742E-01, 2.146E-01, 1.087E+00, 4.680E-03, 4.156E-03, 1.198E-02, 3.186E-02,-1.942E-01, 1.014E-01, 9.209E-02, 8.067E-02,-8.921E-03,-8.550E-01, 6.881E-03, 1.146E-02, 2.496E-02, 5.760E-02,-1.727E-01
 2.000E+01, 4.890E+02, 2.913E+02, 2.471E+02, 1.275E+02, 4.206E+01, 2.951E+01, 4.349E+02, 3.673E+02, 3.297E+02, 2.265E+02, 8.711E+01, 3.118E+01, 7.619E+02, 6.437E+02, 5.927E+02, 5.774E+02, 6.084E+02, 6.405E+02, 1.141E+01, 5.278E+00, 1.818E+00, 1.494E+01,-1.773E-02,-5.137E-03,-4.588E-03, 7.983E-02,-4.497E-01, 2.047E-01, 1.967E-01, 1.610E-01, 1.963E-01, 1.269E+00,-8.558E-04, 4.077E-03, 5.091E-03, 6.418E-02,-2.875E-01, 2.104E-01, 2.016E-01, 1.649E-01,-3.829E-02,-1.052E+00, 1.569E-02, 2.623E-02, 1.947E-02, 1.138E-01,-7.315E-02
 3.000E+01, 4.801E+02, 3.036E+02, 2.532E+02, 1.248E+02, 5.136E+01, 2.942E+01, 4.156E+02, 3.649E+02, 3.223E+02, 2.344E+02, 9.620E+01, 3.243E+01, 8.072E+02, 6.301E+02, 6.407E+02, 5.498E+02, 5.122E+02, 6.320E+02, 9.903E+00, 5.184E+00, 1.841E+00, 1.299E+01,-1.335E-02, 3.552E-03, 2.205E-02, 5.349E-02,-4.657E-01, 2.100E-01, 2.046E-01, 1.652E-01, 2.155E-01, 1.299E+00, 3.613E-03, 6.627E-03, 1.913E-02, 3.998E-02,-2.720E-01, 2.125E-01, 2.076E-01, 1.659E-01,-4.339E-02,-1.061E+00, 2.871E-02, 3.437E-02, 1.506E-02, 1.361E-01,-1.853E-01
 4.000E+01, 5.129E+02, 2.788E+02, 2.316E+02, 1.120E+02, 4.038E+01, 2.959E+01, 4.240E+02, 3.551E+02, 3.154E+02, 1.968E+02, 6.819E+01, 3.569E+01, 8.628E+02, 6.331E+02, 6.747E+02, 5.835E+02, 4.685E+02, 5.866E+02, 1.022E+01, 5.533E+00, 1.940E+00, 1.248E+01,-1.387E-02, 1.553E-02, 2.058E-02, 1.101E-01,-5.194E-01, 2.142E-01, 2.073E-01, 1.543E-01, 1.949E-01, 1.278E+00, 4.714E-03, 1.124E-02, 1.679E-02, 8.028E-02,-3.170E-01, 2.085E-01, 2.079E-01, 1.564E-01,-8.165E-02,-1.050E+00, 6.309E-02, 4.810E-02, 5.263E-03, 1.341E-01,-8.944E-02
 5.000E+01, 4.926E+02, 2.989E+02, 2.446E+02, 1.188E+02, 4.056E+01, 2.989E+01, 4.185E+02, 3.727E+02, 3.443E+02, 2.406E+02, 9.708E+01, 3.422E+01, 7.971E+02, 6.249E+02, 6.510E+02, 5.729E+02, 4.672E+02, 5.965E+02, 1.067E+01, 5.419E+00, 1.949E+00, 1.298E+01,-1.824E-02, 2.233E-02, 5.804E-02, 3.899E-02,-5.483E-01, 2.223E-01, 2.118E-01, 1.697E-01, 2.241E-01, 1.294E+00,-1.084E-03, 1.846E-02, 3.863E-02, 3.250E-02,-3.356E-01, 2.202E-01, 2.144E-01, 1.673E-01,-1.124E-01,-1.061E+00, 4.748E-02, 2.199E-02, 2.928E-03, 1.515E-01,-1.107E-01
 6.000E+01, 5.347E+02, 3.415E+02, 2.886E+02, 1.252E+02, 4.056E+01, 2.978E+01, 4.343E+02, 3.636E+02, 3.198E+02, 2.077E+02, 7.262E+01, 3.509E+01, 8.330E+02, 6.634E+02, 6.494E+02, 5.882E+02, 5.260E+02, 5.708E+02, 1.199E+01, 5.486E+00, 2.059E+00, 1.250E+01, 2.729E-02, 3.705E-02, 4.730E-02, 1.394E-01,-5.139E-01, 2.250E-01, 2.042E-01, 1.609E-01, 1.981E-01, 1.297E+00, 2.168E-02, 2.751E-02, 3.662E-02, 1.018E-01,-3.090E-01, 2.277E-01, 2.052E-01, 1.600E-01,-8.981E-02,-1.076E+00, 2.489E-02,-1.591E-02,-2.363E-02, 1.289E-01,-1.116E-01
 7.000E+01, 5.542E+02, 2.762E+02, 2.198E+02, 9.603E+01, 3.531E+01, 2.988E+01, 4.329E+02, 3.605E+02, 3.223E+02, 1.914E+02, 7.082E+01, 3.549E+01, 8.473E+02, 6.685E+02, 6.702E+02, 5.931E+02, 4.560E+02, 5.204E+02, 1.251E+01, 5.613E+00, 2.097E+00, 1.171E+01,-1.869E-02,-9.777E-03, 1.995E-02, 1.777E-01,-5.275E-01, 2.198E-01, 2.055E-01, 1.492E-01, 2.023E-01, 1.292E+00,-3.816E-03,-4.881E-03, 1.917E-02, 1.439E-01,-3.210E-01, 2.172E-01, 2.080E-01, 1.480E-01,-4.558E-02,-1.059E+00, 4.484E-02,-2.072E-03,-9.801E-03, 1.461E-01,-1.234E-01
 8.000E+01, 5.093E+02, 3.055E+02, 2.493E+02, 1.218E+02, 3.739E+01, 2.967E+01, 4.271E+02, 3.663E+02, 3.324E+02, 2.198E+02, 6.950E+01, 3.649E+01, 8.776E+02, 6.278E+02, 6.829E+02, 5.834E+02, 5.056E+02, 5.731E+02, 1.103E+01, 5.773E+00, 2.117E+00, 1.257E+01,-2.904E-02,-1.295E-02, 4.238E-02, 1.738E-01,-5.221E-01, 2.253E-01, 2.055E-01, 1.629E-01, 2.180E-01, 1.290E+00,-1.112E-02,-5.876E-03, 3.102E-02, 1.200E-01,-3.020E-01, 2.288E-01, 2.085E-01, 1.625E-01,-1.001E-01,-1.044E+00, 1.545E-02, 7.520E-03,-1.315E-03, 1.352E-01,-1.604E-01
