s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"NE-Corner-Temp-01","NE-Corner-Temp-02","NE-Corner-Temp-03","NE-Corner-Temp-04","NE-Corner-Temp-05","NE-Corner-Temp-06","SE-Corner-Temp-01","SE-Corner-Temp-02","SE-Corner-Temp-03","SE-Corner-Temp-04","SE-Corner-Temp-05","SE-Corner-Temp-06","NW-Ceiling-Temp","NE-Ceiling-Temp","SW-Ceiling-Temp","SE-Ceiling-Temp","Burner-Temp-01","Burner-Temp-02","Wall-GHF","CEILING-GHF","FLOOR-GHF","BURNER-GHF","DOOR-VELOCITY-5","DOOR-VELOCITY-4","DOOR-VELOCITY-3","DOOR-VELOCITY-2","DOOR-VELOCITY-1","DOOR-U-VELOCITY-5","DOOR-U-VELOCITY-4","DOOR-U-VELOCITY-3","DOOR-U-VELOCITY-2","DOOR-U-VELOCITY-1","DOOR-V-VELOCITY-5","DOOR-V-VELOCITY-4","DOOR-V-VELOCITY-3","DOOR-V-VELOCITY-2","DOOR-V-VELOCITY-1","DOOR-W-VELOCITY-5","DOOR-W-VELOCITY-4","DOOR-W-VELOCITY-3","DOOR-W-VELOCITY-2","DOOR-W-VELOCITY-1"
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-1.941E-04,-2.860E-04,-3.087E-04,-4.503E-04, 1.211E-03, 6.078E-03, 1.095E-02, 7.942E-03, 7.156E-03, 4.510E-03,-2.129E-03,-3.299E-03,-1.321E-03, 4.808E-03,-1.147E-03,-3.401E-03, 1.116E-02,-3.148E-03,-1.318E-03,-5.483E-03,-5.898E-03,-5.984E-03,-1.340E-03,-9.034E-03
 1.000E+01, 6.912E+02, 3.473E+02, 2.821E+02, 1.594E+02, 8.957E+01, 3.476E+01, 5.248E+02, 4.408E+02, 4.062E+02, 2.834E+02, 1.001E+02, 3.615E+01, 9.996E+02, 7.904E+02, 8.542E+02, 7.397E+02, 7.648E+02, 7.830E+02, 2.223E+01, 1.115E+01, 3.772E+00, 2.015E+01, 1.964E-01, 1.980E-01, 1.977E-01, 2.416E-01, 1.278E+00,-1.413E-02,-1.101E-02, 2.402E-02,-1.746E-02,-2.990E-01, 1.280E-01, 1.248E-01, 1.073E-01, 6.451E-03,-1.031E+00, 1.167E-02, 2.459E-02, 5.412E-02, 7.256E-02, 8.979E-02
 2.000E+01, 8.176E+02, 4.422E+02, 3.387E+02, 1.244E+02, 4.248E+01, 3.398E+01, 5.934E+02, 5.140E+02, 4.661E+02, 2.781E+02, 7.942E+01, 3.835E+01, 1.156E+03, 8.475E+02, 1.056E+03, 8.743E+02, 6.508E+02, 7.967E+02, 2.459E+01, 1.375E+01, 4.878E+00, 1.907E+01, 2.508E-01, 2.436E-01, 2.119E-01, 1.901E-01, 1.486E+00, 1.460E-02, 1.417E-02, 1.778E-02, 5.744E-02,-3.467E-01, 2.489E-01, 2.383E-01, 2.099E-01,-9.553E-02,-1.252E+00, 5.556E-02, 7.175E-02, 4.549E-02, 1.023E-01, 2.493E-02
 3.000E+01, 8.174E+02, 4.846E+02, 3.778E+02, 1.397E+02, 4.797E+01, 3.565E+01, 5.989E+02, 5.135E+02, 4.633E+02, 3.068E+02, 9.934E+01, 4.181E+01, 1.189E+03, 7.993E+02, 1.060E+03, 8.599E+02, 5.454E+02, 7.797E+02, 2.406E+01, 1.362E+01, 5.222E+00, 1.894E+01, 2.843E-01, 2.571E-01, 1.946E-01, 2.710E-01, 1.523E+00, 9.122E-03, 2.609E-02, 2.284E-02, 1.110E-01,-3.342E-01, 2.771E-01, 2.606E-01, 2.003E-01,-2.186E-01,-1.304E+00, 7.524E-02, 3.298E-02,-1.719E-02, 1.629E-01, 3.667E-02
 4.000E+01, 8.954E+02, 4.739E+02, 3.318E+02, 1.162E+02, 4.586E+01, 3.719E+01, 5.888E+02, 5.077E+02, 4.637E+02, 3.156E+02, 1.068E+02, 4.446E+01, 1.174E+03, 7.974E+02, 1.059E+03, 8.385E+02, 5.760E+02, 7.512E+02, 2.856E+01, 1.452E+01, 5.793E+00, 1.916E+01, 2.979E-01, 2.740E-01, 2.091E-01, 3.145E-01, 1.544E+00,-1.249E-02, 1.553E-02, 5.247E-02, 7.386E-02,-3.527E-01, 2.940E-01, 2.755E-01, 2.012E-01,-2.825E-01,-1.342E+00, 5.453E-02, 3.391E-02,-1.103E-03, 1.671E-01, 7.253E-02
 5.000E+01, 7.629E+02, 4.041E+02, 2.848E+02, 1.271E+02, 5.551E+01, 3.933E+01, 6.254E+02, 5.219E+02, 4.671E+02, 2.938E+02, 1.050E+02, 4.734E+01, 1.181E+03, 7.987E+02, 1.085E+03, 9.074E+02, 8.048E+02, 9.638E+02, 2.254E+01, 1.694E+01, 6.582E+00, 2.270E+01, 3.100E-01, 2.674E-01, 1.971E-01, 3.494E-01, 1.584E+00,-4.399E-02,-3.551E-02, 1.497E-02, 1.150E-01,-2.118E-01, 3.020E-01, 2.656E-01, 1.910E-01,-2.984E-01,-1.374E+00, 4.893E-02,-1.821E-02,-3.169E-02, 1.342E-01, 6.025E-02
 6.000E+01, 9.257E+02, 4.754E+02, 3.200E+02, 9.614E+01, 4.621E+01, 4.048E+01, 6.293E+02, 5.407E+02, 4.929E+02, 3.070E+02, 1.058E+02, 5.051E+01, 1.208E+03, 8.290E+02, 1.108E+03, 8.999E+02, 6.902E+02, 8.758E+02, 3.343E+01, 1.785E+01, 7.598E+00, 2.164E+01, 3.239E-01, 2.866E-01, 2.071E-01, 3.599E-01, 1.630E+00, 2.775E-02, 1.295E-02, 5.783E-03, 6.163E-02,-1.770E-01, 3.259E-01, 2.890E-01, 2.026E-01,-3.087E-01,-1.449E+00, 3.706E-02, 2.339E-02,-2.185E-02, 1.469E-01, 7.734E-02
 7.000E+01, 9.500E+02, 5.643E+02, 3.813E+02, 1.060E+02, 5.321E+01, 4.231E+01, 6.318E+02, 5.236E+02, 4.643E+02, 2.613E+02, 9.179E+01, 5.261E+01, 1.201E+03, 9.250E+02, 1.149E+03, 9.324E+02, 6.143E+02, 8.139E+02, 4.102E+01, 1.836E+01, 8.726E+00, 2.101E+01, 3.349E-01, 3.001E-01, 2.123E-01, 3.513E-01, 1.644E+00, 2.032E-02, 3.159E-02, 1.381E-02, 8.467E-02,-2.168E-01, 3.301E-01, 3.003E-01, 1.935E-01,-3.180E-01,-1.475E+00, 4.300E-02, 2.288E-02,-4.420E-02, 1.377E-01, 1.091E-01
 8.000E+01, 9.477E+02, 4.827E+02, 3.023E+02, 9.309E+01, 5.223E+01, 4.746E+01, 6.749E+02, 5.730E+02, 5.154E+02, 3.119E+02, 9.796E+01, 5.549E+01, 1.190E+03, 8.901E+02, 1.114E+03, 9.985E+02, 6.520E+02, 8.628E+02, 3.897E+01, 2.058E+01, 9.933E+00, 2.371E+01, 3.524E-01, 3.002E-01, 2.136E-01, 3.828E-01, 1.684E+00, 4.408E-02,-8.040E-03,-1.570E-02, 5.287E-02,-2.008E-01, 3.525E-01, 3.047E-01, 1.934E-01,-3.456E-01,-1.512E+00, 4.030E-02,-4.879E-03,-3.671E-02, 1.670E-01, 1.432E-01
