s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,NE-Corner-Temp-01,NE-Corner-Temp-02,NE-Corner-Temp-03,NE-Corner-Temp-04,NE-Corner-Temp-05,NE-Corner-Temp-06,SE-Corner-Temp-01,SE-Corner-Temp-02,SE-Corner-Temp-03,SE-Corner-Temp-04,SE-Corner-Temp-05,SE-Corner-Temp-06,NW-Ceiling-Temp,NE-Ceiling-Temp,SW-Ceiling-Temp,SE-Ceiling-Temp,Burner-Temp-01,Burner-Temp-02,Wall-GHF,CEILING-GHF,FLOOR-GHF,BURNER-GHF,DOOR-VELOCITY-5,DOOR-VELOCITY-4,DOOR-VELOCITY-3,DOOR-VELOCITY-2,DOOR-VELOCITY-1,DOOR-U-VELOCITY-5,DOOR-U-VELOCITY-4,DOOR-U-VELOCITY-3,DOOR-U-VELOCITY-2,DOOR-U-VELOCITY-1,DOOR-V-VELOCITY-5,DOOR-V-VELOCITY-4,DOOR-V-VELOCITY-3,DOOR-V-VELOCITY-2,DOOR-V-VELOCITY-1,DOOR-W-VELOCITY-5,DOOR-W-VELOCITY-4,DOOR-W-VELOCITY-3,DOOR-W-VELOCITY-2,DOOR-W-VELOCITY-1,WINDOW-U-VELOCITY-1,WINDOW-U-VELOCITY-2
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-4.948E-04,-8.829E-04,-8.389E-04,-5.209E-04, 1.015E-02, 7.585E-03, 6.689E-03, 9.051E-03, 7.673E-03, 2.506E-04, 6.805E-03,-1.063E-02, 2.764E-03, 1.019E-02,-8.932E-03,-9.315E-03, 1.603E-03,-2.525E-04,-1.310E-03, 4.948E-03,-4.388E-03,-3.062E-03, 1.187E-02,-7.831E-04,-9.462E-04, 2.801E-04
 1.000E+01, 3.186E+02, 1.474E+02, 1.230E+02, 7.636E+01, 4.679E+01, 2.839E+01, 2.771E+02, 2.213E+02, 1.963E+02, 1.464E+02, 7.034E+01, 3.266E+01, 5.833E+02, 4.399E+02, 4.174E+02, 3.717E+02, 5.998E+02, 5.599E+02, 6.556E+00, 2.806E+00, 1.030E+00, 1.329E+01, 1.381E-01, 1.385E-01, 1.595E-01, 2.242E-01, 8.091E-01, 8.249E-03, 9.914E-03, 3.086E-02,-1.504E-02,-2.023E-01, 1.186E-01, 1.116E-01, 1.068E-01, 3.637E-02,-5.998E-01,-8.904E-04, 4.568E-04, 1.608E-02, 1.617E-02, 4.916E-02, 2.838E-01, 3.305E-02
 2.000E+01, 3.976E+02, 1.871E+02, 1.422E+02, 6.177E+01, 3.205E+01, 2.905E+01, 3.627E+02, 2.875E+02, 2.453E+02, 1.281E+02, 4.702E+01, 3.071E+01, 6.078E+02, 5.379E+02, 4.642E+02, 4.648E+02, 5.140E+02, 5.477E+02, 8.442E+00, 3.764E+00, 1.251E+00, 1.290E+01, 2.023E-01, 1.942E-01, 1.653E-01, 1.352E-01, 9.784E-01, 2.423E-02,-1.405E-02,-8.362E-03, 4.921E-03,-3.535E-01, 2.024E-01, 1.809E-01, 1.581E-01, 6.932E-02,-7.486E-01,-1.677E-02,-6.072E-02,-3.422E-02, 2.409E-02, 6.209E-02, 3.828E-01,-3.954E-02
 3.000E+01, 3.836E+02, 1.745E+02, 1.316E+02, 5.290E+01, 3.069E+01, 2.914E+01, 3.701E+02, 3.004E+02, 2.493E+02, 1.305E+02, 5.443E+01, 3.140E+01, 6.332E+02, 5.451E+02, 4.865E+02, 4.756E+02, 5.394E+02, 5.800E+02, 7.711E+00, 3.926E+00, 1.288E+00, 1.231E+01, 2.070E-01, 1.961E-01, 1.607E-01, 1.268E-01, 9.779E-01, 2.837E-02, 2.024E-02,-4.295E-02,-6.366E-03,-3.374E-01, 2.012E-01, 1.878E-01, 1.533E-01, 1.021E-02,-7.205E-01,-3.376E-02,-5.852E-02,-2.400E-02, 3.537E-02, 1.612E-01, 3.770E-01,-4.656E-02
 4.000E+01, 4.007E+02, 1.905E+02, 1.484E+02, 5.250E+01, 2.967E+01, 2.861E+01, 3.695E+02, 3.057E+02, 2.619E+02, 1.282E+02, 5.013E+01, 3.314E+01, 7.052E+02, 5.332E+02, 5.291E+02, 4.798E+02, 5.103E+02, 5.709E+02, 7.548E+00, 4.001E+00, 1.324E+00, 1.218E+01, 2.101E-01, 2.015E-01, 1.536E-01, 1.132E-01, 9.554E-01, 2.730E-02, 9.600E-04,-4.910E-03,-9.902E-03,-3.937E-01, 1.986E-01, 1.807E-01, 1.448E-01, 2.053E-02,-6.692E-01,-6.009E-02,-9.730E-02,-3.955E-02, 2.669E-02, 1.357E-01, 4.170E-01,-8.444E-02
 5.000E+01, 3.542E+02, 1.884E+02, 1.334E+02, 5.346E+01, 3.126E+01, 2.941E+01, 3.695E+02, 3.160E+02, 2.739E+02, 1.468E+02, 4.835E+01, 3.254E+01, 7.545E+02, 5.069E+02, 5.654E+02, 4.894E+02, 5.438E+02, 6.201E+02, 6.292E+00, 4.024E+00, 1.350E+00, 1.229E+01, 2.173E-01, 2.025E-01, 1.592E-01, 1.153E-01, 9.434E-01, 1.031E-02,-5.025E-02,-1.859E-02, 4.826E-02,-3.630E-01, 2.142E-01, 1.864E-01, 1.483E-01,-1.881E-02,-6.766E-01,-3.274E-02,-6.625E-02,-4.036E-02, 3.538E-02, 1.068E-01, 3.866E-01,-9.199E-02
 6.000E+01, 3.454E+02, 1.897E+02, 1.465E+02, 7.227E+01, 4.224E+01, 2.951E+01, 3.625E+02, 3.107E+02, 2.745E+02, 1.740E+02, 6.403E+01, 3.434E+01, 7.252E+02, 4.734E+02, 5.413E+02, 4.705E+02, 5.418E+02, 5.790E+02, 6.194E+00, 4.031E+00, 1.355E+00, 1.362E+01, 2.176E-01, 2.063E-01, 1.734E-01, 1.250E-01, 9.338E-01,-4.901E-03,-6.101E-02,-3.975E-02, 4.227E-02,-3.253E-01, 2.215E-01, 1.969E-01, 1.592E-01,-2.551E-02,-6.757E-01,-2.216E-02,-3.738E-02,-4.961E-02, 6.268E-02, 1.369E-01, 4.790E-01,-3.290E-02
 7.000E+01, 3.668E+02, 2.265E+02, 1.767E+02, 8.509E+01, 3.242E+01, 2.955E+01, 3.632E+02, 3.132E+02, 2.761E+02, 1.670E+02, 6.267E+01, 3.450E+01, 7.069E+02, 4.990E+02, 5.495E+02, 4.709E+02, 5.133E+02, 5.521E+02, 6.482E+00, 3.966E+00, 1.374E+00, 1.309E+01, 2.209E-01, 2.083E-01, 1.747E-01, 1.443E-01, 9.637E-01, 1.430E-02,-5.158E-02,-2.429E-02, 5.493E-02,-3.806E-01, 2.189E-01, 2.001E-01, 1.654E-01,-1.724E-02,-6.914E-01,-4.045E-02,-2.338E-02,-2.320E-02, 6.072E-02, 1.526E-01, 4.837E-01,-4.220E-03
 8.000E+01, 3.824E+02, 1.959E+02, 1.471E+02, 5.997E+01, 3.220E+01, 2.943E+01, 3.644E+02, 3.054E+02, 2.641E+02, 1.423E+02, 5.221E+01, 3.511E+01, 6.813E+02, 5.181E+02, 5.094E+02, 4.643E+02, 4.624E+02, 4.975E+02, 7.463E+00, 3.843E+00, 1.408E+00, 1.192E+01, 2.239E-01, 1.985E-01, 1.708E-01, 1.069E-01, 9.679E-01, 2.446E-02,-1.432E-02,-3.016E-02, 3.490E-02,-3.150E-01, 2.225E-01, 1.978E-01, 1.644E-01,-1.156E-02,-7.204E-01,-2.867E-02,-3.140E-02,-3.142E-02, 4.917E-02, 9.762E-02, 4.002E-01,-3.380E-02
 9.000E+01, 4.078E+02, 1.945E+02, 1.461E+02, 6.001E+01, 3.269E+01, 2.935E+01, 3.624E+02, 3.104E+02, 2.701E+02, 1.501E+02, 5.406E+01, 3.535E+01, 7.091E+02, 5.224E+02, 5.476E+02, 4.659E+02, 4.798E+02, 5.453E+02, 7.351E+00, 4.012E+00, 1.446E+00, 1.205E+01, 2.243E-01, 2.067E-01, 1.720E-01, 1.140E-01, 9.681E-01, 3.890E-02,-2.952E-02,-4.592E-02,-3.014E-03,-3.323E-01, 2.177E-01, 2.029E-01, 1.624E-01, 4.114E-02,-7.123E-01,-4.441E-02,-4.511E-02,-4.118E-02, 3.723E-02, 7.024E-02, 4.112E-01,-3.643E-02
 1.000E+02, 4.018E+02, 1.650E+02, 1.286E+02, 6.377E+01, 3.122E+01, 2.939E+01, 3.608E+02, 3.101E+02, 2.689E+02, 1.383E+02, 4.673E+01, 3.417E+01, 7.410E+02, 5.089E+02, 5.397E+02, 4.577E+02, 4.510E+02, 6.057E+02, 7.352E+00, 3.974E+00, 1.464E+00, 1.169E+01, 2.270E-01, 2.080E-01, 1.615E-01, 1.114E-01, 9.683E-01, 4.122E-02,-5.524E-02, 4.945E-04, 3.935E-02,-3.544E-01, 2.236E-01, 1.974E-01, 1.569E-01,-2.087E-02,-6.836E-01,-3.567E-02,-5.021E-02,-4.016E-02, 3.167E-02, 4.892E-02, 4.241E-01,-7.560E-02
 1.100E+02, 3.972E+02, 1.860E+02, 1.312E+02, 5.463E+01, 3.124E+01, 2.998E+01, 3.631E+02, 3.218E+02, 2.863E+02, 1.640E+02, 6.183E+01, 3.552E+01, 7.605E+02, 5.245E+02, 5.724E+02, 4.666E+02, 4.605E+02, 5.701E+02, 7.159E+00, 3.975E+00, 1.481E+00, 1.238E+01, 2.220E-01, 1.999E-01, 1.673E-01, 1.437E-01, 9.542E-01, 2.453E-02,-2.720E-02,-1.035E-02, 1.354E-02,-3.300E-01, 2.194E-01, 1.940E-01, 1.627E-01, 9.469E-03,-6.713E-01,-4.139E-02,-5.205E-02,-2.271E-02, 6.159E-02, 8.816E-02, 4.427E-01,-4.229E-02
 1.200E+02, 3.910E+02, 1.759E+02, 1.274E+02, 5.984E+01, 3.299E+01, 3.039E+01, 3.687E+02, 3.100E+02, 2.754E+02, 1.528E+02, 5.113E+01, 3.521E+01, 7.287E+02, 4.973E+02, 5.530E+02, 4.805E+02, 4.755E+02, 5.582E+02, 7.343E+00, 4.139E+00, 1.517E+00, 1.225E+01, 2.210E-01, 2.017E-01, 1.651E-01, 1.150E-01, 9.774E-01,-4.486E-02, 1.853E-02,-2.461E-03, 5.773E-02,-3.424E-01, 2.160E-01, 1.984E-01, 1.616E-01,-4.416E-02,-7.265E-01,-9.139E-03,-3.313E-02,-2.471E-02, 3.101E-02, 3.663E-02, 4.552E-01,-5.754E-02
 1.300E+02, 3.730E+02, 2.089E+02, 1.553E+02, 6.885E+01, 3.183E+01, 2.902E+01, 3.648E+02, 3.049E+02, 2.654E+02, 1.499E+02, 5.331E+01, 3.652E+01, 7.038E+02, 4.928E+02, 5.145E+02, 4.767E+02, 5.420E+02, 5.856E+02, 7.060E+00, 4.040E+00, 1.519E+00, 1.392E+01, 2.276E-01, 2.094E-01, 1.686E-01, 1.378E-01, 1.002E+00,-5.917E-02, 2.699E-02,-1.455E-02, 4.395E-02,-2.853E-01, 2.189E-01, 2.084E-01, 1.630E-01,-1.079E-02,-7.709E-01, 3.846E-03,-2.811E-02,-4.454E-02, 4.493E-02, 2.097E-02, 4.993E-01, 7.745E-03
 1.400E+02, 3.638E+02, 2.089E+02, 1.588E+02, 6.667E+01, 3.117E+01, 2.941E+01, 3.774E+02, 3.174E+02, 2.804E+02, 1.482E+02, 5.735E+01, 3.428E+01, 7.265E+02, 4.942E+02, 5.463E+02, 4.969E+02, 4.383E+02, 5.558E+02, 6.923E+00, 4.114E+00, 1.564E+00, 1.273E+01, 2.224E-01, 2.021E-01, 1.753E-01, 1.020E-01, 9.592E-01,-5.100E-02, 4.489E-03,-6.625E-03, 9.271E-03,-3.540E-01, 2.174E-01, 2.024E-01, 1.643E-01,-3.739E-02,-6.794E-01,-9.640E-03,-2.602E-02,-5.199E-02, 4.819E-02, 1.171E-01, 4.624E-01,-2.630E-02
