s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,NE-Corner-Temp-01,NE-Corner-Temp-02,NE-Corner-Temp-03,NE-Corner-Temp-04,NE-Corner-Temp-05,NE-Corner-Temp-06,SE-Corner-Temp-01,SE-Corner-Temp-02,SE-Corner-Temp-03,SE-Corner-Temp-04,SE-Corner-Temp-05,SE-Corner-Temp-06,NW-Ceiling-Temp,NE-Ceiling-Temp,SW-Ceiling-Temp,SE-Ceiling-Temp,Burner-Temp-01,Burner-Temp-02,Wall-GHF,CEILING-GHF,FLOOR-GHF,BURNER-GHF,DOOR-VELOCITY-5,DOOR-VELOCITY-4,DOOR-VELOCITY-3,DOOR-VELOCITY-2,DOOR-VELOCITY-1,DOOR-VELOCITY2-5,DOOR-VELOCITY2-4,DOOR-VELOCITY2-3,DOOR-VELOCITY2-2,DOOR-VELOCITY2-1,DOOR-U-VELOCITY-5,DOOR-U-VELOCITY-4,DOOR-U-VELOCITY-3,DOOR-U-VELOCITY-2,DOOR-U-VELOCITY-1,DOOR-V-VELOCITY-5,DOOR-V-VELOCITY-4,DOOR-V-VELOCITY-3,DOOR-V-VELOCITY-2,DOOR-V-VELOCITY-1,DOOR-W-VELOCITY-5,DOOR-W-VELOCITY-4,DOOR-W-VELOCITY-3,DOOR-W-VELOCITY-2,DOOR-W-VELOCITY-1
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-5.182E-04,-8.184E-04,-7.910E-04,-7.859E-04, 1.782E-03,-8.853E-03,-9.166E-03,-3.273E-03, 1.833E-03, 1.211E-03, 6.078E-03, 1.095E-02, 7.942E-03, 7.156E-03, 4.510E-03,-2.129E-03,-3.299E-03,-1.321E-03, 4.808E-03,-1.147E-03,-3.401E-03, 1.116E-02,-3.148E-03,-1.318E-03,-5.483E-03,-5.898E-03,-5.984E-03,-1.340E-03,-9.034E-03
 1.000E+01, 2.803E+02, 1.416E+02, 1.281E+02, 9.084E+01, 6.890E+01, 4.000E+01, 2.465E+02, 2.123E+02, 1.982E+02, 1.662E+02, 1.164E+02, 3.766E+01, 5.086E+02, 4.182E+02, 3.330E+02, 3.451E+02, 5.555E+02, 4.985E+02, 6.537E+00, 2.894E+00, 1.208E+00, 1.653E+01,-1.800E-02,-1.125E-01,-2.151E-01,-3.006E-01,-1.395E-01, 1.950E-01, 2.406E-01, 3.362E-01, 6.183E-01, 1.333E+00, 1.083E-02,-4.967E-02,-1.372E-01,-2.254E-01,-1.364E-01, 4.780E-02, 5.354E-02, 3.038E-02,-2.599E-01,-1.200E+00, 5.308E-04, 9.079E-03,-5.961E-02, 1.347E-01,-2.598E-01
 2.000E+01, 4.051E+02, 2.622E+02, 2.446E+02, 1.935E+02, 1.000E+02, 3.153E+01, 3.802E+02, 3.431E+02, 3.276E+02, 2.726E+02, 1.647E+02, 3.836E+01, 7.192E+02, 5.843E+02, 5.467E+02, 5.223E+02, 4.573E+02, 5.208E+02, 8.748E+00, 5.654E+00, 1.806E+00, 1.474E+01,-6.191E-03,-1.053E-02,-3.508E-03,-2.542E-01,-4.414E-01, 3.638E-01, 3.376E-01, 2.936E-01, 6.316E-01, 2.000E+00, 1.222E-02, 1.161E-02, 1.971E-03,-1.661E-01,-3.473E-01, 3.768E-01, 3.511E-01, 2.972E-01,-4.260E-01,-1.811E+00, 2.037E-02, 8.971E-03,-1.463E-02, 3.253E-01, 4.334E-03
 3.000E+01, 4.111E+02, 2.648E+02, 2.369E+02, 1.687E+02, 7.290E+01, 3.160E+01, 3.860E+02, 3.456E+02, 3.278E+02, 2.504E+02, 1.085E+02, 3.854E+01, 7.802E+02, 5.865E+02, 5.962E+02, 5.626E+02, 5.376E+02, 5.948E+02, 8.679E+00, 6.169E+00, 1.920E+00, 1.389E+01,-4.828E-02,-4.547E-02,-5.217E-02,-3.201E-03,-4.802E-01, 3.546E-01, 3.219E-01, 2.498E-01, 5.517E-01, 2.009E+00,-1.272E-02,-1.771E-02,-2.333E-02,-2.761E-02,-3.466E-01, 3.696E-01, 3.359E-01, 2.544E-01,-4.225E-01,-1.825E+00, 2.745E-02, 1.773E-02,-1.749E-02, 2.856E-01,-9.134E-02
 4.000E+01, 4.095E+02, 2.991E+02, 2.729E+02, 1.869E+02, 9.717E+01, 3.295E+01, 3.805E+02, 3.507E+02, 3.350E+02, 2.713E+02, 1.457E+02, 4.112E+01, 7.264E+02, 5.736E+02, 5.384E+02, 5.015E+02, 6.584E+02, 6.936E+02, 9.126E+00, 5.925E+00, 1.947E+00, 1.506E+01,-4.546E-02,-1.604E-02,-3.530E-02,-1.120E-01,-4.054E-01, 3.627E-01, 3.234E-01, 2.459E-01, 5.660E-01, 2.057E+00,-2.049E-02,-1.331E-04,-1.208E-02,-9.297E-02,-3.081E-01, 3.745E-01, 3.370E-01, 2.475E-01,-3.932E-01,-1.872E+00, 5.719E-02, 9.609E-03,-1.249E-02, 3.172E-01,-8.666E-02
 5.000E+01, 4.215E+02, 2.529E+02, 2.362E+02, 1.862E+02, 1.026E+02, 3.343E+01, 3.870E+02, 3.609E+02, 3.505E+02, 2.903E+02, 1.491E+02, 4.290E+01, 7.174E+02, 5.612E+02, 5.626E+02, 5.093E+02, 5.595E+02, 5.952E+02, 9.437E+00, 5.921E+00, 1.996E+00, 1.503E+01,-6.484E-02,-3.966E-02, 1.251E-03, 1.350E-03,-2.898E-01, 3.714E-01, 3.446E-01, 2.609E-01, 6.055E-01, 2.108E+00,-2.109E-02,-1.744E-02, 1.986E-03, 2.234E-02,-2.291E-01, 3.825E-01, 3.551E-01, 2.623E-01,-3.523E-01,-1.937E+00, 4.893E-02, 6.846E-03,-1.808E-02, 3.594E-01,-1.400E-01
 6.000E+01, 4.311E+02, 2.751E+02, 2.512E+02, 1.794E+02, 8.272E+01, 3.259E+01, 3.806E+02, 3.570E+02, 3.460E+02, 3.000E+02, 1.740E+02, 4.515E+01, 6.930E+02, 5.735E+02, 5.330E+02, 4.969E+02, 6.428E+02, 6.556E+02, 9.397E+00, 5.679E+00, 2.005E+00, 1.649E+01,-8.951E-02,-1.869E-02, 3.660E-03,-2.812E-01,-4.519E-01, 3.985E-01, 3.603E-01, 2.749E-01, 7.440E-01, 2.095E+00,-3.856E-02, 1.295E-03, 9.212E-03,-2.013E-01,-3.459E-01, 4.107E-01, 3.753E-01, 2.765E-01,-4.710E-01,-1.898E+00, 2.819E-03,-1.420E-02,-3.625E-02, 3.410E-01,-2.626E-02
 7.000E+01, 4.054E+02, 2.834E+02, 2.660E+02, 1.974E+02, 9.057E+01, 3.302E+01, 3.958E+02, 3.706E+02, 3.550E+02, 2.840E+02, 1.400E+02, 4.374E+01, 6.935E+02, 5.887E+02, 5.244E+02, 5.114E+02, 7.270E+02, 7.023E+02, 9.918E+00, 5.833E+00, 2.090E+00, 1.631E+01,-3.769E-02,-3.002E-02,-3.373E-02, 2.429E-01,-3.909E-01, 3.900E-01, 3.400E-01, 2.521E-01, 6.104E-01, 2.119E+00,-1.091E-02,-1.582E-02,-5.428E-03, 1.682E-01,-3.050E-01, 4.006E-01, 3.454E-01, 2.429E-01,-4.540E-01,-1.934E+00, 3.692E-02,-3.696E-02,-2.182E-02, 3.611E-01,-5.545E-02
 8.000E+01, 4.208E+02, 2.821E+02, 2.617E+02, 1.961E+02, 9.225E+01, 3.339E+01, 3.805E+02, 3.580E+02, 3.496E+02, 2.999E+02, 1.991E+02, 4.232E+01, 6.568E+02, 5.469E+02, 5.023E+02, 4.956E+02, 5.734E+02, 5.972E+02, 1.003E+01, 5.785E+00, 2.055E+00, 1.572E+01, 5.906E-02, 3.132E-02,-2.310E-02,-3.629E-01,-4.461E-01, 3.953E-01, 3.600E-01, 2.582E-01, 7.384E-01, 2.127E+00, 4.790E-02, 3.561E-02,-8.845E-03,-2.474E-01,-3.404E-01, 3.943E-01, 3.714E-01, 2.584E-01,-5.076E-01,-1.928E+00, 9.451E-02,-3.657E-03,-2.880E-02, 3.502E-01,-1.096E-01
