s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.000E+00, 0.000E+00,-3.604E-04, 1.359E-09, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.604E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 1.520E+02,-7.093E+01,-3.769E+01,-1.234E+01, 1.011E+00, 0.000E+00, 0.000E+00, 3.187E+01, 3.205E+01, 0.000E+00, 3.027E-03, 0.000E+00
 2.000E+01, 1.599E+02,-8.761E+01,-6.050E+01,-1.128E+01, 1.040E+00, 0.000E+00, 0.000E+00, 1.732E+00, 1.582E+00, 0.000E+00, 3.031E-03, 0.000E+00
 3.000E+01, 1.671E+02,-8.830E+01,-6.941E+01,-9.222E+00, 1.073E+00, 0.000E+00, 0.000E+00, 1.383E+00, 1.211E+00, 0.000E+00, 3.223E-03, 0.000E+00
 4.000E+01, 1.980E+02,-1.072E+02,-8.188E+01,-7.565E+00, 1.343E+00, 0.000E+00, 0.000E+00, 2.886E+00, 2.738E+00, 0.000E+00, 3.918E-03, 0.000E+00
 5.000E+01, 2.447E+02,-1.321E+02,-1.038E+02,-5.195E+00, 1.783E+00, 0.000E+00, 0.000E+00, 5.684E+00, 5.428E+00, 0.000E+00, 4.942E-03, 0.000E+00
 6.000E+01, 2.943E+02,-1.513E+02,-1.402E+02,-2.059E+00, 2.411E+00, 0.000E+00, 0.000E+00, 3.439E+00, 3.193E+00, 0.000E+00, 6.105E-03, 0.000E+00
 7.000E+01, 3.445E+02,-1.738E+02,-1.717E+02, 7.979E-01, 3.251E+00, 0.000E+00, 0.000E+00, 3.412E+00, 3.054E+00, 0.000E+00, 7.372E-03, 0.000E+00
 8.000E+01, 4.120E+02,-2.015E+02,-2.151E+02, 4.176E+00, 4.417E+00, 0.000E+00, 0.000E+00, 4.420E+00, 4.030E+00, 0.000E+00, 8.857E-03, 0.000E+00
