s,kW/m2,kg/m2/s
Time,HRRPUA,MLRPUA
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E+001, 0.0000000E+000, 6.5618942E-010
 2.0000000E+001, 0.0000000E+000, 8.8986627E-008
 3.0000000E+001, 0.0000000E+000, 1.7714843E-006
 4.0000000E+001, 0.0000000E+000, 1.1415397E-005
 5.0000000E+001, 0.0000000E+000, 4.0309224E-005
 6.0000000E+001, 0.0000000E+000, 1.0959690E-004
 7.0000000E+001, 0.0000000E+000, 2.1903574E-004
 8.0000000E+001, 0.0000000E+000, 3.8886940E-004
 9.0000000E+001, 0.0000000E+000, 6.0243842E-004
 1.0000000E+002, 0.0000000E+000, 8.5046428E-004
 1.1000000E+002, 0.0000000E+000, 1.1295980E-003
 1.2000000E+002, 0.0000000E+000, 1.4483708E-003
 1.3000000E+002, 0.0000000E+000, 1.7084718E-003
 1.4000000E+002, 0.0000000E+000, 1.9002810E-003
 1.5000000E+002, 0.0000000E+000, 2.0836694E-003
 1.6000000E+002, 0.0000000E+000, 2.2816494E-003
 1.7000000E+002, 0.0000000E+000, 2.4572453E-003
 1.8000000E+002, 0.0000000E+000, 2.5483697E-003
 1.9000000E+002, 0.0000000E+000, 2.5857273E-003
 2.0000000E+002, 0.0000000E+000, 2.6077624E-003
 2.1000000E+002, 0.0000000E+000, 2.6483147E-003
 2.2000000E+002, 0.0000000E+000, 2.7113852E-003
 2.3000000E+002, 0.0000000E+000, 2.7611277E-003
 2.4000000E+002, 0.0000000E+000, 2.7711517E-003
 2.5000000E+002, 0.0000000E+000, 2.7437270E-003
 2.6000000E+002, 0.0000000E+000, 2.7027507E-003
 2.7000000E+002, 0.0000000E+000, 2.6231709E-003
 2.8000000E+002, 0.0000000E+000, 2.5806539E-003
 2.9000000E+002, 0.0000000E+000, 2.5699171E-003
 3.0000000E+002, 0.0000000E+000, 2.5824928E-003
 3.1000000E+002, 0.0000000E+000, 2.5993047E-003
 3.2000000E+002, 0.0000000E+000, 2.6034170E-003
 3.3000000E+002, 0.0000000E+000, 2.5915007E-003
 3.4000000E+002, 0.0000000E+000, 2.5391666E-003
 3.5000000E+002, 0.0000000E+000, 2.4656644E-003
 3.6000000E+002, 0.0000000E+000, 2.4133241E-003
 3.7000000E+002, 0.0000000E+000, 2.3700027E-003
 3.8000000E+002, 0.0000000E+000, 2.3374280E-003
 3.9000000E+002, 0.0000000E+000, 2.3189748E-003
 4.0000000E+002, 0.0000000E+000, 2.3163822E-003
 4.1000000E+002, 0.0000000E+000, 2.3224010E-003
 4.2000000E+002, 0.0000000E+000, 2.3039227E-003
 4.3000000E+002, 0.0000000E+000, 2.2999094E-003
 4.4000000E+002, 0.0000000E+000, 2.2967414E-003
 4.5000000E+002, 0.0000000E+000, 2.2887017E-003
 4.6000000E+002, 0.0000000E+000, 2.2738915E-003
 4.7000000E+002, 0.0000000E+000, 2.2526126E-003
 4.8000000E+002, 0.0000000E+000, 2.2189171E-003
 4.9000000E+002, 0.0000000E+000, 2.1686342E-003
