s,kW/m2,kg/m2/s
Time,HRRPUA,MLRPUA
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000429E+001, 1.8752522E-003, 1.4637083E-007
 2.0026197E+001, 3.9049276E-001, 2.9281865E-005
 3.0020933E+001, 5.9736727E+000, 4.4183781E-004
 4.0004673E+001, 3.0297898E+001, 2.2248328E-003
 5.0006556E+001, 7.6154835E+001, 5.5665348E-003
 6.0010098E+001, 1.0611594E+002, 7.7396540E-003
 7.0001463E+001, 1.0486094E+002, 7.6432151E-003
 8.0007772E+001, 9.7417420E+001, 7.0993601E-003
 9.0001112E+001, 9.0474756E+001, 6.5887635E-003
 1.0000352E+002, 8.3720501E+001, 6.1003539E-003
 1.1000910E+002, 7.9808145E+001, 5.8141370E-003
 1.2000795E+002, 7.4430036E+001, 5.4212893E-003
 1.3000981E+002, 7.2315496E+001, 5.2704115E-003
 1.4000126E+002, 7.1116886E+001, 5.1803943E-003
 1.5000234E+002, 6.7360062E+001, 4.9073748E-003
 1.6000504E+002, 6.4021139E+001, 4.6617878E-003
 1.7000124E+002, 6.3610345E+001, 4.6355454E-003
 1.8000324E+002, 6.3949704E+001, 4.6594471E-003
 1.9000637E+002, 6.1493723E+001, 4.4775008E-003
 2.0000387E+002, 5.8380467E+001, 4.2526221E-003
 2.1000532E+002, 5.5995102E+001, 4.0775398E-003
 2.2000688E+002, 5.4738795E+001, 3.9884864E-003
 2.3000874E+002, 5.5170218E+001, 4.0184026E-003
 2.4000541E+002, 5.3560660E+001, 3.9012500E-003
 2.5000594E+002, 5.2145255E+001, 3.7975690E-003
 2.6000721E+002, 5.2147565E+001, 3.7990261E-003
 2.7000499E+002, 5.3089150E+001, 3.8676257E-003
 2.8001078E+002, 5.3341814E+001, 3.8850892E-003
 2.9000891E+002, 5.3068063E+001, 3.8661375E-003
 3.0001066E+002, 5.1861725E+001, 3.7765285E-003
 3.1000751E+002, 5.0490353E+001, 3.6774989E-003
 3.2000647E+002, 4.8708275E+001, 3.5472150E-003
 3.3000051E+002, 4.7604644E+001, 3.4665781E-003
 3.4000576E+002, 4.6814994E+001, 3.4092231E-003
 3.5001027E+002, 4.6905227E+001, 3.4172724E-003
 3.6000276E+002, 4.7099945E+001, 3.4305066E-003
 3.7001266E+002, 4.7446537E+001, 3.4558375E-003
 3.8000402E+002, 4.7356169E+001, 3.4488215E-003
 3.9001037E+002, 4.7110523E+001, 3.4311785E-003
 4.0001029E+002, 4.6292955E+001, 3.3718727E-003
 4.1000124E+002, 4.5409016E+001, 3.3068552E-003
 4.2000681E+002, 4.4334533E+001, 3.2282203E-003
 4.3000727E+002, 4.3507681E+001, 3.1683741E-003
 4.4000457E+002, 4.2798568E+001, 3.1165863E-003
 4.5000498E+002, 4.2419833E+001, 3.0890502E-003
 4.6000320E+002, 4.2216471E+001, 3.0743837E-003
 4.7000723E+002, 4.2354514E+001, 3.0848494E-003
 4.8000745E+002, 4.2429510E+001, 3.0898395E-003
 4.9000845E+002, 4.2498372E+001, 3.0952976E-003
