s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PYROLYZATE,MLR_PRODUCTS,MLR_WATER VAPOR,MLR_CARBON DIOXIDE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E+001, 1.7648148E-010, 0.0000000E+000, 0.0000000E+000, 2.1180072E-002, 6.4519223E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1825265E-002,-6.3916298E-014, 5.2265277E-011, 6.9433673E-014, 1.0452196E-005, 0.0000000E+000
 2.0000000E+001, 5.5699698E-008, 0.0000000E+000, 0.0000000E+000, 3.2358410E-002, 1.4920881E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3850554E-002,-2.0197293E-011, 5.5910362E-009, 2.1940761E-011, 2.6862367E-005, 0.0000000E+000
 3.0000000E+001, 2.2097440E-006, 0.0000000E+000, 0.0000000E+000, 3.8096706E-002, 1.6281400E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9727055E-002,-8.0198047E-010, 1.0663225E-007, 8.7120892E-010, 2.4514608E-005, 0.0000000E+000
 4.0000000E+001, 2.5700941E-005, 0.0000000E+000, 0.0000000E+000, 4.2037864E-002, 1.6439979E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3707563E-002,-9.3337566E-009, 7.2815789E-007, 1.0139464E-008, 2.2245229E-005, 0.0000000E+000
 5.0000000E+001, 1.4851638E-004, 0.0000000E+000, 0.0000000E+000, 4.4976367E-002, 1.4768885E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6601771E-002,-5.3964329E-008, 2.7920126E-006, 5.8622631E-008, 2.0439604E-005, 0.0000000E+000
 6.0000000E+001, 5.5319571E-004, 0.0000000E+000, 0.0000000E+000, 4.7273297E-002, 1.0265673E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8853060E-002,-2.0109156E-007, 7.3998023E-006, 2.1845016E-007, 1.8985849E-005, 0.0000000E+000
 7.0000000E+001, 1.5069600E-003, 0.0000000E+000, 0.0000000E+000, 4.9117139E-002, 3.0234496E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0926444E-002,-5.4798312E-007, 1.4950937E-005, 5.9528605E-007, 1.7789325E-005, 0.0000000E+000
 8.0000000E+001, 3.2368554E-003, 0.0000000E+000, 0.0000000E+000, 5.0654472E-002,-5.4060416E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3350723E-002,-1.1773739E-006, 2.4508419E-005, 1.2790071E-006, 1.6795254E-005, 0.0000000E+000
 9.0000000E+001, 5.7822878E-003, 0.0000000E+000, 0.0000000E+000, 5.2000061E-002,-1.3294516E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6452897E-002,-2.1037842E-006, 3.4289273E-005, 2.2853868E-006, 1.5963382E-005, 0.0000000E+000
 1.0000000E+002, 8.9614110E-003, 0.0000000E+000, 0.0000000E+000, 5.3237185E-002,-1.9763917E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0222204E-002,-3.2612119E-006, 4.2823914E-005, 3.5427258E-006, 1.5266969E-005, 0.0000000E+000
 1.1000000E+002, 1.2465688E-002, 0.0000000E+000, 0.0000000E+000, 5.4412987E-002,-2.4715492E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4407126E-002,-4.5374928E-006, 4.9495682E-005, 4.9291776E-006, 1.4683352E-005, 0.0000000E+000
 1.2000000E+002, 1.5984697E-002, 0.0000000E+000, 0.0000000E+000, 5.5543443E-002,-2.8383749E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8689765E-002,-5.8196661E-006, 5.4318137E-005, 6.3220305E-006, 1.4190190E-005, 0.0000000E+000
 1.3000000E+002, 1.9286021E-002, 0.0000000E+000, 0.0000000E+000, 5.6625404E-002,-3.1040797E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2807346E-002,-7.0230708E-006, 5.7544025E-005, 7.6293154E-006, 1.3767223E-005, 0.0000000E+000
 1.4000000E+002, 2.2237422E-002, 0.0000000E+000, 0.0000000E+000, 5.7647100E-002,-3.2898937E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6594629E-002,-8.0994767E-006, 5.9448434E-005, 8.7986386E-006, 1.3397996E-005, 0.0000000E+000
 1.5000000E+002, 2.4797159E-002, 0.0000000E+000, 0.0000000E+000, 5.8598134E-002,-3.4135019E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.9981791E-002,-9.0335093E-006, 6.0314233E-005, 9.8132987E-006, 1.3069476E-005, 0.0000000E+000
 1.6000000E+002, 2.6983720E-002, 0.0000000E+000, 0.0000000E+000, 5.9473699E-002,-3.4900976E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2967321E-002,-9.8318408E-006, 6.0405404E-005, 1.0680544E-005, 1.2769689E-005, 0.0000000E+000
 1.7000000E+002, 2.8846896E-002, 0.0000000E+000, 0.0000000E+000, 6.0274534E-002,-3.5329793E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5588451E-002,-1.0512466E-005, 5.9968591E-005, 1.1419922E-005, 1.2491833E-005, 0.0000000E+000
 1.8000000E+002, 3.0443998E-002, 0.0000000E+000, 0.0000000E+000, 6.1005205E-002,-3.5525115E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.7896692E-002,-1.1096195E-005, 5.9197351E-005, 1.2054039E-005, 1.2231711E-005, 0.0000000E+000
 1.9000000E+002, 3.1828575E-002, 0.0000000E+000, 0.0000000E+000, 6.1672369E-002,-3.5566973E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9944246E-002,-1.1602498E-005, 5.8237289E-005, 1.2604047E-005, 1.1986453E-005, 0.0000000E+000
 2.0000000E+002, 3.3044100E-002, 0.0000000E+000, 0.0000000E+000, 6.2282928E-002,-3.5513478E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1775680E-002,-1.2047207E-005, 5.7190380E-005, 1.3087144E-005, 1.1754479E-005, 0.0000000E+000
 2.1000000E+002, 3.4125044E-002, 0.0000000E+000, 0.0000000E+000, 6.2843549E-002,-3.5398147E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3428778E-002,-1.2442814E-005, 5.6114095E-005, 1.3516901E-005, 1.1535332E-005, 0.0000000E+000
