s,kW
Time,HRR
 0.0000000E+000,-1.0000000E+002
 1.0001133E+001,-1.0932264E+001
 2.0001308E+001,-4.2201295E-001
 3.0000314E+001, 1.0384759E+000
 4.0000134E+001, 2.3285940E+000
 5.0000922E+001, 7.5690351E+000
 6.0000087E+001, 1.5602433E+001
 7.0000610E+001, 2.3051490E+001
 8.0000248E+001, 2.8815172E+001
 9.0000191E+001, 3.4059325E+001
 1.0000014E+002, 3.8401824E+001
 1.1000116E+002, 4.4221163E+001
 1.2000074E+002, 6.6193301E+001
 1.3000075E+002, 1.8482818E+002
 1.4000121E+002, 3.0363457E+002
 1.5000057E+002, 9.0237127E+002
 1.6000116E+002, 1.5631368E+003
 1.7000001E+002, 2.1782607E+003
 1.8000237E+002, 3.3621213E+003
 1.9000237E+002, 4.2259326E+003
 2.0000076E+002, 3.2846324E+003
 2.1000114E+002, 2.8626899E+003
 2.2000269E+002, 2.7931880E+003
 2.3000306E+002, 2.5503121E+003
 2.4000048E+002, 2.1793133E+003
 2.5000029E+002, 2.0859290E+003
 2.6000142E+002, 2.3562813E+003
 2.7000238E+002, 2.2278515E+003
 2.8000195E+002, 1.9153764E+003
 2.9000045E+002, 1.9674316E+003
 3.0000049E+002, 2.0727157E+003
 3.1000101E+002, 1.8492888E+003
 3.2000165E+002, 1.4753890E+003
 3.3000000E+002, 1.2783555E+003
