s,kW/m2,kg/m2/s
Time,"HRRPUA","MLRPUA"
 1.0500000E+003, 0.0000000E+000, 7.1930946E-003
 1.0600000E+003, 0.0000000E+000, 7.3524336E-003
 1.0700000E+003, 0.0000000E+000, 7.5043463E-003
 1.0800000E+003, 0.0000000E+000, 7.6471593E-003
 1.0900000E+003, 0.0000000E+000, 7.7801933E-003
 1.1000000E+003, 0.0000000E+000, 7.9025679E-003
 1.1100000E+003, 0.0000000E+000, 8.0145994E-003
 1.1200000E+003, 0.0000000E+000, 8.1176406E-003
 1.1300000E+003, 0.0000000E+000, 8.2135927E-003
 1.1400000E+003, 0.0000000E+000, 8.3044292E-003
 1.1500000E+003, 0.0000000E+000, 8.3898433E-003
 1.1600000E+003, 0.0000000E+000, 8.4678803E-003
 1.1700000E+003, 0.0000000E+000, 8.5362661E-003
 1.1800000E+003, 0.0000000E+000, 8.5942764E-003
 1.1900000E+003, 0.0000000E+000, 8.6414887E-003
 1.2000000E+003, 0.0000000E+000, 8.6773222E-003
 1.2100000E+003, 0.0000000E+000, 8.7012330E-003
 1.2200000E+003, 0.0000000E+000, 8.7136717E-003
 1.2300000E+003, 0.0000000E+000, 8.7138694E-003
 1.2400000E+003, 0.0000000E+000, 8.7018532E-003
 1.2500000E+003, 0.0000000E+000, 8.6767646E-003
 1.2600000E+003, 0.0000000E+000, 8.6378265E-003
 1.2700000E+003, 0.0000000E+000, 8.5839568E-003
 1.2800000E+003, 0.0000000E+000, 8.5140461E-003
 1.2900000E+003, 0.0000000E+000, 8.4258689E-003
 1.3000000E+003, 0.0000000E+000, 8.3169266E-003
 1.3100000E+003, 0.0000000E+000, 8.1840543E-003
 1.3200000E+003, 0.0000000E+000, 8.0229611E-003
 1.3300000E+003, 0.0000000E+000, 7.8276093E-003
 1.3400000E+003, 0.0000000E+000, 7.5902320E-003
 1.3500000E+003, 0.0000000E+000, 7.3018941E-003
 1.3600000E+003, 0.0000000E+000, 6.9504322E-003
 1.3700000E+003, 0.0000000E+000, 6.5231229E-003
 1.3800000E+003, 0.0000000E+000, 6.0060576E-003
 1.3900000E+003, 0.0000000E+000, 5.3920796E-003
 1.4000000E+003, 0.0000000E+000, 4.6853975E-003
 1.4100000E+003, 0.0000000E+000, 3.9129683E-003
 1.4200000E+003, 0.0000000E+000, 3.1282686E-003
 1.4300000E+003, 0.0000000E+000, 2.3985529E-003
 1.4400000E+003, 0.0000000E+000, 1.7789976E-003
 1.4500000E+003, 0.0000000E+000, 1.2928030E-003
 1.4600000E+003, 0.0000000E+000, 9.3231404E-004
 1.4700000E+003, 0.0000000E+000, 6.7440860E-004
 1.4800000E+003, 0.0000000E+000, 4.9190062E-004
 1.4900000E+003, 0.0000000E+000, 3.6426309E-004
 1.5000000E+003, 0.0000000E+000, 2.7385892E-004
 1.5100000E+003, 0.0000000E+000, 2.0906484E-004
 1.5200000E+003, 0.0000000E+000, 1.6200417E-004
 1.5300000E+003, 0.0000000E+000, 1.2732315E-004
 1.5400000E+003, 0.0000000E+000, 1.0139472E-004
 1.5500000E+003, 0.0000000E+000, 8.1747136E-005
 1.5600000E+003, 0.0000000E+000, 6.6657887E-005
 1.5700000E+003, 0.0000000E+000, 5.4923846E-005
 1.5800000E+003, 0.0000000E+000, 4.5693338E-005
 1.5900000E+003, 0.0000000E+000, 3.8351692E-005
 1.6000000E+003, 0.0000000E+000, 3.2450308E-005
 1.6100000E+003, 0.0000000E+000, 2.7667841E-005
 1.6200000E+003, 0.0000000E+000, 2.3755373E-005
 1.6300000E+003, 0.0000000E+000, 2.0527684E-005
 1.6400000E+003, 0.0000000E+000, 1.7845121E-005
 1.6500000E+003, 0.0000000E+000, 1.5599449E-005
 1.6600000E+003, 0.0000000E+000, 1.3707888E-005
 1.6700000E+003, 0.0000000E+000, 1.2105663E-005
 1.6800000E+003, 0.0000000E+000, 1.0739866E-005
 1.6900000E+003, 0.0000000E+000, 9.5694105E-006
 1.7000000E+003, 0.0000000E+000, 8.5612156E-006
 1.7100000E+003, 0.0000000E+000, 7.6894664E-006
 1.7200000E+003, 0.0000000E+000, 6.9304412E-006
 1.7300000E+003, 0.0000000E+000, 6.2690468E-006
 1.7400000E+003, 0.0000000E+000, 5.6882803E-006
 1.7500000E+003, 0.0000000E+000, 5.1783426E-006
 1.7600000E+003, 0.0000000E+000, 4.7267419E-006
 1.7700000E+003, 0.0000000E+000, 4.3271098E-006
 1.7800000E+003, 0.0000000E+000, 3.9716115E-006
 1.7900000E+003, 0.0000000E+000, 3.6539996E-006
 1.8000000E+003, 0.0000000E+000, 3.3706588E-006
