s,kW/m2,kg/m2/s
Time,"HRRPUA","MLRPUA"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0002520E+001, 1.7245205E-005, 1.2834013E-009
 2.0006387E+001, 9.3358553E-004, 6.8554828E-008
 3.0007942E+001, 1.6039811E-002, 1.1716583E-006
 4.0002866E+001, 1.1570604E-001, 8.4227578E-006
 5.0006279E+001, 4.9289057E-001, 3.5810636E-005
 6.0006854E+001, 1.5535801E+000, 1.1274813E-004
 7.0000479E+001, 4.1990649E+000, 3.0457409E-004
 8.0001422E+001, 1.4908991E+001, 1.0875238E-003
 9.0001741E+001, 8.4326102E+001, 6.1486512E-003
 1.0000227E+002, 2.0108703E+002, 1.4701595E-002
 1.1000133E+002, 2.5702447E+002, 1.8718356E-002
 1.2000014E+002, 1.9043104E+002, 1.3696907E-002
 1.3000030E+002, 1.1531410E+002, 8.3057242E-003
 1.4000014E+002, 8.3655465E+001, 6.0332142E-003
 1.5000087E+002, 7.3748976E+001, 5.3222661E-003
 1.6000065E+002, 7.4815813E+001, 5.4058755E-003
 1.7000074E+002, 8.3047336E+001, 5.9983008E-003
 1.8000166E+002, 9.4421496E+001, 6.8242143E-003
 1.9000258E+002, 1.0382213E+002, 7.4986399E-003
 2.0000154E+002, 1.0849769E+002, 7.8362588E-003
 2.1000170E+002, 1.0543129E+002, 7.6131102E-003
 2.2000195E+002, 9.8172089E+001, 7.0832099E-003
 2.3000066E+002, 9.0202352E+001, 6.5107748E-003
 2.4000293E+002, 8.3112103E+001, 5.9980509E-003
 2.5000251E+002, 7.7477685E+001, 5.5931754E-003
 2.6000029E+002, 7.3387291E+001, 5.2972636E-003
 2.7000294E+002, 7.0656222E+001, 5.1013054E-003
 2.8000288E+002, 6.8436872E+001, 4.9415250E-003
 2.9000086E+002, 6.7033727E+001, 4.8391677E-003
 3.0000244E+002, 6.6053589E+001, 4.7698144E-003
 3.1000146E+002, 6.5708279E+001, 4.7437702E-003
 3.2000356E+002, 6.5378152E+001, 4.7205014E-003
 3.3000253E+002, 6.5148603E+001, 4.7045331E-003
 3.4000236E+002, 6.5091211E+001, 4.6999479E-003
 3.5000293E+002, 6.4864985E+001, 4.6829129E-003
 3.6000146E+002, 6.4765260E+001, 4.6763824E-003
 3.7000105E+002, 6.4588466E+001, 4.6636189E-003
 3.8000147E+002, 6.4307251E+001, 4.6434830E-003
 3.9000298E+002, 6.3981062E+001, 4.6190435E-003
 4.0000078E+002, 6.3468453E+001, 4.5822295E-003
 4.1000369E+002, 6.2806590E+001, 4.5353020E-003
 4.2000048E+002, 6.2185328E+001, 4.4899685E-003
 4.3000091E+002, 6.1589723E+001, 4.4472394E-003
 4.4000183E+002, 6.0932068E+001, 4.3991365E-003
 4.5000050E+002, 6.0420888E+001, 4.3624279E-003
 4.6000029E+002, 5.9964537E+001, 4.3296534E-003
 4.7000368E+002, 5.9487133E+001, 4.2947659E-003
 4.8000185E+002, 5.8911051E+001, 4.2530708E-003
 4.9000058E+002, 5.8495121E+001, 4.2236792E-003
