s,kW/m2,kg/m2/s
Time,HRRPUA,MLRPUA
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E+001, 0.0000000E+000, 3.3640348E-006
 2.0000000E+001, 0.0000000E+000, 8.7533178E-004
 3.0000000E+001, 0.0000000E+000, 8.2742285E-003
 4.0000000E+001, 0.0000000E+000, 1.2084396E-002
 5.0000000E+001, 0.0000000E+000, 1.1202228E-002
 6.0000000E+001, 0.0000000E+000, 1.0431479E-002
 7.0000000E+001, 0.0000000E+000, 9.4100117E-003
 8.0000000E+001, 0.0000000E+000, 9.4800100E-003
 9.0000000E+001, 0.0000000E+000, 9.3810249E-003
 1.0000000E+002, 0.0000000E+000, 8.4003453E-003
 1.1000000E+002, 0.0000000E+000, 7.9642241E-003
 1.2000000E+002, 0.0000000E+000, 8.0987038E-003
 1.3000000E+002, 0.0000000E+000, 7.8398352E-003
 1.4000000E+002, 0.0000000E+000, 7.1983004E-003
 1.5000000E+002, 0.0000000E+000, 6.7232792E-003
 1.6000000E+002, 0.0000000E+000, 6.6709845E-003
 1.7000000E+002, 0.0000000E+000, 6.8635784E-003
 1.8000000E+002, 0.0000000E+000, 6.7778919E-003
 1.9000000E+002, 0.0000000E+000, 6.4028779E-003
 2.0000000E+002, 0.0000000E+000, 6.0196531E-003
 2.1000000E+002, 0.0000000E+000, 5.7561275E-003
 2.2000000E+002, 0.0000000E+000, 5.5632446E-003
 2.3000000E+002, 0.0000000E+000, 5.7186451E-003
 2.4000000E+002, 0.0000000E+000, 5.8105924E-003
 2.5000000E+002, 0.0000000E+000, 5.8362410E-003
 2.6000000E+002, 0.0000000E+000, 5.6719721E-003
 2.7000000E+002, 0.0000000E+000, 5.4058881E-003
 2.8000000E+002, 0.0000000E+000, 5.0998708E-003
 2.9000000E+002, 0.0000000E+000, 4.9379746E-003
 3.0000000E+002, 0.0000000E+000, 4.8359115E-003
 3.1000000E+002, 0.0000000E+000, 4.7455264E-003
 3.2000000E+002, 0.0000000E+000, 4.8438050E-003
 3.3000000E+002, 0.0000000E+000, 4.9691265E-003
 3.4000000E+002, 0.0000000E+000, 4.9726173E-003
 3.5000000E+002, 0.0000000E+000, 4.9936299E-003
 3.6000000E+002, 0.0000000E+000, 4.8591594E-003
 3.7000000E+002, 0.0000000E+000, 4.6769634E-003
 3.8000000E+002, 0.0000000E+000, 4.5470416E-003
 3.9000000E+002, 0.0000000E+000, 4.4037051E-003
 4.0000000E+002, 0.0000000E+000, 4.3134249E-003
 4.1000000E+002, 0.0000000E+000, 4.2315575E-003
 4.2000000E+002, 0.0000000E+000, 4.2492442E-003
 4.3000000E+002, 0.0000000E+000, 4.3662532E-003
 4.4000000E+002, 0.0000000E+000, 4.4468643E-003
 4.5000000E+002, 0.0000000E+000, 4.4312237E-003
 4.6000000E+002, 0.0000000E+000, 4.4850298E-003
 4.7000000E+002, 0.0000000E+000, 4.4328096E-003
 4.8000000E+002, 0.0000000E+000, 4.1982334E-003
 4.9000000E+002, 0.0000000E+000, 4.2921547E-003
