s,kW/m2,kg/m2/s
Time,HRRPUA,MLRPUA
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0018150E+001, 9.2730516E-002, 7.1891508E-006
 2.0004585E+001, 2.2128191E+001, 1.6393795E-003
 3.0001360E+001, 2.1503574E+002, 1.5676015E-002
 4.0004370E+001, 2.4299823E+002, 1.7580747E-002
 5.0002382E+001, 2.0213134E+002, 1.4626745E-002
 6.0004515E+001, 1.8472401E+002, 1.3376508E-002
 7.0002322E+001, 1.6601644E+002, 1.2012872E-002
 8.0001806E+001, 1.5863744E+002, 1.1485522E-002
 9.0007521E+001, 1.4465795E+002, 1.0471002E-002
 1.0000683E+002, 1.4174119E+002, 1.0258520E-002
 1.1000136E+002, 1.3477116E+002, 9.7545760E-003
 1.2000384E+002, 1.2509301E+002, 9.0527864E-003
 1.3000345E+002, 1.2334132E+002, 8.9312259E-003
 1.4000440E+002, 1.2153591E+002, 8.7948174E-003
 1.5000858E+002, 1.1450546E+002, 8.2852814E-003
 1.6000358E+002, 1.0933306E+002, 7.9115284E-003
 1.7000964E+002, 1.0878600E+002, 7.8746030E-003
 1.8000681E+002, 1.0918705E+002, 7.9016526E-003
 1.9000569E+002, 1.0582775E+002, 7.6565526E-003
 2.0000592E+002, 1.0030896E+002, 7.2573797E-003
 2.1000808E+002, 9.5701333E+001, 6.9241404E-003
 2.2000347E+002, 9.4696235E+001, 6.8534135E-003
 2.3000147E+002, 9.5687496E+001, 6.9248848E-003
 2.4000823E+002, 9.5260313E+001, 6.8943977E-003
 2.5000450E+002, 9.1364060E+001, 6.6100782E-003
 2.6000634E+002, 8.7907958E+001, 6.3596818E-003
 2.7000964E+002, 8.7449622E+001, 6.3281379E-003
 2.8000286E+002, 8.7431522E+001, 6.3268599E-003
 2.9000878E+002, 8.6416013E+001, 6.2520650E-003
 3.0000784E+002, 8.4256840E+001, 6.0955518E-003
 3.1000083E+002, 8.2030589E+001, 5.9342361E-003
 3.2000051E+002, 8.0610825E+001, 5.8332957E-003
 3.3000729E+002, 8.0587762E+001, 5.8318302E-003
 3.4000144E+002, 8.1269420E+001, 5.8792886E-003
 3.5001158E+002, 8.2651523E+001, 5.9817811E-003
 3.6000453E+002, 8.2419464E+001, 5.9635213E-003
 3.7000186E+002, 8.1514909E+001, 5.8974784E-003
 3.8000193E+002, 7.9750366E+001, 5.7704413E-003
 3.9000229E+002, 7.7662072E+001, 5.6179629E-003
 4.0000624E+002, 7.6525519E+001, 5.5358368E-003
 4.1000943E+002, 7.5711691E+001, 5.4764884E-003
 4.2000101E+002, 7.5651079E+001, 5.4744093E-003
 4.3001033E+002, 7.6043588E+001, 5.5025157E-003
 4.4000150E+002, 7.6127072E+001, 5.5082858E-003
 4.5000928E+002, 7.6367628E+001, 5.5243418E-003
 4.6000778E+002, 7.5783900E+001, 5.4833148E-003
 4.7000751E+002, 7.5362607E+001, 5.4517486E-003
 4.8000524E+002, 7.4539839E+001, 5.3917260E-003
 4.9000138E+002, 7.4051519E+001, 5.3581785E-003
