s,kW
Time,HRR
 0.0000000E+000,-1.0000000E+002
 1.0000239E+001,-1.2146984E+001
 2.0000544E+001,-2.5276046E-001
 3.0000982E+001, 4.9975242E-001
 4.0000734E+001,-2.7953785E-001
 5.0001265E+001, 1.0246766E+000
 6.0000037E+001, 2.7688799E+000
 7.0000499E+001, 7.1225861E+000
 8.0000776E+001, 1.1265600E+001
 9.0000089E+001, 1.7223409E+001
 1.0000109E+002, 2.2349071E+001
 1.1000037E+002, 2.7206735E+001
 1.2000052E+002, 3.4688050E+001
 1.3000126E+002, 4.3558341E+001
 1.4000150E+002, 4.9610952E+001
 1.5000117E+002, 9.6779372E+001
 1.6000095E+002, 2.9157370E+002
 1.7000119E+002, 6.6501493E+002
 1.8000079E+002, 1.4764573E+003
 1.9000172E+002, 2.4600644E+003
 2.0000172E+002, 4.0514372E+003
 2.1000128E+002, 3.9773407E+003
 2.2000052E+002, 4.0195896E+003
 2.3000256E+002, 4.0510136E+003
 2.4000000E+002, 4.0368702E+003
