s,kW/m2,kg/m2/s
Time,HRRPUA,MLRPUA
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0022593E+001, 4.7679705E-001, 3.7101660E-005
 2.0004851E+001, 6.6343282E+001, 4.9195629E-003
 3.0003340E+001, 2.1112512E+002, 1.5392195E-002
 4.0002836E+001, 1.6013429E+002, 1.1672015E-002
 5.0005901E+001, 1.4004720E+002, 1.0207856E-002
 6.0003790E+001, 1.2768945E+002, 9.3055822E-003
 7.0002880E+001, 1.1914445E+002, 8.6866756E-003
 8.0001271E+001, 1.0923862E+002, 7.9592311E-003
 9.0007031E+001, 1.0519427E+002, 7.6686223E-003
 1.0000287E+002, 9.9694864E+001, 7.2631875E-003
 1.1000604E+002, 9.2063691E+001, 6.7096980E-003
 1.2000643E+002, 9.3289320E+001, 6.7993120E-003
 1.3000455E+002, 8.9511108E+001, 6.5220199E-003
 1.4000122E+002, 8.3071750E+001, 6.0525397E-003
 1.5000522E+002, 8.1366768E+001, 5.9309861E-003
 1.6000261E+002, 8.2895533E+001, 6.0406613E-003
 1.7000636E+002, 8.0853918E+001, 5.8911608E-003
 1.8000571E+002, 7.6207811E+001, 5.5530220E-003
 1.9000053E+002, 7.2550796E+001, 5.2845557E-003
 2.0000122E+002, 7.1649106E+001, 5.2215515E-003
 2.1000740E+002, 7.2501745E+001, 5.2841379E-003
 2.2000227E+002, 7.2504648E+001, 5.2832436E-003
 2.3000390E+002, 7.0831610E+001, 5.1597960E-003
 2.4000084E+002, 6.8326131E+001, 4.9781718E-003
 2.5001198E+002, 6.5991317E+001, 4.8078258E-003
 2.6000668E+002, 6.4129087E+001, 4.6707405E-003
 2.7000433E+002, 6.3005120E+001, 4.5902353E-003
 2.8000889E+002, 6.2872651E+001, 4.5816463E-003
 2.9000072E+002, 6.2877684E+001, 4.5820157E-003
 3.0000346E+002, 6.2469587E+001, 4.5502785E-003
 3.1000226E+002, 6.1627208E+001, 4.4901532E-003
 3.2000408E+002, 6.0594806E+001, 4.4144313E-003
 3.3000152E+002, 5.9700099E+001, 4.3494164E-003
 3.4000758E+002, 5.8917024E+001, 4.2919196E-003
 3.5001226E+002, 5.7635147E+001, 4.1991249E-003
 3.6000477E+002, 5.6470155E+001, 4.1131935E-003
 3.7000504E+002, 5.8773700E+001, 4.2822458E-003
 3.8001188E+002, 5.6850788E+001, 4.1409401E-003
 3.9000496E+002, 5.7166894E+001, 4.1647176E-003
 4.0000208E+002, 5.6977686E+001, 4.1509471E-003
 4.1000610E+002, 5.6804731E+001, 4.1378348E-003
 4.2000341E+002, 5.6490931E+001, 4.1156893E-003
 4.3000898E+002, 5.5933202E+001, 4.0746768E-003
 4.4000858E+002, 5.4841462E+001, 3.9946997E-003
 4.5000470E+002, 5.3525257E+001, 3.8993352E-003
 4.6000268E+002, 5.2472377E+001, 3.8220164E-003
 4.7000235E+002, 5.1830773E+001, 3.7747349E-003
 4.8001136E+002, 5.1673070E+001, 3.7648971E-003
 4.9000806E+002, 5.2062577E+001, 3.7923289E-003
