s,kW/m2,kg/m2/s
Time,"HRRPUA","MLRPUA"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000233E+001, 1.7382700E-005, 1.3406407E-009
 2.0021010E+001, 2.1852485E-003, 1.6415542E-007
 3.0027398E+001, 3.8577363E-002, 2.8610012E-006
 4.0031771E+001, 2.4105109E-001, 1.7768085E-005
 5.0017698E+001, 8.7221289E-001, 6.4056002E-005
 6.0014152E+001, 2.3493749E+000, 1.7215544E-004
 7.0022584E+001, 5.2915922E+000, 3.8728075E-004
 8.0004125E+001, 1.0526993E+001, 7.6993278E-004
 9.0010741E+001, 2.0207889E+001, 1.4774752E-003
 1.0001511E+002, 3.7841125E+001, 2.7687497E-003
 1.1000884E+002, 9.1694845E+001, 6.7077554E-003
 1.2000958E+002, 1.0530661E+002, 7.6644953E-003
 1.3000014E+002, 7.3756211E+001, 5.3637398E-003
 1.4000694E+002, 6.1186805E+001, 4.4543674E-003
 1.5000896E+002, 5.5219418E+001, 4.0203352E-003
 1.6001368E+002, 5.1986314E+001, 3.7856407E-003
 1.7000600E+002, 5.1446910E+001, 3.7465065E-003
 1.8000217E+002, 5.1990370E+001, 3.7871165E-003
 1.9000392E+002, 5.0933389E+001, 3.7088122E-003
 2.0001019E+002, 4.9870941E+001, 3.6318892E-003
 2.1000219E+002, 4.8504833E+001, 3.5316853E-003
 2.2001157E+002, 4.7816268E+001, 3.4827059E-003
 2.3000834E+002, 4.7240707E+001, 3.4396471E-003
 2.4000603E+002, 4.5969923E+001, 3.3469196E-003
 2.5000144E+002, 4.4478218E+001, 3.2384051E-003
 2.6001123E+002, 4.3080281E+001, 3.1367392E-003
 2.7000337E+002, 4.2413557E+001, 3.0885598E-003
 2.8001166E+002, 4.2279270E+001, 3.0784107E-003
 2.9001508E+002, 4.2163029E+001, 3.0701845E-003
 3.0001370E+002, 4.1564681E+001, 3.0261326E-003
 3.1000453E+002, 4.0668052E+001, 2.9614011E-003
 3.2001129E+002, 3.9782923E+001, 2.8959937E-003
 3.3001272E+002, 3.8918734E+001, 2.8335990E-003
 3.4000258E+002, 3.8213777E+001, 2.7820638E-003
 3.5000573E+002, 3.7561724E+001, 2.7346110E-003
 3.6000288E+002, 3.7347583E+001, 2.7194246E-003
 3.7000024E+002, 3.7255579E+001, 2.7123315E-003
 3.8000685E+002, 3.7136615E+001, 2.7036445E-003
 3.9001518E+002, 3.6969114E+001, 2.6921221E-003
 4.0000173E+002, 3.6560295E+001, 2.6614484E-003
 4.1000524E+002, 3.6147346E+001, 2.6317745E-003
 4.2000998E+002, 3.5536502E+001, 2.5867259E-003
 4.3000800E+002, 3.4993891E+001, 2.5475496E-003
 4.4001026E+002, 3.4278931E+001, 2.4951947E-003
 4.5000113E+002, 3.3881983E+001, 2.4665002E-003
 4.6000434E+002, 3.3472006E+001, 2.4366647E-003
 4.7001622E+002, 3.3103183E+001, 2.4095860E-003
 4.8001562E+002, 3.2791853E+001, 2.3870944E-003
 4.9000036E+002, 3.2686693E+001, 2.3793864E-003
