s,kW/m2,kg/m2/s
Time,"HRRPUA","MLRPUA"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E+001, 0.0000000E+000, 1.3205820E-008
 2.0000000E+001, 0.0000000E+000, 4.2805709E-006
 3.0000000E+001, 0.0000000E+000, 9.1364797E-005
 4.0000000E+001, 0.0000000E+000, 5.9138529E-004
 5.0000000E+001, 0.0000000E+000, 2.0269424E-003
 6.0000000E+001, 0.0000000E+000, 3.8179753E-003
 7.0000000E+001, 0.0000000E+000, 5.4028005E-003
 8.0000000E+001, 0.0000000E+000, 5.6898624E-003
 9.0000000E+001, 0.0000000E+000, 6.0481476E-003
 1.0000000E+002, 0.0000000E+000, 6.0249252E-003
 1.1000000E+002, 0.0000000E+000, 5.6990916E-003
 1.2000000E+002, 0.0000000E+000, 5.7313356E-003
 1.3000000E+002, 0.0000000E+000, 5.8120877E-003
 1.4000000E+002, 0.0000000E+000, 5.5710037E-003
 1.5000000E+002, 0.0000000E+000, 5.2632556E-003
 1.6000000E+002, 0.0000000E+000, 5.1493494E-003
 1.7000000E+002, 0.0000000E+000, 5.2208323E-003
 1.8000000E+002, 0.0000000E+000, 5.2094557E-003
 1.9000000E+002, 0.0000000E+000, 5.0360631E-003
 2.0000000E+002, 0.0000000E+000, 4.7955054E-003
 2.1000000E+002, 0.0000000E+000, 4.5907518E-003
 2.2000000E+002, 0.0000000E+000, 4.5034003E-003
 2.3000000E+002, 0.0000000E+000, 4.5299456E-003
 2.4000000E+002, 0.0000000E+000, 4.5717420E-003
 2.5000000E+002, 0.0000000E+000, 4.5437303E-003
 2.6000000E+002, 0.0000000E+000, 4.4381334E-003
 2.7000000E+002, 0.0000000E+000, 4.2851212E-003
 2.8000000E+002, 0.0000000E+000, 4.1212021E-003
 2.9000000E+002, 0.0000000E+000, 3.9810056E-003
 3.0000000E+002, 0.0000000E+000, 3.8972575E-003
 3.1000000E+002, 0.0000000E+000, 3.8853217E-003
 3.2000000E+002, 0.0000000E+000, 3.9185263E-003
 3.3000000E+002, 0.0000000E+000, 3.9538352E-003
 3.4000000E+002, 0.0000000E+000, 3.9641390E-003
 3.5000000E+002, 0.0000000E+000, 3.9333259E-003
 3.6000000E+002, 0.0000000E+000, 3.8647728E-003
 3.7000000E+002, 0.0000000E+000, 3.7688904E-003
 3.8000000E+002, 0.0000000E+000, 3.6590260E-003
 3.9000000E+002, 0.0000000E+000, 3.5487091E-003
 4.0000000E+002, 0.0000000E+000, 3.4509023E-003
 4.1000000E+002, 0.0000000E+000, 3.3781892E-003
 4.2000000E+002, 0.0000000E+000, 3.3399166E-003
 4.3000000E+002, 0.0000000E+000, 3.3358792E-003
 4.4000000E+002, 0.0000000E+000, 3.3542967E-003
 4.5000000E+002, 0.0000000E+000, 3.3770585E-003
 4.6000000E+002, 0.0000000E+000, 3.3915440E-003
 4.7000000E+002, 0.0000000E+000, 3.3955973E-003
 4.8000000E+002, 0.0000000E+000, 3.3851698E-003
 4.9000000E+002, 0.0000000E+000, 3.3600693E-003
