s,kW/m2,kg/m2/s
Time,HRRPUA,MLRPUA
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E+001, 0.0000000E+000, 9.2590267E-008
 2.0000000E+001, 0.0000000E+000, 2.0756511E-005
 3.0000000E+001, 0.0000000E+000, 3.0902381E-004
 4.0000000E+001, 0.0000000E+000, 1.4085161E-003
 5.0000000E+001, 0.0000000E+000, 3.1606022E-003
 6.0000000E+001, 0.0000000E+000, 4.6546038E-003
 7.0000000E+001, 0.0000000E+000, 5.4731553E-003
 8.0000000E+001, 0.0000000E+000, 5.9400216E-003
 9.0000000E+001, 0.0000000E+000, 5.7966494E-003
 1.0000000E+002, 0.0000000E+000, 5.7706900E-003
 1.1000000E+002, 0.0000000E+000, 5.5598340E-003
 1.2000000E+002, 0.0000000E+000, 5.1639989E-003
 1.3000000E+002, 0.0000000E+000, 5.0935322E-003
 1.4000000E+002, 0.0000000E+000, 5.0387377E-003
 1.5000000E+002, 0.0000000E+000, 4.7741578E-003
 1.6000000E+002, 0.0000000E+000, 4.5135367E-003
 1.7000000E+002, 0.0000000E+000, 4.4124663E-003
 1.8000000E+002, 0.0000000E+000, 4.4521654E-003
 1.9000000E+002, 0.0000000E+000, 4.4193092E-003
 2.0000000E+002, 0.0000000E+000, 4.2183713E-003
 2.1000000E+002, 0.0000000E+000, 4.0068504E-003
 2.2000000E+002, 0.0000000E+000, 3.9034497E-003
 2.3000000E+002, 0.0000000E+000, 3.8755108E-003
 2.4000000E+002, 0.0000000E+000, 3.9046933E-003
 2.5000000E+002, 0.0000000E+000, 3.9357158E-003
 2.6000000E+002, 0.0000000E+000, 3.8644769E-003
 2.7000000E+002, 0.0000000E+000, 3.7428010E-003
 2.8000000E+002, 0.0000000E+000, 3.6379495E-003
 2.9000000E+002, 0.0000000E+000, 3.4958750E-003
 3.0000000E+002, 0.0000000E+000, 3.4057410E-003
 3.1000000E+002, 0.0000000E+000, 3.4044062E-003
 3.2000000E+002, 0.0000000E+000, 3.4236828E-003
 3.3000000E+002, 0.0000000E+000, 3.4666260E-003
 3.4000000E+002, 0.0000000E+000, 3.4845666E-003
 3.5000000E+002, 0.0000000E+000, 3.4500503E-003
 3.6000000E+002, 0.0000000E+000, 3.4151320E-003
 3.7000000E+002, 0.0000000E+000, 3.3290494E-003
 3.8000000E+002, 0.0000000E+000, 3.2325535E-003
 3.9000000E+002, 0.0000000E+000, 3.1527402E-003
 4.0000000E+002, 0.0000000E+000, 3.0617787E-003
 4.1000000E+002, 0.0000000E+000, 3.0047906E-003
 4.2000000E+002, 0.0000000E+000, 2.9830430E-003
 4.3000000E+002, 0.0000000E+000, 2.9807824E-003
 4.4000000E+002, 0.0000000E+000, 3.0219237E-003
 4.5000000E+002, 0.0000000E+000, 3.0406547E-003
 4.6000000E+002, 0.0000000E+000, 3.0564011E-003
 4.7000000E+002, 0.0000000E+000, 3.0610491E-003
 4.8000000E+002, 0.0000000E+000, 3.0355566E-003
 4.9000000E+002, 0.0000000E+000, 3.0201617E-003
