s,kW/m2,kg/m2/s
Time,HRRPUA,MLRPUA
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0029029E+001, 5.1925088E-004, 3.9940582E-008
 2.0018608E+001, 1.0385615E-001, 7.7506787E-006
 3.0024085E+001, 1.9976984E+000, 1.4712986E-004
 4.0003535E+001, 1.3378240E+001, 9.7814138E-004
 5.0002773E+001, 4.8168399E+001, 3.5054221E-003
 6.0000595E+001, 1.0132193E+002, 7.3498290E-003
 7.0004608E+001, 1.4103354E+002, 1.0215660E-002
 8.0004296E+001, 1.4108320E+002, 1.0208053E-002
 9.0007010E+001, 1.2753698E+002, 9.2294530E-003
 1.0000284E+002, 1.2115744E+002, 8.7687594E-003
 1.1000204E+002, 1.1527701E+002, 8.3400056E-003
 1.2000492E+002, 1.0840224E+002, 7.8420335E-003
 1.3000680E+002, 1.0614935E+002, 7.6815077E-003
 1.4000601E+002, 1.0136446E+002, 7.3320998E-003
 1.5000646E+002, 9.5366106E+001, 6.8986376E-003
 1.6000974E+002, 9.2501072E+001, 6.6943732E-003
 1.7000506E+002, 9.1458713E+001, 6.6170913E-003
 1.8000288E+002, 8.9697845E+001, 6.4875756E-003
 1.9000990E+002, 8.6802556E+001, 6.2800390E-003
 2.0000150E+002, 8.3141606E+001, 6.0149020E-003
 2.1000866E+002, 8.1273797E+001, 5.8795007E-003
 2.2000827E+002, 8.0963527E+001, 5.8578087E-003
 2.3000569E+002, 8.0084265E+001, 5.7933251E-003
 2.4000506E+002, 7.8524900E+001, 5.6803989E-003
 2.5000029E+002, 7.5888829E+001, 5.4891547E-003
 2.6000278E+002, 7.3539390E+001, 5.3194599E-003
 2.7000293E+002, 7.2340815E+001, 5.2335844E-003
 2.8000842E+002, 7.1735433E+001, 5.1883887E-003
 2.9000106E+002, 7.1488749E+001, 5.1716400E-003
 3.0001075E+002, 7.1513349E+001, 5.1735511E-003
 3.1000269E+002, 7.0651444E+001, 5.1103465E-003
 3.2000114E+002, 6.8905100E+001, 4.9847230E-003
 3.3000136E+002, 6.7696538E+001, 4.8952606E-003
 3.4000639E+002, 6.6230758E+001, 4.7907836E-003
 3.5000159E+002, 6.4720004E+001, 4.6797884E-003
 3.6000316E+002, 6.3695981E+001, 4.6078275E-003
 3.7000417E+002, 6.3131745E+001, 4.5662229E-003
 3.8000916E+002, 6.2334440E+001, 4.5086354E-003
 3.9000202E+002, 6.3075245E+001, 4.5618896E-003
 4.0001067E+002, 6.2697739E+001, 4.5352317E-003
 4.1000045E+002, 6.1649523E+001, 4.4577933E-003
 4.2000592E+002, 6.1244579E+001, 4.4296247E-003
 4.3000267E+002, 6.1288503E+001, 4.4322998E-003
 4.4000979E+002, 6.1275656E+001, 4.4323416E-003
 4.5001082E+002, 6.0928980E+001, 4.4067397E-003
 4.6000082E+002, 6.1182729E+001, 4.4247995E-003
 4.7000138E+002, 6.0746749E+001, 4.3928392E-003
 4.8000348E+002, 6.0030976E+001, 4.3411200E-003
 4.9000546E+002, 5.9816488E+001, 4.3271112E-003
