s,kW/m2,kg/m2/s
Time,"HRRPUA","MLRPUA"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E+001, 0.0000000E+000, 5.9225509E-008
 2.0000000E+001, 0.0000000E+000, 1.6687787E-005
 3.0000000E+001, 0.0000000E+000, 2.6694589E-004
 4.0000000E+001, 0.0000000E+000, 1.2688453E-003
 5.0000000E+001, 0.0000000E+000, 2.8828766E-003
 6.0000000E+001, 0.0000000E+000, 4.0643888E-003
 7.0000000E+001, 0.0000000E+000, 4.3747980E-003
 8.0000000E+001, 0.0000000E+000, 4.3414760E-003
 9.0000000E+001, 0.0000000E+000, 4.4640168E-003
 1.0000000E+002, 0.0000000E+000, 4.2071164E-003
 1.1000000E+002, 0.0000000E+000, 3.9916754E-003
 1.2000000E+002, 0.0000000E+000, 4.0486085E-003
 1.3000000E+002, 0.0000000E+000, 4.0054655E-003
 1.4000000E+002, 0.0000000E+000, 3.7872929E-003
 1.5000000E+002, 0.0000000E+000, 3.5642990E-003
 1.6000000E+002, 0.0000000E+000, 3.4884901E-003
 1.7000000E+002, 0.0000000E+000, 3.5294264E-003
 1.8000000E+002, 0.0000000E+000, 3.5156942E-003
 1.9000000E+002, 0.0000000E+000, 3.4076816E-003
 2.0000000E+002, 0.0000000E+000, 3.2515167E-003
 2.1000000E+002, 0.0000000E+000, 3.1026516E-003
 2.2000000E+002, 0.0000000E+000, 3.0078421E-003
 2.3000000E+002, 0.0000000E+000, 2.9915223E-003
 2.4000000E+002, 0.0000000E+000, 3.0195992E-003
 2.5000000E+002, 0.0000000E+000, 3.0268993E-003
 2.6000000E+002, 0.0000000E+000, 2.9899570E-003
 2.7000000E+002, 0.0000000E+000, 2.9155570E-003
 2.8000000E+002, 0.0000000E+000, 2.8209642E-003
 2.9000000E+002, 0.0000000E+000, 2.7235823E-003
 3.0000000E+002, 0.0000000E+000, 2.6387706E-003
 3.1000000E+002, 0.0000000E+000, 2.5797669E-003
 3.2000000E+002, 0.0000000E+000, 2.5554847E-003
 3.3000000E+002, 0.0000000E+000, 2.5590792E-003
 3.4000000E+002, 0.0000000E+000, 2.5756203E-003
 3.5000000E+002, 0.0000000E+000, 2.5862879E-003
 3.6000000E+002, 0.0000000E+000, 2.5792136E-003
 3.7000000E+002, 0.0000000E+000, 2.5528502E-003
 3.8000000E+002, 0.0000000E+000, 2.5103960E-003
 3.9000000E+002, 0.0000000E+000, 2.4570986E-003
 4.0000000E+002, 0.0000000E+000, 2.3985209E-003
 4.1000000E+002, 0.0000000E+000, 2.3396292E-003
 4.2000000E+002, 0.0000000E+000, 2.2846012E-003
 4.3000000E+002, 0.0000000E+000, 2.2378483E-003
 4.4000000E+002, 0.0000000E+000, 2.2033866E-003
 4.5000000E+002, 0.0000000E+000, 2.1832789E-003
 4.6000000E+002, 0.0000000E+000, 2.1764531E-003
 4.7000000E+002, 0.0000000E+000, 2.1778801E-003
 4.8000000E+002, 0.0000000E+000, 2.1809805E-003
 4.9000000E+002, 0.0000000E+000, 2.1817515E-003
