s,kW/m2,kg/m2/s
Time,HRRPUA,MLRPUA
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E+001, 0.0000000E+000, 1.2291103E-005
 2.0000000E+001, 0.0000000E+000, 2.5887163E-003
 3.0000000E+001, 0.0000000E+000, 9.2108229E-003
 4.0000000E+001, 0.0000000E+000, 8.8133487E-003
 5.0000000E+001, 0.0000000E+000, 8.1361118E-003
 6.0000000E+001, 0.0000000E+000, 7.3785567E-003
 7.0000000E+001, 0.0000000E+000, 6.9767960E-003
 8.0000000E+001, 0.0000000E+000, 6.5342231E-003
 9.0000000E+001, 0.0000000E+000, 6.0906014E-003
 1.0000000E+002, 0.0000000E+000, 5.8563586E-003
 1.1000000E+002, 0.0000000E+000, 5.6873545E-003
 1.2000000E+002, 0.0000000E+000, 5.2736771E-003
 1.3000000E+002, 0.0000000E+000, 5.1084958E-003
 1.4000000E+002, 0.0000000E+000, 4.9898778E-003
 1.5000000E+002, 0.0000000E+000, 4.8570503E-003
 1.6000000E+002, 0.0000000E+000, 4.7323835E-003
 1.7000000E+002, 0.0000000E+000, 4.4620601E-003
 1.8000000E+002, 0.0000000E+000, 4.3485039E-003
 1.9000000E+002, 0.0000000E+000, 4.2732657E-003
 2.0000000E+002, 0.0000000E+000, 4.2021178E-003
 2.1000000E+002, 0.0000000E+000, 4.0901651E-003
 2.2000000E+002, 0.0000000E+000, 4.1314385E-003
 2.3000000E+002, 0.0000000E+000, 3.9759803E-003
 2.4000000E+002, 0.0000000E+000, 3.7962307E-003
 2.5000000E+002, 0.0000000E+000, 3.6947523E-003
 2.6000000E+002, 0.0000000E+000, 3.6521836E-003
 2.7000000E+002, 0.0000000E+000, 3.6159587E-003
 2.8000000E+002, 0.0000000E+000, 3.5737122E-003
 2.9000000E+002, 0.0000000E+000, 3.5351944E-003
 3.0000000E+002, 0.0000000E+000, 3.4385437E-003
 3.1000000E+002, 0.0000000E+000, 3.5115021E-003
 3.2000000E+002, 0.0000000E+000, 3.4660247E-003
 3.3000000E+002, 0.0000000E+000, 3.3513894E-003
 3.4000000E+002, 0.0000000E+000, 3.2283175E-003
 3.5000000E+002, 0.0000000E+000, 3.1317732E-003
 3.6000000E+002, 0.0000000E+000, 3.0722065E-003
 3.7000000E+002, 0.0000000E+000, 3.0348526E-003
 3.8000000E+002, 0.0000000E+000, 3.0045339E-003
 3.9000000E+002, 0.0000000E+000, 2.9749515E-003
 4.0000000E+002, 0.0000000E+000, 2.9465861E-003
 4.1000000E+002, 0.0000000E+000, 2.9208481E-003
 4.2000000E+002, 0.0000000E+000, 2.8290862E-003
 4.3000000E+002, 0.0000000E+000, 2.9223466E-003
 4.4000000E+002, 0.0000000E+000, 2.9541722E-003
 4.5000000E+002, 0.0000000E+000, 2.9596923E-003
 4.6000000E+002, 0.0000000E+000, 2.9575359E-003
 4.7000000E+002, 0.0000000E+000, 2.9534377E-003
 4.8000000E+002, 0.0000000E+000, 2.9429067E-003
 4.9000000E+002, 0.0000000E+000, 2.9186667E-003
