s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-3.2502274E-007,-2.4843852E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2504758E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0002037E+001, 9.4101023E-002,-2.6110372E-002,-5.8000019E-002,-6.1799812E-003,-4.4761935E-006, 0.0000000E+000, 0.0000000E+000, 3.7987420E-003, 3.8061743E-003, 0.0000000E+000, 2.1598377E-006, 0.0000000E+000
 6.0006081E+001, 1.1684599E-001,-3.3178677E-002,-7.6590062E-002,-6.8324816E-003, 2.7282956E-006, 0.0000000E+000, 0.0000000E+000, 2.8936534E-004, 2.4749233E-004, 0.0000000E+000, 2.6800187E-006, 0.0000000E+000
 9.0005898E+001, 1.4009926E-001,-3.9843476E-002,-9.2339551E-002,-7.2326047E-003, 1.2870534E-005, 0.0000000E+000, 0.0000000E+000, 7.3667313E-004, 6.9649890E-004, 0.0000000E+000, 3.2132295E-006, 0.0000000E+000
 1.2000547E+002, 1.7083639E-001,-4.8645787E-002,-1.1448935E-001,-7.5202775E-003, 3.0814566E-005, 0.0000000E+000, 0.0000000E+000, 2.5970611E-004, 2.1178488E-004, 0.0000000E+000, 3.9183107E-006, 0.0000000E+000
 1.5000243E+002, 2.9095803E-001,-8.3290032E-002,-1.9219511E-001,-9.2170990E-003, 1.4631678E-004, 0.0000000E+000, 0.0000000E+000, 6.4305783E-003, 6.4021043E-003, 0.0000000E+000, 6.6913725E-006, 0.0000000E+000
 1.8000204E+002, 1.2907861E+000,-3.7115505E-001,-8.8195882E-001,-2.2710736E-002, 1.0139810E-003, 0.0000000E+000, 0.0000000E+000, 1.6800816E-002, 1.5975487E-002, 0.0000000E+000, 2.9712792E-005, 0.0000000E+000
 2.1000146E+002, 4.1413083E+000,-1.1903568E+000,-2.8967727E+000,-4.6838745E-002, 3.1465210E-003, 0.0000000E+000, 0.0000000E+000, 1.1153845E-002, 1.0486522E-002, 0.0000000E+000, 9.5654151E-005, 0.0000000E+000
 2.4000084E+002, 5.6573267E+000,-1.6256653E+000,-3.9791247E+000,-5.3821209E-002, 3.1678217E-003, 0.0000000E+000, 0.0000000E+000, 4.3347564E-003, 1.8833905E-003, 0.0000000E+000, 1.3034586E-004, 0.0000000E+000
 2.7000095E+002, 5.6277975E+000,-1.6161763E+000,-3.9693765E+000,-4.1002941E-002, 2.6896922E-003, 0.0000000E+000, 0.0000000E+000, 7.7890020E-003, 3.9314153E-003, 0.0000000E+000, 1.2926123E-004, 0.0000000E+000
 3.0000095E+002, 5.7569690E+000,-1.6529883E+000,-4.0632606E+000,-3.3690930E-002, 2.4519793E-003, 0.0000000E+000, 0.0000000E+000, 1.4092323E-002, 9.4811492E-003, 0.0000000E+000, 1.3257871E-004, 0.0000000E+000
 3.3000125E+002, 6.2248865E+000,-1.7875114E+000,-4.4236594E+000,-3.0316069E-002, 2.4433994E-003, 0.0000000E+000, 0.0000000E+000,-9.2111601E-003,-1.4157064E-002, 0.0000000E+000, 1.4273342E-004, 0.0000000E+000
 3.6000119E+002, 6.4285034E+000,-1.8459409E+000,-4.5600451E+000,-2.8014483E-002, 2.5105480E-003, 0.0000000E+000, 0.0000000E+000, 5.4136176E-004,-2.9864732E-003, 0.0000000E+000, 1.4758596E-004, 0.0000000E+000
 3.9000101E+002, 6.5161664E+000,-1.8695590E+000,-4.6304279E+000,-2.6141728E-002, 2.5569680E-003, 0.0000000E+000, 0.0000000E+000,-4.0713555E-003,-7.4051719E-003, 0.0000000E+000, 1.4992859E-004, 0.0000000E+000
 4.2000153E+002, 6.7873832E+000,-1.9474657E+000,-4.8235193E+000,-2.7592604E-002, 2.6222970E-003, 0.0000000E+000, 0.0000000E+000,-4.6523213E-003,-8.5721281E-003, 0.0000000E+000, 1.5573562E-004, 0.0000000E+000
 4.5000128E+002, 6.8292911E+000,-1.9593324E+000,-4.8513876E+000,-2.7972130E-002, 2.5906164E-003, 0.0000000E+000, 0.0000000E+000,-1.9988952E-003,-6.8104956E-003, 0.0000000E+000, 1.5646538E-004, 0.0000000E+000
 4.8000040E+002, 6.9507285E+000,-1.9938353E+000,-4.9287790E+000,-2.6548270E-002, 2.6237027E-003, 0.0000000E+000, 0.0000000E+000, 8.4469366E-003, 4.1895967E-003, 0.0000000E+000, 1.5964563E-004, 0.0000000E+000
