s,m,C,C,C,C,C,C,C,C,C,C,kW,kW,kW,kW,kg/m2/s
Time,LIQUID HEIGHT,SURFACE TEMPERATURE,T05,T10,T15,T20,T25,T30,T35,T40,T45,RHF,CHF,THF,NHF,MLRPUA
 0.0000000E+000, 4.6000000E-002, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001,-9.2276839E-007, 0.0000000E+000,-9.2276839E-007,-9.2276839E-007, 0.0000000E+000
 1.0000202E+001, 4.5997554E-002, 2.4673022E+001, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001, 1.8000000E+001, 1.8000001E+001, 1.8000154E+001, 1.8008743E+001, 1.8243395E+001, 2.1379602E+001, 2.9435336E-002, 1.8269616E-002, 4.7704951E-002, 4.7704951E-002, 3.2279470E-001
 2.0002372E+001, 4.5991224E-002, 3.2941555E+001, 1.8000000E+001, 1.8000000E+001, 1.8000001E+001, 1.8000053E+001, 1.8001401E+001, 1.8024518E+001, 1.8282972E+001, 2.0109420E+001, 2.8050014E+001, 3.3677304E-002, 1.9601701E-002, 5.3279005E-002, 5.3279005E-002, 3.6901932E-001
 3.0003442E+001, 4.5982568E-002, 4.0275906E+001, 1.8000001E+001, 1.8000016E+001, 1.8000169E+001, 1.8002431E+001, 1.8025921E+001, 1.8203762E+001, 1.9177705E+001, 2.3047284E+001, 3.4434870E+001, 3.6856633E-002, 2.0833345E-002, 5.7689977E-002, 5.7689977E-002, 4.0919867E-001
 4.0001493E+001, 4.5971046E-002, 4.7011460E+001, 1.8000032E+001, 1.8000395E+001, 1.8002487E+001, 1.8020121E+001, 1.8128557E+001, 1.8649872E+001, 2.0613969E+001, 2.6440713E+001, 4.0291181E+001, 4.0700892E-002, 2.2440754E-002, 6.3141647E-002, 6.3141647E-002, 4.5186630E-001
 5.0001577E+001, 4.5955182E-002, 5.7492274E+001, 1.8000379E+001, 1.8003008E+001, 1.8013724E+001, 1.8077020E+001, 1.8357517E+001, 1.9378034E+001, 2.2449417E+001, 3.0294270E+001, 4.8496081E+001, 4.6059409E-002, 2.4499225E-002, 7.0558634E-002, 7.0558634E-002, 5.0799114E-001
 6.0001753E+001, 4.5925166E-002, 8.0479695E+001, 1.8002099E+001, 1.8012315E+001, 1.8044989E+001, 1.8196827E+001, 1.8736963E+001, 2.0381722E+001, 2.4764259E+001, 3.5578350E+001, 6.3987294E+001, 6.5564627E-002, 2.9266765E-002, 9.4831392E-002, 9.4831392E-002, 8.0421272E-001
 7.0001778E+001, 4.5727079E-002, 1.0268130E+002, 1.8007369E+001, 1.8034583E+001, 1.8127845E+001, 1.8457651E+001, 1.9451827E+001, 2.2161568E+001, 2.9199190E+001, 4.7422241E+001, 9.0105076E+001, 9.7539439E-002, 3.6429248E-002, 1.3396869E-001, 1.3396869E-001, 1.6540967E+000
 8.0000489E+001, 4.5268208E-002, 1.0566199E+002, 1.8016705E+001, 1.8068135E+001, 1.8243616E+001, 1.8781390E+001, 2.0289581E+001, 2.4288077E+001, 3.4423521E+001, 5.7506456E+001, 9.8303953E+001, 1.3103372E-001, 4.5419260E-002, 1.7645298E-001, 1.7645298E-001, 2.7721939E+000
 9.0001587E+001, 4.4728711E-002, 1.0417781E+002, 1.8039312E+001, 1.8139655E+001, 1.8445977E+001, 1.9314555E+001, 2.1626608E+001, 2.7385356E+001, 4.0336209E+001, 6.5067969E+001, 9.7541552E+001, 1.6552212E-001, 5.4696655E-002, 2.2021877E-001, 2.2021877E-001, 4.2253998E+000
 1.0000097E+002, 4.4194446E-002, 1.0234492E+002, 1.8070945E+001, 1.8234060E+001, 1.8702043E+001, 1.9964276E+001, 2.3136941E+001, 3.0401813E+001, 4.4996896E+001, 6.9640523E+001, 9.6066896E+001, 2.0331586E-001, 6.5836176E-002, 2.6915204E-001, 2.6915204E-001, 6.1591803E+000
 1.1000115E+002, 4.3646678E-002, 9.9292981E+001, 1.8139842E+001, 1.8422765E+001, 1.9177370E+001, 2.1060491E+001, 2.5372861E+001, 3.4228600E+001, 5.0135285E+001, 7.4418851E+001, 9.3622593E+001, 2.5337750E-001, 8.0975557E-002, 3.3435306E-001, 3.3435306E-001, 8.9521681E+000
 1.2000100E+002, 4.3148620E-002, 9.8592842E+001, 1.8208916E+001, 1.8605589E+001, 1.9609304E+001, 2.1968975E+001, 2.7015394E+001, 3.6651390E+001, 5.2771840E+001, 7.6168601E+001, 9.3189198E+001, 3.0053412E-001, 9.5188545E-002, 3.9572267E-001, 3.9572267E-001, 1.2552508E+001
 1.3000087E+002, 4.2664678E-002, 9.8543846E+001, 1.8364343E+001, 1.8977440E+001, 2.0410227E+001, 2.3503839E+001, 2.9569229E+001, 4.0234546E+001, 5.6944492E+001, 8.0400373E+001, 9.3164099E+001, 3.5021345E-001, 1.0128229E-001, 4.5149574E-001, 4.5149574E-001, 1.7182543E+001
 1.4000098E+002, 4.2182978E-002, 9.8475803E+001, 1.8503113E+001, 1.9292325E+001, 2.1037702E+001, 2.4600415E+001, 3.1217099E+001, 4.2323193E+001, 5.9171514E+001, 8.2460268E+001, 9.3225475E+001, 3.8091386E-001, 9.1626217E-002, 4.7254008E-001, 4.7254008E-001, 2.1402844E+001
 1.5000036E+002, 4.1691079E-002, 9.8484344E+001, 1.8763855E+001, 1.9832275E+001, 2.2037709E+001, 2.6249622E+001, 3.3620330E+001, 4.5409718E+001, 6.2686995E+001, 8.6043143E+001, 9.3183051E+001, 3.9076758E-001, 6.8339504E-002, 4.5910709E-001, 4.5910709E-001, 2.3384502E+001
 1.6000055E+002, 4.1158827E-002, 9.8522909E+001, 1.8977888E+001, 2.0253564E+001, 2.2770401E+001, 2.7380345E+001, 3.5162852E+001, 4.7264602E+001, 6.4654940E+001, 8.7946684E+001, 9.3020374E+001, 3.9546811E-001, 4.0729028E-002, 4.3619713E-001, 4.3619713E-001, 2.4489179E+001
 1.7000032E+002, 4.0611082E-002, 9.8519384E+001, 1.9396329E+001, 2.1020839E+001, 2.4048023E+001, 2.9310312E+001, 3.7807120E+001, 5.0562739E+001, 6.8469695E+001, 9.2041844E+001, 9.3106784E+001, 3.9770306E-001, 3.4118552E-002, 4.3182161E-001, 4.3182161E-001, 2.6443738E+001
 1.8000067E+002, 4.0073643E-002, 9.8533706E+001, 1.9611967E+001, 2.1396069E+001, 2.4628919E+001, 3.0113918E+001, 3.8801917E+001, 5.1678273E+001, 6.9649073E+001, 9.3123757E+001, 9.3123757E+001, 4.0066553E-001, 2.6374705E-002, 4.2704024E-001, 4.2704024E-001, 2.7796343E+001
 1.9000099E+002, 3.9514568E-002, 9.8535147E+001, 2.0224392E+001, 2.2423630E+001, 2.6222619E+001, 3.2396724E+001, 4.1833362E+001, 5.5439726E+001, 7.4055101E+001, 9.3115074E+001, 9.3115074E+001, 4.0435322E-001, 2.4644869E-002, 4.2899809E-001, 4.2899809E-001, 2.9278920E+001
 2.0000105E+002, 3.8959900E-002, 9.8547909E+001, 2.0451896E+001, 2.2779138E+001, 2.6729701E+001, 3.3056762E+001, 4.2624286E+001, 5.6332520E+001, 7.5058313E+001, 9.2977771E+001, 9.2977771E+001, 4.1101412E-001, 2.4071674E-002, 4.3508579E-001, 4.3508579E-001, 3.1182149E+001
 2.1000063E+002, 3.8370011E-002, 9.8579893E+001, 2.1112929E+001, 2.3815718E+001, 2.8252550E+001, 3.5150229E+001, 4.5329972E+001, 5.9644508E+001, 7.8939488E+001, 9.3030863E+001, 9.3030863E+001, 4.1269046E-001, 2.2307397E-002, 4.3499786E-001, 4.3499786E-001, 3.1686270E+001
 2.2000024E+002, 3.7781620E-002, 9.8600099E+001, 2.1571710E+001, 2.4495153E+001, 2.9200591E+001, 3.6393009E+001, 4.6870200E+001, 6.1483248E+001, 8.1130206E+001, 9.2968915E+001, 9.2968915E+001, 4.1399538E-001, 1.9624150E-002, 4.3361953E-001, 4.3361953E-001, 3.2307379E+001
 2.3000025E+002, 3.7189406E-002, 9.8550613E+001, 2.2071170E+001, 2.5223961E+001, 3.0212582E+001, 3.7723630E+001, 4.8539005E+001, 6.3513224E+001, 8.3612793E+001, 9.3013414E+001, 9.3013414E+001, 4.0995301E-001, 2.1824730E-002, 4.3177774E-001, 4.3177774E-001, 3.2413021E+001
 2.4000072E+002, 3.6592832E-002, 9.8580266E+001, 2.2877066E+001, 2.6385113E+001, 3.1808816E+001, 3.9816452E+001, 5.1173591E+001, 6.6731083E+001, 8.7446757E+001, 9.3069831E+001, 9.3069831E+001, 4.2324942E-001, 1.8344725E-002, 4.4159415E-001, 4.4159415E-001, 3.4421558E+001
 2.5000094E+002, 3.5971224E-002, 9.8637475E+001, 2.3213053E+001, 2.6841616E+001, 3.2419481E+001, 4.0611464E+001, 5.2189450E+001, 6.8025126E+001, 8.9061011E+001, 9.2778165E+001, 9.2778165E+001, 4.2946235E-001, 1.8894074E-002, 4.4835642E-001, 4.4835642E-001, 3.5431831E+001
 2.6000070E+002, 3.5343949E-002, 9.8656453E+001, 2.4069701E+001, 2.8039896E+001, 3.4036845E+001, 4.2715035E+001, 5.4840272E+001, 7.1317001E+001, 9.3029369E+001, 9.3029369E+001, 9.3029369E+001, 4.2764794E-001, 1.7746227E-002, 4.4539417E-001, 4.4539417E-001, 3.5443149E+001
 2.7000016E+002, 3.4724320E-002, 9.8662280E+001, 2.4751212E+001, 2.8953322E+001, 3.5229309E+001, 4.4227683E+001, 5.6724916E+001, 7.3662876E+001, 9.2934439E+001, 9.2934439E+001, 9.2934439E+001, 4.2765170E-001, 1.9528757E-002, 4.4718046E-001, 4.4718046E-001, 3.5994820E+001
