s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 1.2600001E+003, 2.9612613E+000, 0.0000000E+000,-8.4957199E-001,-2.1022659E+000,-9.7568772E-003, 1.0120221E-003, 0.0000000E+000, 0.0000000E+000, 3.5961719E-003, 6.7855033E-004, 0.0000000E+000, 6.7897609E-005, 0.0000000E+000
 1.2900000E+003, 2.9445586E+000, 0.0000000E+000,-8.4448327E-001,-2.0935824E+000,-9.9728041E-003, 1.0187184E-003, 0.0000000E+000, 0.0000000E+000, 7.1057318E-004,-2.4611886E-003, 0.0000000E+000, 6.7597016E-005, 0.0000000E+000
 1.3200010E+003, 2.7924207E+000, 0.0000000E+000,-8.0100767E-001,-1.9951658E+000,-1.0113424E-002, 1.0545329E-003, 0.0000000E+000, 0.0000000E+000,-9.5930474E-003,-1.2811647E-002, 0.0000000E+000, 6.3767150E-005, 0.0000000E+000
 1.3500012E+003, 2.5570445E+000, 0.0000000E+000,-7.3332657E-001,-1.8168800E+000,-9.1057291E-003, 1.1163774E-003, 0.0000000E+000, 0.0000000E+000, 1.5474138E-003,-1.1514182E-003, 0.0000000E+000, 5.8496777E-005, 0.0000000E+000
 1.3800009E+003, 1.9911935E+000, 0.0000000E+000,-5.7105159E-001,-1.4184237E+000,-7.7512717E-003, 1.0844279E-003, 0.0000000E+000, 0.0000000E+000,-2.9578704E-003,-4.9485558E-003, 0.0000000E+000, 4.5511812E-005, 0.0000000E+000
 1.4100015E+003, 1.6130286E+000, 0.0000000E+000,-4.6255893E-001,-1.1521472E+000,-6.9902290E-003, 1.0368011E-003, 0.0000000E+000, 0.0000000E+000,-5.8439245E-003,-7.6309082E-003, 0.0000000E+000, 3.6968582E-005, 0.0000000E+000
 1.4400013E+003, 1.7019775E+000, 0.0000000E+000,-4.8819800E-001,-1.2050776E+000,-6.7895675E-003, 1.0159601E-003, 0.0000000E+000, 0.0000000E+000, 4.5567675E-003, 2.9282887E-003, 0.0000000E+000, 3.9050588E-005, 0.0000000E+000
 1.4700009E+003, 1.7894686E+000, 0.0000000E+000,-5.1339804E-001,-1.2743964E+000,-7.3534968E-003, 9.8055144E-004, 0.0000000E+000, 0.0000000E+000,-2.5105657E-003,-4.6987541E-003, 0.0000000E+000, 4.1075217E-005, 0.0000000E+000
 1.5000004E+003, 1.7886779E+000, 0.0000000E+000,-5.1301363E-001,-1.2669082E+000,-6.3868177E-003, 1.0078691E-003, 0.0000000E+000, 0.0000000E+000, 5.1349290E-003, 3.3771844E-003, 0.0000000E+000, 4.1086401E-005, 0.0000000E+000
 1.5300005E+003, 1.7780157E+000, 0.0000000E+000,-5.1007079E-001,-1.2684001E+000,-6.1314827E-003, 9.7374848E-004, 0.0000000E+000, 0.0000000E+000,-3.9506238E-003,-5.6128844E-003, 0.0000000E+000, 4.0703417E-005, 0.0000000E+000
 1.5600020E+003, 1.4803019E+000, 0.0000000E+000,-4.2458814E-001,-1.0559106E+000,-5.7507443E-003, 8.5322541E-004, 0.0000000E+000, 0.0000000E+000,-3.8256822E-003,-5.0942945E-003, 0.0000000E+000, 3.3914889E-005, 0.0000000E+000
 1.5900022E+003, 1.3648514E+000, 0.0000000E+000,-3.9168703E-001,-9.6886501E-001,-6.4124433E-003, 8.1874781E-004, 0.0000000E+000, 0.0000000E+000,-1.5655654E-004,-1.2943440E-003, 0.0000000E+000, 3.1259555E-005, 0.0000000E+000
 1.6200021E+003, 1.0534478E+000, 0.0000000E+000,-3.0238573E-001,-7.3909918E-001,-1.5250773E-002, 6.6411916E-004, 0.0000000E+000, 0.0000000E+000,-1.6061245E-003,-2.6237318E-003, 0.0000000E+000, 2.4176590E-005, 0.0000000E+000
 1.6500018E+003, 1.0372910E+000, 0.0000000E+000,-2.9779022E-001,-7.2317569E-001,-1.8550726E-002, 6.5534724E-004, 0.0000000E+000, 0.0000000E+000,-3.3025863E-004,-1.5703161E-003, 0.0000000E+000, 2.3747009E-005, 0.0000000E+000
 1.6800004E+003, 8.1970583E-001, 0.0000000E+000,-2.3510507E-001,-5.7168974E-001,-1.9693716E-002, 5.2730061E-004, 0.0000000E+000, 0.0000000E+000,-5.2042046E-003,-6.2554030E-003, 0.0000000E+000, 1.8723225E-005, 0.0000000E+000
 1.7100032E+003, 5.2855377E-001, 0.0000000E+000,-1.5168061E-001,-3.5729943E-001,-2.0017587E-002, 3.6567270E-004, 0.0000000E+000, 0.0000000E+000, 3.6138929E-004,-7.8191794E-005, 0.0000000E+000, 1.2126515E-005, 0.0000000E+000
 1.7400023E+003, 5.4716649E-001, 0.0000000E+000,-1.5690043E-001,-3.7113929E-001,-1.9253215E-002, 3.7519638E-004, 0.0000000E+000, 0.0000000E+000, 7.1145480E-004, 2.4875333E-004, 0.0000000E+000, 1.2546015E-005, 0.0000000E+000
 1.7700007E+003, 5.6103232E-001, 0.0000000E+000,-1.6080550E-001,-3.8277533E-001,-1.8941862E-002, 3.8154979E-004, 0.0000000E+000, 0.0000000E+000,-7.5641755E-004,-1.1088234E-003, 0.0000000E+000, 1.2868912E-005, 0.0000000E+000
 1.8000028E+003, 5.3050787E-001, 0.0000000E+000,-1.5179361E-001,-3.7362350E-001,-6.3591386E-003, 3.3008140E-004, 0.0000000E+000, 0.0000000E+000,-5.3586373E-004,-9.3829356E-004, 0.0000000E+000, 1.2158079E-005, 0.0000000E+000
 1.8300043E+003, 4.7450230E-001, 0.0000000E+000,-1.3547767E-001,-3.4423898E-001, 1.5850567E-003, 2.7369936E-004, 0.0000000E+000, 0.0000000E+000,-2.8079438E-003,-3.3555959E-003, 0.0000000E+000, 1.0875481E-005, 0.0000000E+000
 1.8600042E+003, 3.2986778E-001, 0.0000000E+000,-9.3797053E-002,-2.4665564E-001, 7.2006819E-003, 1.9292508E-004, 0.0000000E+000, 0.0000000E+000,-2.8472999E-003,-3.1913059E-003, 0.0000000E+000, 7.5587412E-006, 0.0000000E+000
 1.8900042E+003, 2.0725711E-001, 0.0000000E+000,-5.8644943E-002,-1.6085970E-001, 8.1386600E-003, 1.2254441E-004, 0.0000000E+000, 0.0000000E+000,-3.9164260E-003,-3.9863350E-003, 0.0000000E+000, 4.7418099E-006, 0.0000000E+000
 1.9200085E+003, 0.0000000E+000, 0.0000000E+000, 3.3666739E-004,-9.5657866E-003, 8.9768406E-003, 1.2456997E-019, 0.0000000E+000, 0.0000000E+000,-2.3379838E-004,-2.5227857E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9500079E+003, 0.0000000E+000, 0.0000000E+000, 2.7821525E-004,-8.2514496E-003, 7.8454286E-003, 9.5802069E-020, 0.0000000E+000, 0.0000000E+000,-1.2834787E-004,-1.2780569E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9800114E+003, 0.0000000E+000, 0.0000000E+000, 2.3410661E-004,-7.2791253E-003, 6.9645989E-003, 8.2181632E-020, 0.0000000E+000, 0.0000000E+000,-8.1543407E-005,-8.0419867E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E+003, 0.0000000E+000, 0.0000000E+000, 2.0440172E-004,-6.5769237E-003, 6.3276468E-003, 6.9188819E-020, 0.0000000E+000, 0.0000000E+000,-4.1914746E-005,-4.4875191E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
