s,m,C,C,C,C,C,C,C,C,C,C,kW,kW,kW,kW,kg/m2/s
Time,LIQUID HEIGHT,SURFACE TEMPERATURE,T05,T10,T15,T20,T25,T30,T35,T40,T45,RHF,CHF,THF,NHF,MLRPUA
 0.0000000E+000, 4.5000000E-002, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001,-9.5335218E-007, 0.0000000E+000,-9.5335218E-007,-9.5335218E-007, 0.0000000E+000
 1.0001911E+001, 4.4988295E-002, 2.9627913E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000001E+001, 1.7000559E+001, 1.7142001E+001, 2.4867101E+001, 1.5603155E-002, 1.7307920E-002, 3.2911075E-002, 3.2911075E-002, 1.5633232E+000
 2.0003167E+001, 4.4949707E-002, 4.4332458E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000004E+001, 1.7000663E+001, 1.7052031E+001, 1.8661375E+001, 3.7374151E+001, 1.7562228E-002, 1.8288445E-002, 3.5850673E-002, 3.5850673E-002, 1.8178979E+000
 3.0001490E+001, 4.4872366E-002, 5.6668349E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000003E+001, 1.7000308E+001, 1.7014860E+001, 1.7374986E+001, 2.1800286E+001, 4.7316624E+001, 2.0662700E-002, 2.0631911E-002, 4.1294611E-002, 4.1294611E-002, 2.1668432E+000
 4.0003011E+001, 4.4718288E-002, 6.2085882E+001, 1.7000000E+001, 1.7000000E+001, 1.7000004E+001, 1.7000205E+001, 1.7006626E+001, 1.7129812E+001, 1.8521117E+001, 2.7508763E+001, 5.1150325E+001, 2.2455783E-002, 2.1776327E-002, 4.4232110E-002, 4.4232110E-002, 2.5198686E+000
 5.0001779E+001, 4.4542052E-002, 6.1729025E+001, 1.7000000E+001, 1.7000002E+001, 1.7000065E+001, 1.7001809E+001, 1.7033476E+001, 1.7403567E+001, 2.0119333E+001, 3.1853697E+001, 5.1792448E+001, 2.3760998E-002, 2.2673888E-002, 4.6434886E-002, 4.6434886E-002, 2.7068735E+000
 6.0000996E+001, 4.4356000E-002, 6.2716888E+001, 1.7000001E+001, 1.7000019E+001, 1.7000459E+001, 1.7008011E+001, 1.7097393E+001, 1.7814864E+001, 2.1594136E+001, 3.3953592E+001, 5.2204846E+001, 2.4936933E-002, 2.4080024E-002, 4.9016957E-002, 4.9016957E-002, 2.8968332E+000
 7.0001921E+001, 4.4153188E-002, 6.3190828E+001, 1.7000003E+001, 1.7000076E+001, 1.7001397E+001, 1.7018602E+001, 1.7177343E+001, 1.8194949E+001, 2.2594846E+001, 3.5002759E+001, 5.1878931E+001, 2.5440648E-002, 2.4607588E-002, 5.0048236E-002, 5.0048236E-002, 3.0769062E+000
 8.0000775E+001, 4.3946169E-002, 6.3425720E+001, 1.7000019E+001, 1.7000331E+001, 1.7004411E+001, 1.7043874E+001, 1.7322945E+001, 1.8739670E+001, 2.3791479E+001, 3.6223043E+001, 5.2199744E+001, 2.6865576E-002, 2.5785566E-002, 5.2651141E-002, 5.2651141E-002, 3.2472965E+000
