s,m,C,C,C,C,C,C,C,C,C,C,kW,kW,kW,kW,kg/m2/s
Time,LIQUID HEIGHT,SURFACE TEMPERATURE,T05,T10,T15,T20,T25,T30,T35,T40,T45,RHF,CHF,THF,NHF,MLRPUA
 0.0000000E+000, 4.5000000E-002, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001,-9.1046989E-007, 0.0000000E+000,-9.1046989E-007,-9.1046989E-007, 0.0000000E+000
 1.0000640E+001, 4.4986836E-002, 3.3900694E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000001E+001, 1.7000521E+001, 1.7150017E+001, 2.7347537E+001, 4.1487532E-002, 4.1902750E-002, 8.3390282E-002, 8.3390282E-002, 1.6123437E+000
 2.0000852E+001, 4.4925308E-002, 5.4372612E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000004E+001, 1.7000713E+001, 1.7062279E+001, 1.9223620E+001, 4.4343479E+001, 5.0975631E-002, 4.9619034E-002, 1.0059467E-001, 1.0059467E-001, 2.0495337E+000
 3.0002157E+001, 4.4773432E-002, 6.2436433E+001, 1.7000000E+001, 1.7000000E+001, 1.7000000E+001, 1.7000008E+001, 1.7000649E+001, 1.7028295E+001, 1.7648521E+001, 2.4374825E+001, 5.0907947E+001, 5.8882740E-002, 5.5962004E-002, 1.1484474E-001, 1.1484474E-001, 2.5861488E+000
 4.0002303E+001, 4.4580642E-002, 6.3117087E+001, 1.7000000E+001, 1.7000000E+001, 1.7000005E+001, 1.7000263E+001, 1.7009085E+001, 1.7185629E+001, 1.9145635E+001, 3.0243353E+001, 5.1747804E+001, 6.5036436E-002, 6.2966501E-002, 1.2800294E-001, 1.2800294E-001, 3.0106086E+000
 5.0001617E+001, 4.4371206E-002, 6.3344822E+001, 1.7000000E+001, 1.7000002E+001, 1.7000079E+001, 1.7002270E+001, 1.7042324E+001, 1.7499750E+001, 2.0623410E+001, 3.2710993E+001, 5.1857657E+001, 7.0358986E-002, 6.8367895E-002, 1.3872688E-001, 1.3872688E-001, 3.4034513E+000
 6.0000068E+001, 4.4160213E-002, 6.3417793E+001, 1.7000000E+001, 1.7000014E+001, 1.7000397E+001, 1.7007665E+001, 1.7099622E+001, 1.7854721E+001, 2.1758416E+001, 3.4099914E+001, 5.1759588E+001, 7.5179820E-002, 7.2779308E-002, 1.4795913E-001, 1.4795913E-001, 3.7571301E+000
 7.0000267E+001, 4.3950255E-002, 6.3339897E+001, 1.7000004E+001, 1.7000096E+001, 1.7001761E+001, 1.7023046E+001, 1.7212349E+001, 1.8360804E+001, 2.3019809E+001, 3.5472464E+001, 5.2094923E+001, 7.9191502E-002, 7.7840020E-002, 1.5703152E-001, 1.5703152E-001, 4.0824895E+000
 8.0000287E+001, 4.3743873E-002, 6.3147355E+001, 1.7000038E+001, 1.7000629E+001, 1.7007721E+001, 1.7070194E+001, 1.7469015E+001, 1.9289512E+001, 2.5162452E+001, 3.8493645E+001, 5.2395615E+001, 8.4822764E-002, 8.2786653E-002, 1.6760942E-001, 1.6760942E-001, 4.4290871E+000
